Reaction_ID,CORDA_Score
CYTK6n,3
CYTK7,3
CYTK7n,3
CYTK8,3
CYTK8n,3
CYTK9,3
CYTK9n,3
D_3AIBt,-1
D3AIBTm,1
DADA,2
DADAe,2
DADNK,-1
DADNt4,3
DAG_HSter,-1
DAGK_hs,3
DAGKn_hs,3
DAGt,-1
DALAOXx,3
DALAt2r,3
DALAxt,-1
DARGOp,3
DASCBH,-1
DASCBR_1,3
DASPO1p,3
DATPtn,-1
DCIm,3
DCK1m,-1
DCK1n,3
DCK2n,3
DCSPTN1COAtx,-1
DCSPTN1CPT1,3
DCSPTN1CPT2,3
DCSPTN1CRNt,3
DCSPTN1t,-1
DCT,2
DCTPtn,-1
DCYTD,3
DCYTDn,1
DCYTt,3
DDPGAm,-1
DEBRISOQUINEt,1
DECDPtm,-1
DEDOLP1_L,-1
DEDOLP2_L,-1
DEDOLR_L,-1
DESAT16_2,3
DESAT18_10,3
DESAT18_3,3
DESAT18_11,3
DESAT18_5,3
DESAT18_6,3
DESAT18_12,3
DESAT18_8,3
DESAT18_9,3
DESAT20_1,3
DESAT20_2,3
DESAT22_1p,-1
DESAT22_2p,-1
DESAT24_1,3
DGAT,3
DGCHOLte,-1
DGCHOLtx,-1
DGK2m,-1
DGNSKm,3
DGSNt,3
DGSNtm,-1
DGTPtn,-1
DGULND,-1
DHAAt1r,3
DHCHOLESTANATEtm,-1
DHCR241r,3
DHCR242r,3
DHCR243r,3
DHCR71r,3
DHCR72r,3
DHCRD1,3
DHCRD2,3
DHDPBMTm,3
DHEASt,3
DHEAStr,-1
DHEASULT,3
DHEAtr,-1
DHFtl,-1
DHFtm,-1
DHORD9,3
DHPM1,3
DHPM2,1
DHPR2,-1
DIDPtn,-1
DIGALSGALSIDEtg,-1
DIGALSIDEtg,-1
DIGALSIDEtl,-1
DINt,3
DITPtn,-1
DKMPPD,-1
D_LACt2,3
D_LACtm,3
DLNLCGCPT1,3
DLNLCGCPT2,3
DLNLCGCRNt,3
DLNLCGt,2
DM_13_cis_oretn_n,-1
DM_13_cis_retn_n,-1
DM_Asn_X_Ser_Thr_l,-1
DM_avite2_c,-1
DM_bvite_c,-1
DM_core5_g,-1
DM_core7_g,-1
DM_core8_g,-1
DM_datp_m,-1
DM_datp_n,-1
DM_dctp_m,-1
DM_dctp_n,-1
DM_dem2emgacpail_prot_hs_r,-1
DM_dgpi_prot_hs_r,-1
DM_dgtp_m,-1
DM_dgtp_n,-1
DM_dsT_antigen_g,-1
DM_dttp_m,-1
DM_dttp_n,-1
DM_ethamp_r,-1
DM_gncore2_g,-1
DM_gpi_sig_r,-1
DM_hretn_n,-1
DM_kdn_c,-1
DM_m3gacpail_prot_hs_r,-1
DM_melanin_c,-1
DM_mem2emgacpail_prot_hs_r,-1
