"Gene_ID","GSM1089187","GSM1089188","GSM1089189","GSM1089190","GSM1089191","GSM1089192","GSM1089193","GSM1089194","GSM1089195","GSM1089196"
"NM_001033411",3.066191228,3.151684699,3.082344439,3.022308829,3.126459314,3.082344439,2.978411599,3.034073585,3.132775741,2.842511405
"NM_001033416",2.403290636,2.780310264,2.35400825,3.187611855,3.127255851,3.031817209,2.932200645,2.692323782,2.997465433,2.896418321
"NM_001033420",3.572620283,3.835191987,3.835925701,3.954734123,3.973667012,3.977659023,4.282245841,4.165594812,4.106277106,4.26531547
"NM_001033422",5.731992636,5.822414103,5.614859563,5.219432623,5.118363447,5.261745032,5.257764523,5.341420002,5.187828035,5.278231126
"NM_001033432",6.005827197,5.906384491,5.886335531,5.632315404,5.703906197,5.531212118,5.636123174,5.604050472,5.509114129,5.618321287
"NM_001033437",2.877658875,2.891181522,2.666998044,2.867119187,2.878218881,3.086677627,2.919066389,2.887110656,2.864219956,2.873933983
"NM_001033439",4.680643413,4.566566194,4.704381139,4.52170793,4.490116647,4.153313178,4.273933317,4.20122895,4.288333931,4.258729546
"NM_001033441",6.44824028,6.276036059,6.404715385,5.863252247,5.781137016,5.746643332,5.915354036,5.676302574,5.698984407,5.838190689
"NM_001033443",3.18334562,3.208040242,3.666983558,4.373464966,4.695745509,4.512200853,4.617627264,4.687624495,4.755814991,4.499294315
"NM_001033445",5.004016914,4.915638585,5.083809018,5.039297241,5.101895238,5.156776278,5.26189011,5.234718862,5.043681472,5.214239379
"NM_001033447",3.138461469,2.692125046,2.758786347,2.661116534,2.279513668,2.480635519,2.449151832,2.212192161,2.511333952,2.280281916
"NM_001033448",3.047210784,3.007193164,3.208322972,3.007193164,3.117004085,2.968854012,2.963828638,3.002405539,3.165970119,2.818782893
"NM_001033449",3.8705041,3.823737727,3.800762375,3.685503347,3.58162341,3.55461462,3.723898602,3.645813255,3.486138318,3.528857298
"NM_001033451",3.732932739,3.521098361,3.566951196,3.011687433,3.011312074,2.988813539,3.001172408,2.924752202,2.925608659,3.080751814
"NM_001033453",6.451489718,6.476236904,6.610420162,6.608922266,7.381424757,7.746567225,7.866948531,7.838539113,7.569781857,7.851843567
"NM_001033457",4.585499237,4.405179402,4.344662041,4.282662355,4.356758622,4.351431648,4.291699541,4.347616149,4.309736544,4.318082038
"NM_001033458",2.506061219,2.16195999,2.2331312,1.990188771,1.937263713,1.969040865,1.969040865,1.945075328,1.881959967,1.969040865
"NM_001033463",5.862206516,5.753007068,5.838272068,5.579759931,5.588375556,5.273914569,5.2974764,5.343352861,5.428204829,5.401672144
"NM_001033472",5.19123778,5.021787014,4.984052189,4.410063925,4.231319687,4.343454827,4.397061083,4.338459009,4.453531207,4.43230141
"NM_001033474",7.585700082,7.517180977,7.733788624,7.569380219,7.559284013,7.186027247,7.195092042,7.011704626,6.891799856,7.082397549
"NM_001033475",4.869724166,4.709895399,5.008284541,5.078460092,5.078952945,5.012288012,5.022807489,5.005692758,4.998008102,4.958767832
"NM_001033481",2.783684312,2.905943163,3.071075775,3.48620431,3.781891068,3.789809659,3.783459204,3.999917446,3.805038076,4.106881559
"NM_001033490",3.90653518,3.753192179,3.765089568,3.691626271,3.655392792,3.516870098,3.591201561,3.46827305,3.474935107,3.518561013
"NM_001033493",2.673435061,2.728718671,2.511102474,2.830263163,2.921385457,3.219463418,2.829898653,2.95040978,3.267819692,2.864229428
"NM_001033496",2.930276707,2.78807545,2.823969839,2.653598287,2.697109933,2.692510289,2.787426846,2.69251227,2.842810664,2.835717994
"NM_001033498",3.810949828,3.784603546,3.924437798,3.652961598,3.766406262,3.50019591,3.775017275,3.736926346,3.739999259,3.738425908
"NM_001033525",3.155531876,3.153757802,2.907251258,3.489281579,3.666115244,3.581447253,3.572322104,3.427346304,3.59829617,3.472589511
"NM_001033528",3.908472803,4.000628649,4.015543627,3.777863993,4.132959508,3.855298912,3.992110723,4.007030617,4.094068642,4.099488397
"NM_001033530",2.9761073,2.877426141,3.212734325,3.245194892,3.077113221,3.289161214,3.336666249,3.465712707,3.584805807,3.350688966
"NM_001033532",5.39673134,5.507711061,5.338053075,5.000904047,4.813325572,4.654646918,4.926679039,4.908116269,5.011103291,4.931307064
"NM_001033534",3.934646696,3.696548633,3.852185092,4.343336036,3.46476901,3.583966538,3.67626355,3.601084372,3.797530382,3.398624813
"NM_001033535",3.037906101,3.091427154,3.358416205,3.697277904,3.808063464,4.058990735,4.175875343,4.07872122,4.442330984,4.15617328
"NM_001033536",6.920214617,6.828915908,6.500898317,6.267487499,6.124181381,5.874496443,5.899168464,6.021088289,6.022011671,5.935161289
