"Gene_ID","GSM6435238","GSM6435239","GSM6435240","GSM6435241"
"ENSMUSG00000002064",609,547,632,569
"ENSMUSG00000002068",366,279,343,313
"ENSMUSG00000002076",3,12,12,2
"ENSMUSG00000002083",162,145,207,168
"ENSMUSG00000002100",14,8,2,13
"ENSMUSG00000002102",2209,2045,2115,2077
"ENSMUSG00000002103",1178,1260,1324,1269
"ENSMUSG00000002104",10,6,13,5
"ENSMUSG00000002105",340,308,353,382
"ENSMUSG00000002107",7388,6945,8093,7289
"ENSMUSG00000002108",44,33,47,47
"ENSMUSG00000002109",158,123,185,104
"ENSMUSG00000002111",70,73,67,61
"ENSMUSG00000002129",1233,1147,1335,1273
"ENSMUSG00000002147",280,243,250,262
"ENSMUSG00000002190",265,236,237,268
"ENSMUSG00000002204",24,18,23,19
"ENSMUSG00000002205",354,347,368,363
"ENSMUSG00000002210",645,560,461,534
"ENSMUSG00000002221",1064,947,1038,988
"ENSMUSG00000002222",3525,2973,3351,3200
"ENSMUSG00000002227",135,134,147,115
"ENSMUSG00000002228",6,10,16,43
"ENSMUSG00000002233",187,174,176,146
"ENSMUSG00000002240",0,0,0,0
"ENSMUSG00000002249",36,52,44,43
"ENSMUSG00000002250",529,421,370,482
"ENSMUSG00000002257",25,28,21,26
"ENSMUSG00000002265",6471,5225,7138,5883
"ENSMUSG00000002266",76,71,126,69
"ENSMUSG00000002274",77,65,58,57
"ENSMUSG00000002279",287,237,261,243
"ENSMUSG00000002280",466,396,368,374
"ENSMUSG00000002289",30,44,21,38
"ENSMUSG00000002297",46,41,32,35
"ENSMUSG00000002307",393,366,389,372
"ENSMUSG00000002308",193,182,203,180
"ENSMUSG00000002319",591,506,570,560
"ENSMUSG00000002320",428,459,443,466
"ENSMUSG00000002324",36,47,66,47
"ENSMUSG00000002325",138,127,161,135
"ENSMUSG00000002326",98,86,91,97
"ENSMUSG00000002329",714,629,539,612
"ENSMUSG00000002332",937,810,849,865
"ENSMUSG00000002341",4449,4243,4211,4459
"ENSMUSG00000002342",364,364,367,374
"ENSMUSG00000002343",535,485,502,541
"ENSMUSG00000002345",338,292,268,253
"ENSMUSG00000002346",642,457,533,590
"ENSMUSG00000002365",247,238,206,282
"ENSMUSG00000002372",1420,1252,1362,1432
"ENSMUSG00000002379",633,567,539,618
"ENSMUSG00000002384",5,4,2,5
"ENSMUSG00000002393",413,380,308,342
"ENSMUSG00000002395",830,756,764,766
"ENSMUSG00000002396",325,281,291,252
"ENSMUSG00000002409",456,401,415,534
"ENSMUSG00000002413",2933,2760,3063,2668
"ENSMUSG00000002416",271,233,284,266
"ENSMUSG00000002428",431,492,532,526
"ENSMUSG00000002455",981,1006,1141,1036
"ENSMUSG00000002458",259,233,228,229
"ENSMUSG00000002459",687,626,526,597
"ENSMUSG00000002475",1085,904,872,815
"ENSMUSG00000002477",384,321,400,399
"ENSMUSG00000002486",160,108,154,135
"ENSMUSG00000002489",1835,1791,3215,1815
"ENSMUSG00000002496",2098,1861,1988,1990
"ENSMUSG00000002500",3,3,6,9
"ENSMUSG00000002504",717,674,583,766
"ENSMUSG00000002524",2242,2026,2240,2173
"ENSMUSG00000002546",1880,1787,1794,1802
"ENSMUSG00000002550",538,581,595,598
"ENSMUSG00000002565",1,3,3,3
"ENSMUSG00000002578",233,223,321,298
"ENSMUSG00000002580",127,126,144,110
"ENSMUSG00000002588",0,0,0,0
"ENSMUSG00000002602",1118,896,879,958
"ENSMUSG00000002603",162,102,116,129
"ENSMUSG00000002608",976,913,814,966
"ENSMUSG00000002617",408,312,434,351
"ENSMUSG00000002625",1381,1019,1225,1160
"ENSMUSG00000002633",77,78,57,73
"ENSMUSG00000002635",232,250,240,257
"ENSMUSG00000002658",1087,947,1031,929
"ENSMUSG00000002660",563,596,612,580
"ENSMUSG00000002661",146,164,189,134
"ENSMUSG00000002664",9,6,5,5
"ENSMUSG00000002668",30,19,38,30
"ENSMUSG00000002679",178,143,224,180
"ENSMUSG00000002688",204,166,179,182
"ENSMUSG00000002699",27,37,72,54
"ENSMUSG00000002718",1532,1375,1381,1489
"ENSMUSG00000002728",658,697,688,662
"ENSMUSG00000002731",281,238,241,276
"ENSMUSG00000002732",51,46,25,43
"ENSMUSG00000002733",737,648,743,733
"ENSMUSG00000002741",1765,1595,1587,1682
"ENSMUSG00000002748",2352,2127,2337,2499
"ENSMUSG00000002763",1322,1109,1170,1194
"ENSMUSG00000002767",470,449,338,368
"ENSMUSG00000002768",565,539,537,486
"ENSMUSG00000002769",2,9,11,13
"ENSMUSG00000002771",438,351,469,444
"ENSMUSG00000002778",930,728,873,833
"ENSMUSG00000002781",322,271,261,332
"ENSMUSG00000002791",0,0,2,0
"ENSMUSG00000002797",214,231,200,220
"ENSMUSG00000002799",1098,886,982,889
"ENSMUSG00000002803",1185,989,988,914
"ENSMUSG00000002804",81,77,79,72
"ENSMUSG00000002808",3054,2644,2430,2679
"ENSMUSG00000002812",1064,846,860,1006
"ENSMUSG00000002814",118,104,113,104
"ENSMUSG00000002820",518,449,437,468
"ENSMUSG00000002825",133,100,116,111
"ENSMUSG00000002831",38,24,45,42
"ENSMUSG00000002833",1198,1027,1088,1061
"ENSMUSG00000002835",79,85,63,65
"ENSMUSG00000002844",1646,1446,1445,1450
"ENSMUSG00000002845",162,146,136,168
"ENSMUSG00000002846",328,284,311,270
"ENSMUSG00000002847",23,24,21,33
"ENSMUSG00000002870",105,118,112,99
"ENSMUSG00000002871",465,373,373,389
"ENSMUSG00000002881",699,612,678,659
"ENSMUSG00000002885",174,166,153,174
"ENSMUSG00000002897",503,385,362,404
"ENSMUSG00000002900",278,297,445,332
"ENSMUSG00000002908",395,365,279,384
"ENSMUSG00000002910",241,182,200,187
"ENSMUSG00000002930",2,6,8,8
"ENSMUSG00000002944",28,19,74,10
"ENSMUSG00000002948",912,786,752,831
"ENSMUSG00000002949",731,659,650,678
"ENSMUSG00000002957",4272,4310,4633,4020
"ENSMUSG00000002963",291,265,292,309
"ENSMUSG00000002968",1537,1324,1318,1404
"ENSMUSG00000002980",354,354,370,353
"ENSMUSG00000002981",3689,3450,3535,3459
"ENSMUSG00000002983",103,98,118,81
"ENSMUSG00000002984",1105,934,982,1037
"ENSMUSG00000002985",24727,23217,23341,23662
"ENSMUSG00000002992",0,0,0,0
"ENSMUSG00000002996",344,350,394,380
"ENSMUSG00000002997",1498,1631,1816,1599
"ENSMUSG00000003031",1051,930,891,959
"ENSMUSG00000003032",98,100,153,90
"ENSMUSG00000003033",1082,974,1105,1018
"ENSMUSG00000003037",740,504,653,543
"ENSMUSG00000003038",936,999,898,977
"ENSMUSG00000003039",1463,1290,1406,1402
"ENSMUSG00000003051",2,1,4,2
"ENSMUSG00000003053",1,0,0,0
"ENSMUSG00000003062",707,581,668,602
"ENSMUSG00000003068",1683,1363,1267,1402
"ENSMUSG00000003070",116,113,129,125
"ENSMUSG00000003072",2992,2828,2717,2656
"ENSMUSG00000003099",2476,2271,2261,2129
"ENSMUSG00000003119",513,436,647,406
"ENSMUSG00000003123",166,154,153,123
"ENSMUSG00000003131",4493,4026,4293,4105
"ENSMUSG00000003134",454,511,351,424
"ENSMUSG00000003135",594,595,607,542
"ENSMUSG00000003153",2692,2664,3318,2794
"ENSMUSG00000003154",679,592,577,630
"ENSMUSG00000003161",969,922,973,965
"ENSMUSG00000003166",1492,1319,1396,1383
"ENSMUSG00000003184",241,170,222,268
"ENSMUSG00000003190",29,19,20,45
"ENSMUSG00000003198",121,75,97,112
"ENSMUSG00000003199",1074,964,927,902
"ENSMUSG00000003200",564,523,503,571
"ENSMUSG00000003206",11,18,6,13
"ENSMUSG00000003208",116,133,107,114
"ENSMUSG00000003226",3043,3003,3539,3052
"ENSMUSG00000003227",3,11,7,14
"ENSMUSG00000003228",282,290,271,321
"ENSMUSG00000003233",1152,979,1132,1170
"ENSMUSG00000003234",1105,895,1132,1062
"ENSMUSG00000003235",937,972,941,958
"ENSMUSG00000003269",1305,1197,1134,1220
"ENSMUSG00000003271",169,144,187,156
"ENSMUSG00000003273",2387,1835,1912,2035
"ENSMUSG00000003279",13155,12026,12241,12003
"ENSMUSG00000003282",81,90,110,103
"ENSMUSG00000003283",36,33,41,29
"ENSMUSG00000003299",599,541,553,618
"ENSMUSG00000003308",1284,1203,1167,1149
"ENSMUSG00000003309",21,7,16,14
"ENSMUSG00000003316",4867,4489,4718,4656
"ENSMUSG00000003341",0,3,4,1
"ENSMUSG00000003344",1661,1571,1454,1555
"ENSMUSG00000003345",3779,3353,2876,3262
"ENSMUSG00000003346",3146,2888,2436,2658
"ENSMUSG00000003348",76,42,84,57
"ENSMUSG00000003352",5271,4345,4299,4750
"ENSMUSG00000003354",165,126,134,118
"ENSMUSG00000003355",32,19,7,14
"ENSMUSG00000003360",1391,1249,1276,1301
"ENSMUSG00000003363",12312,10837,11011,10903
"ENSMUSG00000003378",5210,4552,4534,4722
"ENSMUSG00000003379",4,8,3,3
"ENSMUSG00000003380",2126,2021,1985,1976
"ENSMUSG00000003382",549,559,700,578
"ENSMUSG00000003402",964,862,974,930
"ENSMUSG00000003410",4036,3509,3550,3763
"ENSMUSG00000003411",886,939,1232,876
"ENSMUSG00000003418",58,65,62,71
"ENSMUSG00000003420",320,281,258,303
"ENSMUSG00000003421",824,716,728,689
"ENSMUSG00000003423",471,338,354,343
"ENSMUSG00000003429",1460,1264,1248,1233
"ENSMUSG00000003435",2420,2095,2278,2307
"ENSMUSG00000003436",26,34,33,18
"ENSMUSG00000003437",824,857,861,832
"ENSMUSG00000003438",444,402,427,449
"ENSMUSG00000003444",161,200,176,151
"ENSMUSG00000003452",1044,955,1054,1042
"ENSMUSG00000003458",1277,1216,1142,1116
"ENSMUSG00000003464",1384,1093,1224,1259
"ENSMUSG00000003469",9141,8179,8661,8462
