"Gene","GSM6506766","GSM6506768","GSM6506769"
"Runx3",0,0.013238912,0.013287072
"Rusc1",43.93585466,43.56350574,41.90236603
"Rusc2",20.03727175,20.17792165,20.38155776
"Ruvbl1",20.35596208,23.50040548,18.86201498
"Ruvbl2",9.689690879,10.10597225,9.291246492
"Rwdd1",26.82784654,27.21451775,24.6487843
"Rwdd2a",12.6776375,14.06116091,13.79157772
"Rwdd2b",3.851928447,3.991154566,3.847554755
"Rwdd3",2.78791106,2.601611323,2.426764168
"Rwdd4a",8.810441152,8.271925434,8.79037067
"Rxfp1",3.216395409,4.001600831,3.7763871
"Rxfp2",0.458700142,0.338871257,0.550168219
"Rxfp3",0.685175696,0.532710547,0.391206163
"Rxfp4",0,0,0
"Rxra",7.892451845,7.543067024,7.390256755
"Rxrb",22.00717365,22.61332991,21.99449238
"Rxrg",6.074885336,6.148833334,4.528676266
"Rybp",5.156616115,5.453899466,5.385044611
"Ryk",7.279972223,7.592729033,7.077251176
"Ryr1",1.434366474,1.647347525,2.045478563
"Ryr2",18.63689332,18.25380827,18.69882248
"Ryr3",1.823435317,1.938929591,1.729009249
"S100a1",59.34397348,63.24092856,55.35679581
"S100a10",23.26449959,28.84804477,26.57328957
"S100a11",3.993793225,7.015362746,5.39067603
"S100a13",9.305595025,10.68165549,10.02886684
"S100a14",0,0.100721936,0
"S100a16",24.77169772,30.0908489,23.4018257
"S100a2",0,0,0.176022074
"S100a3",0.157532521,0.205375396,0.123673502
"S100a4",2.5344646,2.379013563,1.857074996
"S100a5",0.071005778,0,0
"S100a6",14.58709514,20.82289433,14.57506843
"S100a7a",0.082431233,0.171945165,0.155313595
"S100a8",1.621540106,1.550269893,1.414463098
"S100a9",1.516325672,2.108625253,0.31744439
"S100b",67.57621143,66.35504717,63.52531754
"S100g",0,0,0
"S100pbp",9.071901613,8.915778015,8.799835553
"S100z",0,0,0
"S1pr1",50.25971322,51.79880747,45.76341487
"S1pr2",0.701236285,0.534457052,0.465822165
"S1pr3",2.657966053,2.611986643,2.436005761
"S1pr4",0.154948672,0.069259484,0.139022867
"S1pr5",6.05071679,6.244235198,5.933601833
"Saa1",0.174053593,0.060510385,0
"Saa2",0.059921165,0.124990909,0
"Saa3",0,0,0
"Saa4",0,0,0
"Saal1",1.64309677,2.273257315,1.8837222
"Sac3d1",9.483767318,8.242668292,7.788400304
"Sacm1l",24.39564211,25.45979299,24.72917982
"Sacs",7.475622634,7.175326326,7.801547507
"Sae1",32.837163,32.42105497,31.99105866
"Safb",35.7046209,36.97396436,36.17909564
"Safb2",17.24477875,18.9064026,18.80575838
"Sag",0.371721475,0.34688151,0.317424849
"Sall1",4.941778653,4.957441963,5.224769125
"Sall2",10.96930148,11.02641875,10.78597033
"Sall3",0.489710109,0.590553155,0.608720406
"Sall4",0.010026559,0.020914625,0.020990707
"Samd1",9.540282802,11.01718513,9.772157417
"Samd10",8.205163007,7.733100292,7.761231484
"Samd11",0.188193901,0.248620003,0.183860101
"Samd12",5.014534142,5.100111288,5.275954235
"Samd14",8.426046432,10.19925815,8.691249598
"Samd15",0.845520765,0.816523524,0.83588372
"Samd3",0.431021796,0.425879087,0.463047363
"Samd4",5.273119494,5.210894442,5.466972127
"Samd4b",18.49316453,18.59566405,18.09507727
"Samd5",1.025143033,0.925669779,1.137890459
"Samd7",0.016288533,0,0.051150326
"Samd8",12.05292093,12.20913506,12.48125723
"Samd9l",1.101937109,1.189603254,1.315347436
"Samhd1",2.899518611,2.97894999,3.250260548
"Samm50",41.98364091,43.22593542,40.46666478
"Samsn1",0.631624294,0.778534158,0.570998437
"Samt1",0,0,0
"Samt2",0,0,0
"Samt3",0,0,0
"Samt4",0,0,0
"Sap130",10.65108066,10.90647258,11.16101216
"Sap18",19.1477408,20.35378271,18.16697463
"Sap18b",10.71309643,12.82865491,9.621880812
"Sap25",2.636081162,3.475568797,3.748526431
"Sap30",3.805981709,4.389790594,3.562103519
"Sap30bp",19.38415133,18.96770204,18.08998435
"Sap30l",14.5676902,13.12493301,15.6067603
"Sapcd1",0.332102258,0,0.115876601
"Sapcd2",0.192107024,0.160288148,0.361960286
"Sar1a",36.43705592,36.50299932,34.4118909
"Sar1b",34.66532667,35.36095552,31.46271661
"Saraf",123.37424,130.7691877,117.5218471
"Sardh",2.302568613,2.424919041,2.421983124
"Sarm1",5.939157547,6.065931755,6.775179634
"Sarnp",4.517863288,4.763173323,3.958048902
"Sars",52.58418747,53.32191801,54.33921195
"Sars2",5.002166465,6.315395514,6.448601943
"Sart1",12.57927813,14.17231428,13.64663773
"Sart3",12.45753508,11.59424539,11.45647783
"Sash1",7.2946725,7.459507363,7.912625837
"Sash3",0.790601644,0.494740134,0.868944793
"Sass6",0.919329429,1.135450639,1.076271076
"Sat1",24.03973387,22.52203163,23.99230459
"Sat2",4.346490173,5.804217395,5.952893776
"Satb1",11.70641059,10.98506818,11.24235357
"Satb2",15.79175779,16.00087976,16.23683026
"Satl1",0,0,0
"Sav1",8.310714269,8.426982142,9.22651365
"Saxo1",0.024903766,0.025973663,0.052136299
"Saxo2",0.82228819,0.76405676,0.625988749
"Saysd1",2.129257821,2.199783114,1.871360962
"Sbds",44.72364041,43.54011472,40.94048308
"Sbf1",30.94297147,31.21449147,31.3794139
"Sbf2",8.310456248,8.933267108,8.372986423
"Sbk1",15.69327861,15.73708149,15.20764989
"Sbk2",0.033419754,0.209133053,0
"Sbk3",0.172261171,0.583900619,0.450788239
"Sbno1",17.73816109,16.98815261,17.66762619
"Sbno2",3.170292876,2.927623715,2.89506381
"Sbp",0,0,0
"Sbpl",0,0,0
"Sbsn",1.943464818,1.636110019,1.815390546
"Sbspon",0.115655699,0.040208138,0.060531609
"Sc5d",15.50981021,16.69286879,17.06927359
"Scaf1",40.17310487,40.67863324,40.93695469
"Scaf11",9.930266999,8.702562783,10.12946357
"Scaf4",8.387146608,7.706373103,9.449378385
"Scaf8",13.45726328,13.30982607,14.79192274
"Scai",7.359411568,6.831166134,8.170382122
"Scamp1",62.43447968,60.36721391,62.34155345
"Scamp2",6.855482261,7.327642258,7.421155748
"Scamp3",0.301920704,0.209927733,0.3160371
"Scamp4",22.89892986,21.76728466,21.07722704
"Scamp5",127.4501339,130.5422722,127.8999027
"Scand1",22.93056847,27.11414625,25.38886816
"Scap",23.26521327,22.55010423,22.69147582
"Scaper",8.566574379,8.435976933,9.007959652
"Scara3",9.093429334,8.353240672,10.19957605
"Scara5",0.075725962,0.049362028,0.059449914
"Scarb1",6.336580651,7.187459572,6.892661524
"Scarb2",35.52298282,32.6490762,36.03288566
"Scarf1",0.514274856,0.689616969,0.692125633
"Scarf2",1.179242765,1.346246845,1.367824965
"Sccpdh",33.787544,34.53846949,36.25277558
"Scd1",52.93745694,49.39815393,49.63516818
"Scd2",310.6918026,290.1908402,298.5065492
"Scd3",1.190687087,1.416971863,1.597894912
"Scd4",0.034485879,0.17983718,0.144393108
"Scel",1.135727061,0.963409056,0.713297
"Scfd1",7.627611868,8.161171095,7.423427625
"Scfd2",2.627495543,2.831721942,2.566988586
"Scg2",44.31583305,46.76383497,45.11891433
"Scg3",38.7937856,38.97551334,36.77993984
"Scg5",166.5952949,169.6101164,160.2855289
"Scgb1a1",0,0,0
"Scgb1b12",0,0,0
"Scgb1b19",0,0,0
"Scgb1b2",0,0,0
"Scgb1b20",0,0,0
"Scgb1b24",0,0,0
"Scgb1b27",0,0,0
"Scgb1b29",0,0,0
"Scgb1b3",0,0,0
"Scgb1b30",0,0,0
"Scgb1b7",0,0,0
"Scgb1c1",0,0,0
"Scgb2b1",0,0,0
"Scgb2b10",0,0,0
"Scgb2b11",0,0,0
"Scgb2b12",0,0,0
"Scgb2b15",0,0,0
"Scgb2b17",0,0,0
"Scgb2b18",0,0,0
"Scgb2b19",0,0,0
"Scgb2b2",0,0,0
"Scgb2b20",0,0,0
"Scgb2b21",0,0,0
"Scgb2b24",0,0,0
"Scgb2b26",0,0,0
"Scgb2b27",0,0,0
"Scgb2b3",0,0,0
"Scgb2b30",0,0,0
"Scgb2b33",0,0,0
"Scgb2b4-ps",0,0,0
"Scgb2b6",0,0,0
"Scgb2b7",0,0,0
"Scgb3a1",0.259234797,0,0
"Scgb3a2",0,0,0
"Scgn",0.066268111,0.115191788,0.046244331
