"Gene_ID","GSM7012039","GSM7012040"
"ENSMUSG00000004843",347,371
"ENSMUSG00000004846",313,369
"ENSMUSG00000004849",484,518
"ENSMUSG00000004864",0,0
"ENSMUSG00000004865",1380,1397
"ENSMUSG00000004872",0,0
"ENSMUSG00000004880",175,155
"ENSMUSG00000004885",13,6
"ENSMUSG00000004891",1141,1207
"ENSMUSG00000004892",3376,3352
"ENSMUSG00000004894",4,10
"ENSMUSG00000004895",692,704
"ENSMUSG00000004896",375,374
"ENSMUSG00000004897",1186,1121
"ENSMUSG00000004902",559,687
"ENSMUSG00000004929",428,508
"ENSMUSG00000004931",89,98
"ENSMUSG00000004933",308,329
"ENSMUSG00000004934",178,215
"ENSMUSG00000004936",719,747
"ENSMUSG00000004937",1226,1463
"ENSMUSG00000004939",3,4
"ENSMUSG00000004945",194,221
"ENSMUSG00000004947",178,166
"ENSMUSG00000004948",1,2
"ENSMUSG00000004951",6,6
"ENSMUSG00000004952",78,67
"ENSMUSG00000004961",559,539
"ENSMUSG00000004980",2604,2782
"ENSMUSG00000004988",0,0
"ENSMUSG00000004994",157,133
"ENSMUSG00000004996",132,149
"ENSMUSG00000005034",3561,3668
"ENSMUSG00000005043",140,129
"ENSMUSG00000005045",2403,2583
"ENSMUSG00000005054",146,136
"ENSMUSG00000005057",173,167
"ENSMUSG00000005069",511,604
"ENSMUSG00000005078",355,428
"ENSMUSG00000005087",689,740
"ENSMUSG00000005089",11394,11649
"ENSMUSG00000005102",640,629
