"Gene","GSM6845651","GSM6845652","GSM6845653","GSM6845654"
"3-Sep",3897,3219,3155,4768
"3110001I22Rik",35,35,36,43
"3110009E18Rik",13,10,5,10
"3110021N24Rik",25,40,35,56
"3110040N11Rik",43,28,33,37
"3110082I17Rik",29,19,9,23
"3110082J24Rik",12,5,17,15
"3300002I08Rik",13,28,34,34
"3425401B19Rik",7,12,13,8
"3830403N18Rik",0,2,1,1
"3830406C13Rik",208,188,196,206
"4-Mar",288,291,330,240
"4-Sep",2680,2666,2931,3212
"4430402I18Rik",21,20,21,11
"4833420G17Rik",267,272,282,356
"4833423E24Rik",1,0,0,0
"4833427G06Rik",3,3,3,3
"4833439L19Rik",891,796,821,998
"4921504E06Rik",0,0,0,1
"4921507P07Rik",23,16,31,49
"4921524J17Rik",98,101,89,102
"4921536K21Rik",7,6,8,8
"4921539E11Rik",1,1,0,1
"4930402F06Rik",1,0,1,1
"4930402H24Rik",1059,1176,1237,1151
"4930404H24Rik",8,7,7,13
"4930404N11Rik",14,8,11,14
"4930407I10Rik",0,2,0,0
"4930412O13Rik",1,0,0,1
"4930415O20Rik",1,0,1,0
"4930430F08Rik",130,129,122,197
"4930432K21Rik",35,27,23,52
"4930438A08Rik",0,0,0,0
"4930444P10Rik",1,1,0,0
"4930447A16Rik",9,11,3,9
"4930447C04Rik",22,29,6,14
"4930447F04Rik",0,0,1,0
"4930451I11Rik",9,3,3,5
"4930452B06Rik",17,15,10,6
"4930453N24Rik",295,376,355,427
"4930467E23Rik",0,2,0,1
"4930469K13Rik",1,1,2,6
"4930470P17Rik",1,1,0,0
"4930502E18Rik",2,3,2,0
"4930503L19Rik",187,235,214,300
"4930505A04Rik",3,3,5,3
"4930519G04Rik",0,1,0,0
"4930522L14Rik",56,50,51,74
"4930523C07Rik",68,77,114,75
"4930524B15Rik",2,1,0,0
"4930539E08Rik",12,17,10,15
"4930544D05Rik",1,2,1,2
"4930548H24Rik",0,0,0,1
"4930550C14Rik",3,5,3,10
"4930556J24Rik",6,6,2,3
"4930558K02Rik",0,2,2,0
"4930562C15Rik",62,35,23,66
"4930563E22Rik",31,25,29,41
"4930563M21Rik",2,1,1,2
"4930578G10Rik",1,4,1,0
"4930579G24Rik",18,29,26,35
"4930590J08Rik",44,40,33,54
"4930595D18Rik",2,8,1,5
"4931406B18Rik",0,1,0,0
"4931406C07Rik",142,149,136,159
"4931406P16Rik",230,242,238,327
"4931414P19Rik",19,31,27,32
"4931422A03Rik",47,28,29,37
"4931423N10Rik",3,4,5,6
"4931428F04Rik",154,129,124,166
