"Gene_ID","GSM4913330","GSM4913331","GSM4913332","GSM4913333","GSM4913334","GSM4913335","GSM4913336","GSM4913337","GSM4913338","GSM4913339","GSM4913340","GSM4913341","GSM4913342","GSM4913343","GSM4913344"
"ENSMUSG00000001323",3419,1962,5208,2130,4827,6559,5490,4104,5007,3780,4640,3666,4718,5168,2890
"ENSMUSG00000001333",0,0,58,30,34,44,26,65,9,48,84,194,49,94,103
"ENSMUSG00000001334",2326,1626,1260,5108,1516,2357,2026,1495,1314,3067,1153,1490,895,2224,2340
"ENSMUSG00000001348",0,0,21,0,0,12,28,21,24,13,12,0,0,0,0
"ENSMUSG00000001349",57,0,0,2,37,18,0,47,1,19,71,91,0,68,201
"ENSMUSG00000001366",4783,5153,6252,6501,4121,4572,4519,4128,5141,4534,4319,4032,6077,4304,3737
"ENSMUSG00000001376",2542,3137,5005,2372,3604,6645,4889,4122,5363,2960,3848,2363,4386,3518,2170
"ENSMUSG00000001380",3952,3521,4963,5086,4159,4131,4473,3445,4021,3442,4172,2536,6362,3699,2944
"ENSMUSG00000001383",13234,7017,7629,6321,5428,8844,8576,5867,6757,3575,5587,11126,7049,6534,9917
"ENSMUSG00000001403",0,0,36,66,0,19,38,70,15,4,43,48,64,80,98
"ENSMUSG00000001415",759,769,532,573,646,322,375,343,447,517,411,480,210,482,734
"ENSMUSG00000001416",6101,6534,9341,6492,6300,8829,10639,9527,8194,6885,8780,3729,7123,6085,3168
"ENSMUSG00000001418",2698,1242,1292,1627,1516,1135,1543,1822,1783,2032,2302,1663,1539,1759,1802
"ENSMUSG00000001419",1542,493,767,871,2476,568,335,547,462,1537,908,1217,248,1242,979
"ENSMUSG00000001420",13,5,25,30,37,30,23,20,25,108,14,20,14,66,26
"ENSMUSG00000001424",661,117,987,514,2393,873,485,983,917,2416,1228,755,1013,1003,513
"ENSMUSG00000001435",118,0,0,0,135,3,7,181,73,244,243,0,0,37,45
"ENSMUSG00000001436",161,474,427,175,763,463,457,568,586,848,554,134,300,644,307
"ENSMUSG00000001440",1306,618,743,999,1391,672,548,604,619,897,643,872,192,811,713
"ENSMUSG00000001441",1445,1269,1557,1394,2398,1422,1275,1548,1650,2359,1552,899,1266,1159,982
"ENSMUSG00000001444",0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"ENSMUSG00000001445",2291,1920,2113,2659,2300,2177,2821,1891,1962,2198,2128,1811,1563,1740,1709
"ENSMUSG00000001467",1955,1717,3358,2117,2346,3118,1898,4711,3384,3064,4370,1707,2743,2112,1679
"ENSMUSG00000001472",11540,10225,15414,15056,20932,12585,11138,12536,11182,18343,12121,9917,8907,16217,10135
"ENSMUSG00000001473",0,55,50,0,40,135,56,138,28,168,100,79,0,175,196
"ENSMUSG00000001482",687,665,800,1166,913,972,479,1108,846,1265,823,596,222,691,859
"ENSMUSG00000001493",0,0,0,0,14,83,20,50,43,106,66,41,0,37,0
"ENSMUSG00000001494",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"ENSMUSG00000001496",22,0,21,42,5,12,0,30,12,6,43,0,0,0,0
"ENSMUSG00000001497",0,0,0,0,0,0,0,0,1,1,1,0,0,4,0
"ENSMUSG00000001504",0,0,10,0,0,15,0,23,0,0,18,0,0,0,0
"ENSMUSG00000001506",0,0,10,3,28,19,22,40,33,218,49,36,0,113,22
"ENSMUSG00000001507",46,2,299,320,313,90,157,234,91,507,211,307,56,160,30
"ENSMUSG00000001508",0,0,18,0,0,5,3,21,2,37,0,0,0,0,0
"ENSMUSG00000001510",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSMUSG00000001517",158,45,66,82,18,6,14,62,24,12,48,0,9,4,0
"ENSMUSG00000001518",470,460,878,897,481,288,410,598,612,831,560,330,343,647,198
"ENSMUSG00000001520",1434,825,2231,2455,1083,407,432,617,593,623,1171,182,197,273,322
"ENSMUSG00000001521",334,24,88,312,115,150,146,269,140,208,294,316,84,161,229
"ENSMUSG00000001524",200,624,470,434,509,340,448,306,404,460,378,405,344,368,772
"ENSMUSG00000001525",12633,5190,7762,7918,14223,7256,10305,5806,6439,8201,6807,7656,8633,8872,9634
"ENSMUSG00000001542",944,930,735,256,1252,523,457,1069,535,742,678,612,807,422,536
"ENSMUSG00000001552",47,622,318,181,761,398,211,800,294,1956,916,184,289,528,92
"ENSMUSG00000001555",0,0,262,304,322,201,140,198,143,386,216,0,124,218,0
"ENSMUSG00000001558",1,0,59,61,10,6,25,7,49,5,24,24,0,27,1
"ENSMUSG00000001566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000001569",1136,857,1180,1278,1108,803,733,650,1038,1031,975,616,790,668,1071
"ENSMUSG00000001576",1516,1908,2545,1365,4383,2201,1398,3086,2611,3826,2231,815,1166,2177,1304
"ENSMUSG00000001583",16,12,19,12,26,9,9,14,21,25,7,24,2,22,53
"ENSMUSG00000001588",0,0,28,103,0,0,24,5,10,14,0,0,0,1,0
