mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
bilglcur[r],2135,DOLGPP_Ler,,
biliverd[c],2137,DOLICHOL_Lter,,
bilirub[c],215,DOLK_L,,
bilirub[r],216,DOLPGT3_Ler,,
btn[e],2167,DOPABMO,,
btn[c],2168,DOPAMT,,
but[c],2169,DOPASFt,,
but[m],217,DOPASULT,,
h[r],2170,DOPAt4_2_r,,
nadph[r],2171,DOPAtu,,
44mctr[r],2172,DPCOAtl,,
nadp[r],2173,DPHMBDCm,,
44mzym[r],218,DPPS,,
c226coa[c],2180,DRPA,,
c226coa[x],2181,DSAT,,
4mzym_int1[r],2182,DURAD,,
co2[r],2184,DURIt,,
4mzym_int2[r],219,DURItn,,
o2[r],2194,DUTPDPm,,
h2o[r],220,EBP1r,,
ca2[c],220074,ECOAH12m,,
ca2[e],2203,ECOAH1m,,
h2o2[m],221,ECOAH9m,,
h2o2[x],221823,ESTRADIOLGLCt,,
prostge2[c],222,ESTRADIOLGLCt2,,
prostgf2[c],2222,ESTRADIOLt,,
cdpdag_hs[c],2224,ESTRADIOLtr,,
inost[c],222537,ESTRIOLtr,,
cmp[c],222962,ESTRONESt,,
pail_hs[c],223,ESTRONESt2,,
cdpdag_hs[m],2235,ESTRONEtr,,
pa_hs[m],224,ETHAK,,
ctp[m],225,FACOAL1813,,
cdpchol[c],226,FACOAL1832,,
dag_hs[c],2271,FACOAL184,,
pchol_hs[c],22856,FACOAL226,,
cdpea[c],229,FACOAL40im,,
pe_hs[c],22934,FADH2tx,,
crm_hs[c],22978,FADtx,,
crm_hs[r],230,FAEL183,,
gluside_hs[c],23007,FAEL184,,
gluside_hs[r],23057,FAEL205,,
cgly[e],231,FALDH,,
cgly[c],23205,FAOXC80,,
chsterol[r],23236,FAS100COA,,
xol25oh[r],23250,FAS120COA,,
chol[c],23305,FAS140COA,,
chol[n],23315,FAS160COA,,
coa[n],23396,FAS180COA,,
cholp[c],23417,FAS80COA_L,,
ctp[c],23428,FATP1t,,
cholate[e],23439,FATP2t,,
cholate[c],23464,FATP3t,,
chol[g],23475,FATP5t,,
chsterol[c],2348,FBP26,,
pap[c],23498,FCLTm,,
chsterols[c],2350,FE2t,,
chsterol[l],2352,FE3R2e,,
chsterol[m],23530,FKYNH,,
creat[m],23533,FORt2m,,
pcreat[m],23539,FORtr,,
creat[c],23545,FRUt1r,,
pcreat[c],2356,FTHFDH,,
cl[e],23563,FTHFLm,,
for[c],23600,FUCACNGALACGLCGALGLUSIDEte,,
cl[c],23632,FUCACNGALACGLCGALGLUSIDEtg,,
for[e],23657,FUCGALFUCGALACGLCGALGLUSIDEte,,
clpndcoa[c],23743,FUMAC,,
clpndcoa[x],23761,FUMm,,
pglyc_hs[c],239,FUMtm,,
clpn_hs[c],240,FUT18g,,
cmp[g],245972,FUT32g,,
cmpacna[c],245973,G14T2g,,
cmpacna[g],246,G14T3g,,
co2[g],246213,G14T4g,,
co2[x],247,G14T5g,,
coa[g],248,G3PD2m,,
coa[l],249,G5SADrm,,
2dpmhobq[m],2495,G5SDym,,
q10[m],2512,G6PDH1rer,,
2dp6mobq[m],2523,G6PDH2rer,,
2dp6mobq_me[m],2524,GABAVESSEC,,
2dp6mep[m],2525,GACMTRc,,
T_antigen[g],2526,GAL3ST11,,
co[c],2527,GALASE16ly,,
co[e],2528,GALASE17ly,,
T4hcinnm[m],2529,GALASE18ly,,
creat[e],2531,GALASE19ly,,
crn[c],2538,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,,
pcrn[x],2539,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
crn[x],2542,GALGLUSIDEtg,,
pcrn[c],257068,GALGLUSIDEtl,,
crn[e],2571,GALNACT1g,,
cspg_a[l],2572,GALNACT2g,,
Ser_Gly_Ala_X_Gly[l],257202,GALNACT4g,,
cs_a[l],25769,GALNTg,,
cspg_b[l],25796,GALSIDEtg,,
cs_b[l],2581,GALt1r,,
cspg_e[l],2582,GALT2g,,
cs_e[l],2583,GALTg,,
ppcoa[x],25830,GALtly,,
accoa[x],2584,GAMt1r,,
acrn[x],2585,GAO1g,,
acrn[c],25874,GARFT,,
csn[e],2588,GBA,,
csn[c],2589,GBSIDEte,,
cspg_a[g],2590,GBSIDEtl,,
cspg_a[e],25902,GCC2am,,
cspg_b[e],2591,GCC2bim,,
cspg_d[g],2592,GCC2cm,,
cspg_d[e],259230,GCCam,,
cspg_e[e],2593,GCCbim,,
mercppyr[c],259307,GCCcm,,
cytd[m],2595,GCHOLAt,,
cmp[m],2597,GCHOLAt2,,
cytd[e],26,GCNTg,,
cytd[c],26002,GDPFUCtg,,
dgtp[c],26027,GDPtg,,
dcmp[c],260293,GGNG,,
dgdp[c],26035,GGT5r,,
dcdp[c],26061,GGT6,,
cdp[m],2618,GHMT2rm,,
cdp[c],262,GLBRAN,,
dad_2[e],26227,GLCAASE1ly,,
dad_2[c],26229,GLCAASE4ly,,
dag_hs[e],26266,GLCAASE7ly,,
ala_D[x],26275,GLCAASE8ly,,
pyr[x],26279,GLCAASE9ly,,
nh4[x],2628,GLCAE2g,,
dhdascb[c],26289,GLCAT2g,,
dcyt[m],2629,GLCAT4g,,
dcmp[m],26290,GLCAT6g,,
dcsptn1coa[c],26301,GLCAT7g,,
dcsptn1coa[x],2632,GLCAT8g,,
h2o[n],26330,GLCAT9g,,
h[n],2639,GLCATg,,
dcyt[n],2643,GLCMter,,
nh4[n],2645,GLCNACASE1ly,,
duri[n],2650,GLCNACASE2ly,,
dcyt[e],26503,GLCNACASE3ly,,
dcyt[c],2651,GLCNACASE4ly,,
decdp[c],2653,GLCNACASE5ly,,
decdp[m],266722,GLCNACDASg,,
pmtcoa[c],267020,GLCNACT1g,,
hdcoa[c],2673,GLCNACT2g,,
lnlncacoa[c],2678,GLCNACT3g,,
strdnccoa[c],2683,GLCNACT4g,,
stcoa[c],2686,GLCNACT5g,,
odecoa[c],2687,GLCt1r,,
octd11ecoa[c],26873,GLCt2_2,,
od2coa[c],270,GLCtg,,
lneldccoa[c],27010,GLCtly,,
lnlccoa[c],27034,GLCURtly,,
lnlncgcoa[c],27068,GLDBRAN,,
dlnlcgcoa[c],27087,GLGNS1,,
eicostetcoa[c],27089,GLNALANaEx,,
tmndnccoa[c],271,GLNASNNaEx,,
h[x],2710,GLNCYSNaEx,,
nadh[x],27109,GLNSERNaEx,,
nad[x],27115,GLNTHRNaEx,,
tag_hs[c],2712,GLNtm,,
dgchol[c],27124,GLNtN1,,
dgsn[e],2713,GLPASE1,,
dgsn[c],27165,GLPASE2,,
dhdascb[e],272,GLU5Km,,
ddsmsterol[r],2720,GLUCYS,,
dsmsterol[r],27235,GLUDC,,
7dhchsterol[r],2729,GLUDxm,,
dhcrm_hs[c],2730,GLUDym,,
3dpdhb_me[m],27306,GluForTx,,
dheas[e],2731,GLUNm,,
dheas[c],2739,GLUt2m,,
dhor_S[c],27430,GLUt6,,
q10h2[m],2744,GLUTCOADHm,,
orot[c],2745,GLUtr,,
56dura[c],2746,GLUVESSEC,,
cala[c],2747,GLYAMDTRc,,
din[e],275,GLYCLTDy,,
din[c],276,GLYOXm,,
dkmpp[c],2760,GLYt4,,
2kmb[c],2762,GLYt7_211_r,,
lac_D[e],2766,GMPtg,,
lac_D[c],277,GNDer,,
lac_D[m],278,GPAM_hs,,
13_cis_retn[n],279,GQ1BALPHAte,,
datp[m],2799,GSNt,,
dctp[m],28,GSNt4,,
dgtp[m],280,GTHDH,,
dttp[m],2805,GTHP,,
sprm[c],2806,GTHPe,,
sTn_antigen[g],2819,GTHPm,,
dolglcp_L[c],2820,GTHRDtr,,
dolglcp_L[r],28231,GTHS,,
dolp_L[r],28232,GUACYC,,
glc_D[r],28234,GUAD,,
dolichol_L[r],283208,H2CO3Dm,,
dolichol_L[c],283209,H2O2syn,,
dolp_L[c],283358,H2O2tm,,
pi[r],284004,H2Otg,,
dopasf[c],284111,H2Otly,,
dopasf[e],284273,H2Otm,,
dopa[e],286016,H2Otn,,
dpcoa[l],286410,H2Otp,,
dpcoa[c],2875,HACD1m,,
ipdp[c],2876,HACD9m,,
frdp[c],2877,HAS1,,
2dr5p[c],2878,HAS2,,
g3p[c],2879,HAtly,,
Rtotalcoa[c],2882,HBZOPT10m,,
ura[c],28965,HCO3_CLt,,
duri[e],28976,HGNTOR,,
duri[c],28982,HIBDm,,
dutp[m],290,HISDC,,
dump[m],291,HISt4,,
zymst[r],29124,HISTASE,,
chlstol[r],292,HISTAtu,,
2mp2coa[m],293,HISTAVESSEC,,
3hbcoa[m],2936,HKt,,
3hmbcoa[m],2937,HKYNH,,
estradiolglc[e],2944,HMGCOASi,,
estradiolglc[c],2946,HMGCOASim,,
estradiol[e],2954,HMGCOAtm,,
estradiol[c],2974,HMGCOAtx,,
estradiol[r],2977,HMGLm,,
estriol[r],2978,HOMt4,,
estriol[c],29785,HOXG,,
estrones[e],29796,HS1ly,,
estrones[c],2982,HS2ly,,
estrone[r],2983,HS3ly,,
estrone[c],2984,HS4ly,,
etha[c],2986,HSAT1ly,,
ethamp[c],2987,HSAT2ly,,
elaid[c],29880,HSAT3ly,,
lnlnca[c],29881,HSAT4ly,,
strdnc[c],2990,HSD17B1,,
crvnc[c],29906,HSD17B42x,,
fadh2[c],2992,HSD3A1r,,
fad[c],29922,HSPASEly,,
malcoa[c],29925,HSPGt,,
gthrd[c],29926,HSPGtly,,
fald[c],29958,Htg,,
Sfglutth[c],29968,Htr,,
occoa[m],2997,HYPTROX,,
occoa[c],2998,ICDHxm,,
dcacoa[c],29988,ICDHy,,
ddcacoa[c],30,ICDHyp,,
tdcoa[c],3000,ICDHyrm,,
hdca[c],3028,IDOAASE1ly,,
hdca[e],3029,IDOAASE2ly,,
ocdcea[c],3030,IDOAASE3ly,,
ocdcea[e],3032,IDOAASE4ly,,
ocdca[c],3033,IDOURtly,,
ocdca[e],3036,ILEt5m,,
f26bp[c],3037,ILETAm,,
f6p[c],3038,INSt,,
fe2[m],3067,INSt4,,
ppp9[m],3073,INSTt2r,,
pheme[m],3074,INSTt4,,
fe2[e],3081,KAS8,,
fe2[c],30814,KCCt,,
fe3[e],30815,KHK,,
Lfmkynr[c],30833,KSII_CORE2t,,
Lkynr[c],3098,KSII_CORE2tly,,
for[m],3099,KYN,,
for[r],3101,KYN3OX,,
fru[e],314,KYNAKGAT,,
fru[c],3141,KYNATESYN,,
thf[c],3145,LACZe,,
thf[m],3155,LAPCOAl,,
fucacngalacglcgalgluside_hs[e],3156,LCTStg,,
fucacngalacglcgalgluside_hs[c],3157,LCYSTCBOXL,,
fucacngalacglcgalgluside_hs[g],3158,LDH_Lm,,
fucgalfucgalacglcgalgluside_hs[e],316,LEUKTRA4tr,,
fucgalfucgalacglcgalgluside_hs[c],3162,LEUKTRB4t,,
4fumacac[c],3163,LEUKTRD4t,,
fum[m],3176,LEUKTRD4tr,,
gdpfuc[g],3177,LEUKTRE4t,,
gdp[g],32,LEUt4,,
acngalacglcgalgluside_hs[g],3242,LEUt5m,,
ksii_core2_pre1[g],3251,LEUTAm,,
ksii_core2_pre6[g],3284,LEUtec,,
ksii_core2_pre9[g],3291,LGNCt,,
ksii_core2_pre10[g],3292,LINKDEG1ly,,
glyc3p[c],3294,LINKDEG2ly,,
dhap[c],3295,LINKDEG4ly,,
glu5sa[m],33,L_LACtcm,,
1pyr5c[m],3340,L_LACtm,,
glu5p[m],337876,LNELDCt,,
nad[r],338707,LNLNCAt,,
g6p[r],339221,LNSTLSr,,
nadh[r],34,LPASE,,
6pgl[r],340024,LPS,,
gudac[c],340811,LPS2e,,
paps[g],341392,LPS3,,
galside_hs[g],3417,LRAT,,
pap[g],3418,LSTO1r,,
sgalside_hs[g],3419,LSTO2r,,
ksii_core2_deg2[l],341947,LTA4H,,
gal[l],3420,LTC4CP,,
ksii_core2_deg3[l],3421,LTC4Sr,,
ksii_core2_deg5[l],3422,LTD4DP,,
ksii_core2_deg6[l],3423,LYSt4,,
ksii_core2_deg8[l],3425,LYStiDF,,
ksii_core2_deg9[l],343,MACACI,,
f1a[l],344967,MACOXO,,
core6[l],347734,MAGt,,
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e],348158,MALTt1r,,
galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[c],349565,MANt1r,,
galgluside_hs[c],35,MAOLNOR,,
galgluside_hs[l],353,MCCCrm,,
cs_hs_linkage[g],36,MCDm,,
cs_pre[g],360,MDHm,,
cs_a_b_pre2[g],360203,MDRPD,,
cs_a_b_pre3[g],3612,ME2,,
cs_d_pre3[g],3613,ME2m,,
cs_d_pre4[g],3614,METAT,,
Ser_Thr[g],3615,METLEUex,,
Tn_antigen[g],3620,METS,,
galside_hs[c],3628,METt4,,
gal[e],3631,MGCHrm,,
gal[c],3632,MGSA,,
lxser[g],3633,MHISOR,,
l2xser[g],3635,MI1345PP,,
xser[g],3636,MI134PP,,
