mets,genes,rxns,,"# in genes, we removed the transcript numeber, ex .1, .2 ..etc and removed duplicates to maintain the uniques genes "
,,HMR_5420,,
,,HMR_6385,,
,,HMR_6755,,
,,HMR_6770,,
,,HMR_6782,,
,,HMR_7198,,
,,HMR_7628,,
,,HMR_7703,,
,,HMR_7711,,
,,HMR_7756,,
,,HMR_8475,,
,,HMR_8476,,
,,HMR_8510,,
,,HMR_8585,,
,,HMR_8877,,
,,HMR_8884,,
,,HMR_9187,,
,,HMR_9191,,
,,HMR_9583,,
,,HMR_9584,,
,,HMR_9605,,
,,HMR_9627,,
,,HMR_9639,,
,,HMR_9680,,
,,HMR_9803,,
,,HMR_9804,,
,,HMR_9805,,
,,12DHCHOLabc,,
,,12DHCHOLt,,
,,3DHCAS,,
,,3DHCDCAS,,
,,3DHCDCHOLabc,,
,,3DHCDCHOLt,,
,,3DHCHOLabc,,
,,3DHCHOLt,,
,,3DHDCAS,,
,,7DHCDCHOLabc,,
,,7DHCDCHOLt,,
,,7DHCHOLabc,,
,,7DHCHOLt,,
,,CA24GSc,,
,,CA24GSr,,
,,CA24Gte,,
,,CA24Gtr,,
,,CASULT,,
,,CDCA24GSc,,
,,CDCA24GSr,,
,,CDCA24Gte,,
,,CDCA24Gtr,,
,,CDCA3GSc,,
,,CDCA3GSr,,
,,CDCA3Gte,,
,,CDCA3Gtr,,
,,HC02220t,,
,,CDCA6AH,,
,,COPROSTabc,,
,,COPROSTt,,
,,DCA24GSc,,
,,DCA24GSr,,
,,DCA24Gte,,
,,DCA24Gtr,,
,,DCA3GSc,,
,,DCA3GSr,,
,,DCA3Gte,,
,,DCA3Gtr,,
,,DCASULT,,
,,DM_3dhcdchol[c],,
,,DM_3dhchol[c],,
,,DM_3dhdchol[c],,
,,DM_ca3s[c],,
,,DM_cdca24g[c],,
,,DM_dca3s[c],,
,,DM_gca3s[c],,
,,DM_gcdca3s[c],,
,,DM_gdca3s[c],,
,,DM_gudca3s[c],,
,,DM_tca3s[c],,
,,DM_tcdca3s[c],,
,,DM_tdca3s[c],,
,,DM_thyochol[c],,
,,DM_tudca3s[c],,
,,DM_udca3s[c],,
,,GCASULT,,
,,GCDCASULT,,
,,GDCASULT,,
,,GUDCASULT,,
,,HCA24GSc,,
,,HCA24GSr,,
,,HCA24Gte,,
,,HCA24Gtr,,
,,HCA6GSc,,
,,HCA6GSr,,
,,HCA6Gte,,
,,HCA6Gtr,,
,,HYOCHOLt,,
,,HYOCHOLtr,,
,,ICDCHOLabc,,
,,ICDCHOLt,,
,,ISOCHOLabc,,
,,ISOCHOLt,,
,,TCASULT,,
,,TCDCA6AH,,
,,TCDCASULT,,
,,TDCASULT,,
,,TUDCASULT,,
,,UCHOLabc,,
,,UCHOLt,,
,,UDCASULT,,
,,UDCHOLt,,
,,DM_CE1261[c],,
,,DM_4glu56dihdind[c],,
,,DM_4abut[c],,
,,DM_btn[m],,
,,DCMPtm,,
,,ATPS4m,,
,,CYOR_u10m,,
,,Htm,,
,,NADH2_u10m,,
,,CYOOm3,,
,,sink_Ser_Gly_Ala_X_Gly[r],,
,,sink_Tyr_ggn[c],,
,,sink_crvnc[c],,
,,sink_fad[c],,
,,sink_fe3[c],,
,,sink_pydx[c],,
,,sink_thmpp[c],,
,,Tr_EX_2425dhvitd3[e]_[csf],,
,,Tr_EX_34dhoxpeg[e]_[csf],,
,,Tr_EX_3aib[e]_[csf],,
,,Tr_EX_3mlda[e]_[csf],,
,,Tr_EX_ach[e]_[csf],,
,,Tr_EX_acnacngal14acglcgalgluside_hs[e]_[csf],,
,,Tr_EX_ala_D[e]_[csf],,
,,Tr_EX_arach[e]_[csf],,
,,Tr_EX_arachd[e]_[csf],,
,,Tr_EX_bhb[e]_[csf],,
,,Tr_EX_bildglcur[e]_[csf],,
,,Tr_EX_bilglcur[e]_[csf],,
,,Tr_EX_bilirub[e]_[csf],,
,,Tr_EX_chol[e]_[csf],,
,,Tr_EX_cholate[e]_[csf],,
,,Tr_EX_chsterol[e]_[csf],,
,,Tr_EX_co[e]_[csf],,
,,Tr_EX_creat[e]_[csf],,
,,Tr_EX_crn[e]_[csf],,
,,Tr_EX_cspg_a[e]_[csf],,
,,Tr_EX_cspg_b[e]_[csf],,
,,Tr_EX_cspg_d[e]_[csf],,
,,Tr_EX_cspg_e[e]_[csf],,
,,Tr_EX_dgchol[e]_[csf],,
,,Tr_EX_dopasf[e]_[csf],,
,,Tr_EX_estradiol[e]_[csf],,
,,Tr_EX_estrones[e]_[csf],,
,,Tr_EX_fucacngalacglcgalgluside_hs[e]_[csf],,
,,Tr_EX_fucgalfucgalacglcgalgluside_hs[e]_[csf],,
,,Tr_EX_galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[e]_[csf],,
,,Tr_EX_gbside_hs[e]_[csf],,
,,Tr_EX_gchola[e]_[csf],,
,,Tr_EX_gd1c_hs[e]_[csf],,
,,Tr_EX_gq1b_hs[e]_[csf],,
,,Tr_EX_gq1balpha_hs[e]_[csf],,
,,Tr_EX_gthox[e]_[csf],,
,,Tr_EX_h2o2[e]_[csf],,
,,Tr_EX_ha[e]_[csf],,
,,Tr_EX_hco3[e]_[csf],,
,,Tr_EX_hdca[e]_[csf],,
,,Tr_EX_hspg[e]_[csf],,
,,Tr_EX_imp[e]_[csf],,
,,Tr_EX_inost[e]_[csf],,
,,Tr_EX_ksii_core2[e]_[csf],,
,,Tr_EX_lac_D[e]_[csf],,
,,Tr_EX_leuktrB4[e]_[csf],,
,,Tr_EX_leuktrD4[e]_[csf],,
,,Tr_EX_leuktrE4[e]_[csf],,
,,Tr_EX_lneldc[e]_[csf],,
,,Tr_EX_lnlc[e]_[csf],,
,,Tr_EX_lnlnca[e]_[csf],,
,,Tr_EX_lpchol_hs[e]_[csf],,
,,Tr_EX_mag_hs[e]_[csf],,
,,Tr_EX_no[e]_[csf],,
,,Tr_EX_nrpphr[e]_[csf],,
,,Tr_EX_nrvnc[e]_[csf],,
,,Tr_EX_o2s[e]_[csf],,
,,Tr_EX_oagd3_hs[e]_[csf],,
,,Tr_EX_ocdca[e]_[csf],,
,,Tr_EX_ocdcea[e]_[csf],,
,,Tr_EX_pchol_hs[e]_[csf],,
,,Tr_EX_pe_hs[e]_[csf],,
,,Tr_EX_pglyc_hs[e]_[csf],,
,,Tr_EX_prostge2[e]_[csf],,
,,Tr_EX_ps_hs[e]_[csf],,
,,Tr_EX_retinol[e]_[csf],,
,,Tr_EX_Rtotal2[e]_[csf],,
,,Tr_EX_strdnc[e]_[csf],,
,,Tr_EX_tchola[e]_[csf],,
,,Tr_EX_tdchola[e]_[csf],,
,,Tr_EX_thym[e]_[csf],,
,,Tr_EX_tststerone[e]_[csf],,
,,Tr_EX_txa2[e]_[csf],,
,,Tr_EX_urate[e]_[csf],,
,,Tr_EX_xoltri24[e]_[csf],,
,,Tr_EX_xoltri27[e]_[csf],,
,,Tr_EX_xylt[e]_[csf],,
,,Tr_EX_ahdt[e]_[csf],,
,,Tr_EX_HC00250[e]_[csf],,
,,Tr_EX_HC01361[e]_[csf],,
,,Tr_EX_HC01609[e]_[csf],,
,,Tr_EX_HC01610[e]_[csf],,
,,Tr_EX_prostgi2[e]_[csf],,
,,Tr_EX_citr_L[e]_[csf],,
,,Tr_EX_C02528[e]_[csf],,
,,Tr_EX_HC02195[e]_[csf],,
,,Tr_EX_HC02196[e]_[csf],,
,,Tr_EX_HC02220[e]_[csf],,
,,Tr_EX_HC02194[e]_[csf],,
,,Tr_EX_HC02213[e]_[csf],,
,,Tr_EX_CE2839[e]_[csf],,
,,Tr_EX_CE2838[e]_[csf],,
,,Tr_EX_23cump[e]_[csf],,
,,Tr_EX_3ump[e]_[csf],,
,,Tr_EX_CE5786[e]_[csf],,
,,Tr_EX_CE5789[e]_[csf],,
,,Tr_EX_CE0074[e]_[csf],,
,,Tr_EX_doco13ac[e]_[csf],,
,,Tr_EX_leuleu[e]_[csf],,
,,Tr_EX_tdechola[e]_[csf],,
,,Tr_EX_fmn[e]_[csf],,
,,Tr_EX_q10[e]_[csf],,
,,Tr_EX_34hpp[e]_[csf],,
,,Tr_EX_aicar[e]_[csf],,
,,Tr_EX_anth[e]_[csf],,
,,Tr_EX_idour[e]_[csf],,
,,Tr_EX_ethamp[e]_[csf],,
,,Tr_EX_kynate[e]_[csf],,
,,Tr_EX_quln[e]_[csf],,
,,Tr_EX_3hanthrn[e]_[csf],,
,,Tr_EX_udpglcur[e]_[csf],,
,,Tr_EX_hLkynr[e]_[csf],,
,,Tr_EX_orot5p[e]_[csf],,
,,Tr_EX_acrn[e]_[csf],,
,,Tr_EX_pcrn[e]_[csf],,
,,Tr_EX_stcrn[e]_[csf],,
,,Tr_EX_12HPET[e]_[csf],,
,,Tr_EX_2oxoadp[e]_[csf],,
,,Tr_EX_4aabutn[e]_[csf],,
,,Tr_EX_5HPET[e]_[csf],,
,,Tr_EX_7dhchsterol[e]_[csf],,
,,Tr_EX_C02712[e]_[csf],,
,,Tr_EX_C06314[e]_[csf],,
,,Tr_EX_C14771[e]_[csf],,
,,Tr_EX_CE4843[e]_[csf],,
,,Tr_EX_CE7172[e]_[csf],,
,,Tr_EX_elaidcrn[e]_[csf],,
,,Tr_EX_hxcoa[e]_[csf],,
,,Tr_EX_mev_R[e]_[csf],,
,,Tr_EX_nwharg[e]_[csf],,
,,Tr_EX_ttdcrn[e]_[csf],,
,,Tr_EX_estriol[e]_[csf],,
,,Tr_EX_5aop[e]_[csf],,
,,Tr_EX_CE2510[e]_[csf],,
,,Tr_EX_Lcyst[e]_[csf],,
,,Tr_EX_pac[e]_[csf],,
,,Tr_EX_mepi[e]_[csf],,
,,Tr_EX_retinal[e]_[csf],,
,,Tr_EX_maltttr[e]_[csf],,
,,Tr_EX_progly[e]_[csf],,
,,Tr_EX_thbpt[e]_[csf],,
,,Tr_EX_homoval[e]_[csf],,
,,Tr_EX_f1a[e]_[csf],,
,,Tr_EX_HC00342[e]_[csf],,
,,Tr_EX_dxtrn[e]_[csf],,
,,Tr_EX_glcn[e]_[csf],,
,,Tr_EX_acac[e]_[csf],,
,,Tr_EX_adn[e]_[csf],,
,,Tr_EX_akg[e]_[csf],,
,,Tr_EX_asn_L[e]_[csf],,
,,Tr_EX_asp_L[e]_[csf],,
,,Tr_EX_but[e]_[csf],,
,,Tr_EX_cgly[e]_[csf],,
,,Tr_EX_co2[e]_[csf],,
,,Tr_EX_dcyt[e]_[csf],,
,,Tr_EX_fe2[e]_[csf],,
,,Tr_EX_gal[e]_[csf],,
,,Tr_EX_glu_L[e]_[csf],,
,,Tr_EX_h[e]_[csf],,
,,Tr_EX_ile_L[e]_[csf],,
,,Tr_EX_ins[e]_[csf],,
,,Tr_EX_lac_L[e]_[csf],,
,,Tr_EX_lys_L[e]_[csf],,
,,Tr_EX_met_L[e]_[csf],,
,,Tr_EX_na1[e]_[csf],,
,,Tr_EX_o2[e]_[csf],,
,,Tr_EX_pro_L[e]_[csf],,
,,Tr_EX_ser_L[e]_[csf],,
,,Tr_EX_so4[e]_[csf],,
,,Tr_EX_thymd[e]_[csf],,
,,Tr_EX_val_L[e]_[csf],,
,,Tr_EX_pnto_R[e]_[csf],,
,,Tr_EX_ala_L[e]_[csf],,
,,Tr_EX_his_L[e]_[csf],,
,,Tr_EX_thr_L[e]_[csf],,
,,Tr_EX_gln_L[e]_[csf],,
,,Tr_EX_phe_L[e]_[csf],,
,,Tr_EX_tyr_L[e]_[csf],,
,,Tr_EX_arg_L[e]_[csf],,
,,Tr_EX_for[e]_[csf],,
,,Tr_EX_cit[e]_[csf],,
,,Tr_EX_csn[e]_[csf],,
,,Tr_EX_fol[e]_[csf],,
,,Tr_EX_fru[e]_[csf],,
,,Tr_EX_glcur[e]_[csf],,
,,Tr_EX_glyc[e]_[csf],,
,,Tr_EX_hxan[e]_[csf],,
,,Tr_EX_malt[e]_[csf],,
,,Tr_EX_man[e]_[csf],,
,,Tr_EX_rib_D[e]_[csf],,
,,Tr_EX_thm[e]_[csf],,
,,Tr_EX_trp_L[e]_[csf],,
,,Tr_EX_ura[e]_[csf],,
,,Tr_EX_xyl_D[e]_[csf],,
,,Tr_EX_pydxn[e]_[csf],,
,,Tr_EX_34dhpha[e]_[csf],,
,,Tr_EX_gam[e]_[csf],,
,,Tr_EX_tre[e]_[csf],,
,,Tr_EX_btn[e]_[csf],,
,,Tr_EX_ade[e]_[csf],,
,,Tr_EX_pheme[e]_[csf],,
,,Tr_EX_gua[e]_[csf],,
,,Tr_EX_taur[e]_[csf],,
,,Tr_EX_phpyr[e]_[csf],,
,,Tr_EX_2hyoxplac[e]_[csf],,
,,Tr_EX_CE4970[e]_[csf],,
,,Tr_EX_CE2026[e]_[csf],,
,,Tr_EX_CE4968[e]_[csf],,
,,Tr_EX_3ohglutac[e]_[csf],,
,,Tr_EX_eic21114tr[e]_[csf],,
,,Tr_EX_CE2209[e]_[csf],,
,,Tr_EX_34dhoxmand[e]_[csf],,
,,Tr_EX_n8aspmd[e]_[csf],,
,,Tr_EX_CE6205[e]_[csf],,
,,Tr_EX_CE4890[e]_[csf],,
,,Tr_EX_C09642[e]_[csf],,
,,Tr_EX_C05767[e]_[csf],,
,,Tr_EX_C05770[e]_[csf],,
,,Tr_EX_ppbng[e]_[csf],,
,,Tr_EX_mma[e]_[csf],,
,,Tr_EX_CE0737[e]_[csf],,
,,Tr_EX_im4ac[e]_[csf],,
,,Tr_EX_CE1918[e]_[csf],,
,,Tr_EX_mlthf[e]_[csf],,
,,Tr_EX_ppp9[e]_[csf],,
,,Tr_EX_CE2705[e]_[csf],,
,,Tr_EX_sphgn[e]_[csf],,
,,Tr_EX_N1aspmd[e]_[csf],,
,,Tr_EX_CE5025[e]_[csf],,
,,Tr_EX_CE5629[e]_[csf],,
,,Tr_EX_pail_hs[e]_[csf],,
,,Tr_EX_CE1243[e]_[csf],,
,,Tr_EX_ga1_hs[e]_[csf],,
,,Tr_EX_gm1_hs[e]_[csf],,
,,Tr_EX_glc_D[e]_[csf],,
,,Tr_EX_ca24g[e]_[csf],,
,,Tr_EX_cdca24g[e]_[csf],,
,,Tr_EX_cdca3g[e]_[csf],,
,,Tr_EX_dca24g[e]_[csf],,
,,Tr_EX_dca3g[e]_[csf],,
,,Tr_EX_hca24g[e]_[csf],,
,,Tr_EX_hca6g[e]_[csf],,
,,Tr_EX_hyochol[e]_[csf],,
,,Tr_EX_caproic[e]_[csf],,
,,Tr_EX_M01966[e]_[csf],,
,,2HBO,,
,,5AOPtm,,
,,A_MANASEly,,
,,ACGALK2,,
,,ACRNtm,,
,,ADK3,,
,,ADRNLPVESSEC,,
,,AHEXASEly,,
,,AKGtp,,
,,ALCD22_D,,
,,ANDRSTRNte,,
,,APOCF,,
,,APOC_LYS_BTNP,,
,,ASPDxt,,
,,B_MANNASEly,,
,,BACCL,,
,,BBHOX,,
,,BCDO,,
,,BTND1,,
,,BTNPL,,
,,BZt,,
,,BZtr,,
,,C3STKR2r,,
,,C4STMO2Pr,,
,,CAROtr,,
,,COKECBESr,,
,,CRNtim,,
,,CYSGLTH,,
,,DADNK,,
,,DASPO1p,,
,,DHEAtr,,
,,DM_ethamp_r_,,
,,DTDPtn,,
,,DTTPtn,,
,,ENGASEly,,
,,FACOAL191,,
,,FACOAL206,,
,,FACOAL80i,,
,,FATP7t,,
,,FCOAH,,
,,FE2tm,,
,,FORMCOAtx,,
,,GALASE1ly,,
,,GFUCS,,
,,GHMT3,,
,,GLCter,,
,,HDCAtr,,
,,HEX10,,
,,HSD17B2r,,
,,HSD17B9r,,
,,HSD3B12r,,
,,HSD3B2r,,
,,Kt3g,,
,,LEUKTRA4t,,
,,LGNCCOAtx,,
,,MALTe,,
,,MALtm,,
,,MANtly,,
,,MAOX,,
,,MMSAD1m,,
,,NDP7ex,,
,,NDP8ex,,
,,NDPK4n,,
,,NTD2e,,
,,OCTAt,,
,,P45019A1r,,
,,PHYHx,,
,,PHYTt,,
,,PPAtm,,
,,PRISTCOAtx,,
,,PRISTtx,,
,,PROSTGE2t2,,
,,PYAM5POr,,
,,RADH2,,
,,RETFA,,
,,RETFAt,,
,,RETHe,,
,,RIBt2,,
,,SBTR,,
,,SIAASEly,,
,,SLCBK1,,
,,SPH1Pte,,
,,SR5AR2r,,
,,STS1,,
,,SUCCt2m,,
,,SUCCtp,,
,,TMABADH,,
,,TMLYSOX,,
,,TRIODTHYt2,,
,,r0205,,
,,r0224,,
,,r0242,,
,,r0301,,
,,r0541,,
,,r0655,,
,,r0892,,
,,r1030,,
,,r1436,,
,,r2199,,
,,r2261,,
,,r2433,,
,,r2521,,
,,RE1845C,,
,,RE2030M,,
,,RE2273E,,
,,RE2349C,,
,,RE2563C,,
,,RE2636R,,
,,RE2649C,,
,,RE3009C,,
,,RE3490C,,
,,FAOXC15NADPx,,
,,LGNCCOAtcx,,
,,OCT11EFATP,,
,,SCP21cx,,
,,LEULEUPEPT1tc,,
,,DM_taur[c],,
,,BALAPAT1tc2,,
,,CHOLPtr,,
,,DCMPtr,,
,,DHAPtr,,
,,ICITtr,,
,,XANtr,,
,,SMS14,,
,,AMETt,,
,,C02712tm,,
,,C03990tr,,
,,CE0955te,,
,,HC02149td,,
,,TMLYStd,,
,,PROGLyt,,
,,LHCYSTIN,,
,,LHCYSTINt,,
,,ADRNLtu,,
,,UGT1A10c,,
,,S2L2N2M2Mt,,
,,AMPTASECG,,
,,CYSTGL,,
,,CYSTS,,
,,DGK1,,
,,NDPK4,,
,,PUNP2,,
,,r0220,,
,,r0318,,
,,ALDD2x,,
,,PYDAMK,,
,,PYDAMtr,,
,,3AIBSYMPt,,
,,CE7082UPKt,,
,,PELINL_HSABCt,,
,,PELINL_HSt1e,,
,,SPHMYLN_HsATPte,,
,,SPHMYLN1824_hs_ATPt,,
,,CE4890te2,,
,,EGMEtr,,
,,EGMEte,,
,,12PPDRte,,
,,XYLULte,,
,,XYLUDte,,
,,SPHGNSte,,
,,C13856te,,
,,PRISTte,,
,,COKEte,,
,,COKEtr,,
,,CRMte,,
,,SPHK21n,,
,,SPHINGStn,,
,,DM_sphs1p[n],,
,,S2L2N2M2Mtl,,
,,DM_k[g],,
,,HMR_0478,,
,,HMR_1311,,
,,HMR_1318,,
,,HMR_2711,,
,,HMR_2712,,
,,HMR_2713,,
,,HMR_3426,,
,,HMR_9634,,
,,HMR_9797,,
,,3DHLCAS,,
,,DM_3dhlchol[c],,
,,DM_lca24g[c],,
,,DM_lca3s[c],,
,,LCA24GSc,,
,,LCA24GSr,,
,,LCA24Gte,,
,,LCA24Gtr,,
,,LCA3GSc,,
,,LCA3GSr,,
,,LCA3Gte,,
,,LCA3Gtr,,
,,LCASULT,,
,,CYOOm2,,
,,sink_c226coa[c],,
,,sink_chol[c],,
,,sink_doco13ecoa[c],,
,,sink_lnlccoa[c],,
,,sink_lnlncacoa[c],,
,,sink_lnlncgcoa[c],,
,,sink_odecoa[c],,
,,sink_pmtcoa[c],,
,,sink_stcoa[c],,
,,sink_thf[c],,
,,sink_tmndnccoa[c],,
,,Tr_EX_2hb[e]_[csf],,
,,Tr_EX_5mthf[e]_[csf],,
,,Tr_EX_adrnl[e]_[csf],,
,,Tr_EX_andrstrn[e]_[csf],,
,,Tr_EX_asp_D[e]_[csf],,
,,Tr_EX_caro[e]_[csf],,
,,Tr_EX_crvnc[e]_[csf],,
,,Tr_EX_dheas[e]_[csf],,
,,Tr_EX_dopa[e]_[csf],,
,,Tr_EX_gthrd[e]_[csf],,
,,Tr_EX_leuktrA4[e]_[csf],,
,,Tr_EX_octa[e]_[csf],,
,,Tr_EX_phyt[e]_[csf],,
,,Tr_EX_retfa[e]_[csf],,
,,Tr_EX_retn[e]_[csf],,
,,Tr_EX_sph1p[e]_[csf],,
,,Tr_EX_srtn[e]_[csf],,
,,Tr_EX_vacc[e]_[csf],,
,,Tr_EX_dha[e]_[csf],,
,,Tr_EX_dhap[e]_[csf],,
,,Tr_EX_C02470[e]_[csf],,
,,Tr_EX_HC02191[e]_[csf],,
,,Tr_EX_HC02203[e]_[csf],,
,,Tr_EX_CE5797[e]_[csf],,
,,Tr_EX_CE5798[e]_[csf],,
,,Tr_EX_crm_hs[e]_[csf],,
,,Tr_EX_cala[e]_[csf],,
,,Tr_EX_cholp[e]_[csf],,
,,Tr_EX_dcmp[e]_[csf],,
,,Tr_EX_icit[e]_[csf],,
,,Tr_EX_amet[e]_[csf],,
,,Tr_EX_CE0955[e]_[csf],,
,,Tr_EX_CE7082[e]_[csf],,
,,Tr_EX_sphmyln1824_hs[e]_[csf],,
,,Tr_EX_tmlys[e]_[csf],,
,,Tr_EX_bz[e]_[csf],,
,,Tr_EX_Lhcystin[e]_[csf],,
,,Tr_EX_s2l2n2m2m[e]_[csf],,
,,Tr_EX_acnam[e]_[csf],,
,,Tr_EX_cytd[e]_[csf],,
,,Tr_EX_dad_2[e]_[csf],,
,,Tr_EX_dgsn[e]_[csf],,
,,Tr_EX_h2o[e]_[csf],,
,,Tr_EX_k[e]_[csf],,
,,Tr_EX_leu_L[e]_[csf],,
,,Tr_EX_orn[e]_[csf],,
,,Tr_EX_pi[e]_[csf],,
,,Tr_EX_ribflv[e]_[csf],,
,,Tr_EX_cys_L[e]_[csf],,
,,Tr_EX_xan[e]_[csf],,
,,Tr_EX_pydam[e]_[csf],,
,,Tr_EX_ppa[e]_[csf],,
,,Tr_EX_egme[e]_[csf],,
,,Tr_EX_12ppd_R[e]_[csf],,
,,Tr_EX_xylu_L[e]_[csf],,
,,Tr_EX_xylu_D[e]_[csf],,
,,Tr_EX_sphings[e]_[csf],,
,,Tr_EX_prist[e]_[csf],,
,,Tr_EX_coke[e]_[csf],,
,,Tr_EX_lca24g[e]_[csf],,
,,Tr_EX_lca3g[e]_[csf],,
,,Tr_EX_C13856[e]_[csf],,
,,HDCA6gte,,
,,HDCA24gte,,
,,XOL24OH24Gte,,
,,XOLTRI25te,,
,,XOL24OHte,,
,,XOL25OHte,,
,,M01179te,,
,,M00979te,,
,,CE2345te,,
,,CE1292te,,
,,XOL27OHter,,
,,HC02194ter,,
,,HC02195ter,,
,,HC02196ter,,
,,C02528ter,,
,,CHOLATEter,,
,,HDCA6GSc,,
,,HDCA6GSr,,
,,HDCA6gtr,,
,,HDCA24GSc,,
,,HDCA24GSr,,
,,HDCA24gtr,,
,,M02155tr,,
,,XOL24OH24GSc,,
,,XOL24OH24GSr,,
,,XOL24OH24Gtr,,
,,HMR_1838,,
,,HMR_1737,,
,,P45027A1m,,
,,RE1828C,,
,,RE1828M,,
,,RE1803C,,
,,P4507B11r,,
,,HMR_1778,,
,,HMR_1766,,
,,RE2632C,,
,,RE2632M,,
,,RE1829C,,
,,RE1829M,,
,,RE1827C,,
,,RE1827M,,
,,RE1830C,,
,,RE1830M,,
,,XOLTRI25tc,,
,,XOL24OHtr,,
,,XOL25OHtr,,
,,XOL27OHtmc,,
,,XOL27OHtm,,
,,M01179tc,,
,,M00979tc,,
,,CE2345tmc,,
,,CE3038tmc,,
,,CE1292tmc,,
,,CE1298tmc,,
,,DM_cdca3g[c],,
,,DM_lca3g[c],,
,,DM_hdca6g[c],,
,,DM_hdca24g[c],,
,,DM_dca3g[c],,
,,DM_dca24g[c],,
,,DM_hca6g[c],,
,,DM_hca24g[c],,
,,DM_xol24oh24g[c],,
,,Tr_EX_hdca6g[e]_[csf],,
,,Tr_EX_hdca24g[e]_[csf],,
,,Tr_EX_xol24oh24g[e]_[csf],,
,,Tr_EX_xoltri25[e]_[csf],,
,,Tr_EX_xol24oh[e]_[csf],,
,,Tr_EX_xol25oh[e]_[csf],,
,,Tr_EX_M01179[e]_[csf],,
,,Tr_EX_M00979[e]_[csf],,
,,Tr_EX_CE2345[e]_[csf],,
,,Tr_EX_CE1292[e]_[csf],,
,,Tr_EX_xol27oh[e]_[csf],,
,,HMR_1798,,
,,Tr_EX_34dhphe[e]_[csf],,
,,Tr_EX_4abut[e]_[csf],,
,,Tr_EX_acetone[e]_[csf],,
,,Tr_EX_ac[e]_[csf],,
,,Tr_EX_gly[e]_[csf],,
,,Tr_EX_ascb_L[e]_[csf],,
,,Tr_EX_amp[e]_[csf],,
,,Tr_EX_ala_B[e]_[csf],,
,,Tr_EX_ca2[e]_[csf],,
,,Tr_EX_cl[e]_[csf],,
,,Tr_EX_oxa[e]_[csf],,
,,Tr_EX_din[e]_[csf],,
,,Tr_EX_dag_hs[e]_[csf],,
,,Tr_EX_dhdascb[e]_[csf],,
,,Tr_EX_duri[e]_[csf],,
,,Tr_EX_estradiolglc[e]_[csf],,
,,Tr_EX_ak2lgchol_hs[e]_[csf],,
,,Tr_EX_avite1[e]_[csf],,
,,Tr_EX_gsn[e]_[csf],,
,,Tr_EX_ha_pre1[e]_[csf],,
,,Tr_EX_hista[e]_[csf],,
,,Tr_EX_hom_L[e]_[csf],,
,,Tr_EX_lgnc[e]_[csf],,
,,Tr_EX_paf_hs[e]_[csf],,
,,Tr_EX_Rtotal[e]_[csf],,
,,Tr_EX_ser_D[e]_[csf],,
,,Tr_EX_thyox_L[e]_[csf],,
,,Tr_EX_triodthy[e]_[csf],,
,,Tr_EX_xolest2_hs[e]_[csf],,
,,Tr_EX_fe3[e]_[csf],,
,,Tr_EX_lcts[e]_[csf],,
,,Tr_EX_uri[e]_[csf],,
,,Tr_EX_urea[e]_[csf],,
,,Tr_EX_cpppg1[e]_[csf],,
,,Tr_EX_ptrc[e]_[csf],,
,,Tr_EX_HC02192[e]_[csf],,
,,Tr_EX_HC02193[e]_[csf],,
,,Tr_EX_HC02199[e]_[csf],,
,,Tr_EX_HC02200[e]_[csf],,
,,Tr_EX_HC02201[e]_[csf],,
,,Tr_EX_zn2[e]_[csf],,
,,Tr_EX_pyr[e]_[csf],,
,,Tr_EX_HC02197[e]_[csf],,
,,Tr_EX_HC02198[e]_[csf],,
,,Tr_EX_HC02187[e]_[csf],,
,,Tr_EX_4hpro_LT[e]_[csf],,
,,Tr_EX_oh1[e]_[csf],,
,,Tr_EX_lneldccrn[e]_[csf],,
,,Tr_EX_odecrn[e]_[csf],,
,,Tr_EX_pmtcrn[e]_[csf],,
,,Tr_EX_hdcecrn[e]_[csf],,
,,Tr_EX_pe15_hs[e]_[csf],,
,,Tr_EX_CE2537[e]_[csf],,
,,Tr_EX_eidi1114ac[e]_[csf],,
,,Tr_EX_sphmyln_hs[e]_[csf],,
,,Tr_EX_glutar[e]_[csf],,
,,Tr_EX_2hydog[e]_[csf],,
,,Tr_EX_selmeth[e]_[csf],,
,,Tr_EX_hdd2crn[e]_[csf],,
,,Tr_EX_gluside_hs[e]_[csf],,
,,Tr_EX_gm1b_hs[e]_[csf],,
,,Tr_EX_gd1b_hs[e]_[csf],,
,,Tr_EX_gt1b_hs[e]_[csf],,
,,Tr_EX_M02467[e]_[csf],,
,,Tr_EX_12dhchol[e]_[csf],,
,,Tr_EX_3dhcdchol[e]_[csf],,
,,Tr_EX_3dhchol[e]_[csf],,
,,Tr_EX_7dhcdchol[e]_[csf],,
,,Tr_EX_7dhchol[e]_[csf],,
,,Tr_EX_coprost[e]_[csf],,
,,Tr_EX_icdchol[e]_[csf],,
,,Tr_EX_isochol[e]_[csf],,
,,Tr_EX_uchol[e]_[csf],,
,,Tr_EX_udp[e]_[csf],,
,,Tr_EX_ump[e]_[csf],,
,,Tr_EX_utp[e]_[csf],,
,,Tr_EX_pelinl_hs[e]_[csf],,
,,DM_4abut[c],,
,,DM_dopa[c],,
,,DM_srtn[c],,
,,DM_adrnl[c],,
,,DM_ach[c],,
,,DM_hista[c],,
,,DM_kynate[c],,
,,DM_nrpphr[c],,
,,DM_tym[c],,
,,Tr_EX_tym[e]_[csf],,
,,DM_Lkynr[c],,
