mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
camp[c],8560,ARTFR51,,
adn[m],123099,ARTFR52,,
adpglc[c],11309,ARTFR53,,
g1p[c],6783,ARTFR54,,
adpman[c],1723,ARTFR55,,
man1p[c],1807,ARTFR56,,
adprib[m],1809,ARTFR57,,
r5p[m],1808,ARTFR61,,
adprib[e],23539,ARTPLM1,,
adprib[c],2224,ARTPLM1m,,
adp[x],29958,ARTPLM2,,
adrncoa[c],1787,ARTPLM2m,,
adrncoa[x],1788,ARTPLM3,,
crn[c],1786,ARTPLM3m,,
adrncrn[c],1789,ASAH1,,
adrncoa[m],60386,ASCBOX,,
crn[m],6185,ASCBt,,
adrncrn[m],1650,ASCBt4,,
adrnl[e],6184,ASNALANaEx,,
adrn[e],1603,ASNCYSNaEx,,
adrn[c],57171,ASNGLNNaEx,,
adsel[c],29929,ASNNm,,
3padsel[c],79053,ASNS1,,
aps[c],84920,ASNSERNaEx,,
dcamp[c],54344,ASNt4,,
fum[c],8818,ASNTHRNaEx,,
25aics[c],8813,ASNtm,,
aicar[c],10195,ASNtN1,,
aflatoxin[e],79087,Asn_X_Ser_Thrtr,,
aflatoxin[c],26002,ASPCTr,,
ksi_pre18[g],1621,ASPDt6,,
ksi_pre19[g],7299,ASPDxt,,
ksi_pre21[g],6530,ASPGLUm,,
ksi_pre22[g],6531,ASPNATm,,
ksi_pre24[g],6581,ASPt6,,
ksi_pre25[g],669,ASPTAm,,
ksi_pre27[g],5223,ATP1ter,,
ksi_pre28[g],5224,ATP2ter,,
ksi_pre30[g],4597,ATPasel,,
ksi_pre31[g],51071,ATPH1e,,
ksi_pre33[g],1806,ATPH2e,,
ksi_pre34[g],7083,ATPtm,,
ksii_core4_pre2[g],7084,ATPtn,,
ksii_core4_pre3[g],1854,ATPtx,,
ksii_core4_pre4[g],3704,AVITE2t,,
ksii_core4_pre5[g],10682,B_MANNASEly,,
ksii_core4_pre7[g],1892,B3GALT3g,,
ksii_core4_pre8[g],13,B3GALT41g,,
ksii_core2_pre2[g],11001,B3GALT42g,,
ksii_core2_pre3[g],64772,B3GALT43g,,
ksii_core2_pre4[g],5833,B3GALT44g,,
ksii_core2_pre5[g],28231,B3GALT5g,,
ksii_core2_pre7[g],53919,B3GALTg,,
ksii_core2_pre8[g],10257,B3GNT11g,,
ksi_pre1[g],28232,B3GNT12g,,
ksi_pre2[g],2109,B3GNT310g,,
ksi_pre3[g],2108,B3GNT311g,,
ksi_pre4[g],2110,B3GNT312g,,
ksi_pre6[g],55500,B3GNT313g,,
ksi_pre7[g],55224,B3GNT314g,,
ksi_pre9[g],8790,B3GNT315g,,
ksi_pre10[g],51086,B3GNT31g,,
ksi_pre12[g],2530,B3GNT32g,,
ksi_pre13[g],55301,B3GNT33g,,
ksi_pre15[g],2194,B3GNT34g,,
ksi_pre16[g],2181,B3GNT35g,,
ak2g_hs[c],2182,B3GNT36g,,
cdpchol[c],2180,B3GNT37g,,
ak2gchol_hs[c],51703,B3GNT39g,,
cmp[c],81616,B3GNT51g,,
ak2gpe_hs[c],23305,BAAT1x,,
dak2gpe_hs[c],116285,BAAT2x,,
cdpea[c],5167,BAAT3x,,
ak2gp_hs[c],5169,BAAT4x,,
akdhap_hs[c],6785,BACCL,,
akgp_hs[c],79071,BACCLm,,
Rtotal2[c],60481,BALAtmr,,
agm[m],54898,BALAVECSEC,,
ptrc[m],1579,BAMPPALDOX,,
urea[m],376497,BAMPPALDOXm,,
Rtotal2coa[c],10999,BBHOX,,
alpa_hs[c],11000,BCDO,,
pa_hs[c],226,BDG2HCGHD,,
akdhap_hs[x],229,BDHm,,
acg5p[m],230,BDMT_L,,
acg5sa[m],2203,BDMT_U,,
alkylR1oh[x],5210,BETALDHxm,,
Rtotal[x],5207,BHBt,,
ala_L[m],5209,BHBtm,,
glx[m],5208,BHMT,,
gly[m],8789,BILDGLCURt,,
pyr[x],2235,BILDGLCURte,,
ala_L[x],10840,BILDGLCURtr,,
glx[x],79901,BILGLCURt,,
gly[x],197258,BILGLCURte,,
ahandrostanglc[c],125061,BILGLCURtr,,
ahandrostanglc[e],1719,BILIRED,,
ahandrostanglc[r],2356,BILIRUBt2,,
ahcys[n],29988,BILIRUBtr,,
ahcys[r],6514,BIOCYTtn,,
