mets,genes,rxns,,"# we removed the transcript ids such as .1, .2 …etc and removed duplicates to maitain the unique genes "
,,EX_tyr_L[e],,
,,NTD2,,
,,NTD4,,
,,NTD5,,
,,NTD6,,
,,NTD7,,
,,NTD8,,
,,NTD9,,
,,NTD10,,
,,NTD11,,
,,EX_arg_L[e],,
,,EX_for[e],,
,,NADS2,,
,,EX_nac[e],,
,,GUAt,,
,,ADPRDP,,
,,EX_ind3ac[e],,
,,EX_nh4[e],,
,,NH4tb,,
,,EX_ac[e],,
,,ALCD1,,
,,RBK,,
,,ADNK1,,
,,GCALDD,,
,,r0339,,
,,ABUTD,,
,,ACYP,,
,,AGDC,,
,,AICART,,
,,ALDD2x,,
,,AMANK,,
,,ARGSL,,
,,CITL,,
,,CSND,,
,,CYTK1,,
,,CYTK2,,
,,DRBK,,
,,EX_acgam[e],,
,,EX_cit[e],,
,,EX_csn[e],,
,,EX_drib[e],,
,,EX_etha[e],,
,,EX_fol[e],,
,,EX_fru[e],,
,,EX_galt[e],,
,,EX_glcr[e],,
,,EX_glcur[e],,
,,EX_glyc[e],,
,,EX_hxan[e],,
,,EX_malt[e],,
,,EX_malthx[e],,
,,EX_malttr[e],,
,,EX_man[e],,
,,EX_ptrc[e],,
,,EX_rib_D[e],,
,,EX_spmd[e],,
,,EX_thm[e],,
,,EX_trp_L[e],,
,,EX_ura[e],,
,,EX_xan[e],,
,,EX_xyl_D[e],,
,,FACOAL161,,
,,G1PTT,,
,,G6PDA,,
,,GALK,,
,,GALT,,
,,GLUPRT,,
,,GLXO1,,
,,GLYCt,,
,,GLYK,,
,,GLYOX,,
,,GND,,
,,GPDDA1,,
,,HEX7,,
,,HISD,,
,,HXPRT,,
,,HYXNt,,
,,IMACTD,,
,,IMPC,,
,,IZPN,,
,,LCADi,,
,,LDH_D,,
,,LDH_L,,
,,LGTHL,,
,,MALT,,
,,MDH,,
,,MI1PP,,
,,MI3PP,,
,,MI4PP,,
,,MICITDr,,
,,NT5C,,
,,NTD3,,
,,NTD5_a,,
,,OAADC,,
,,ORNDC,,
,,PFK,,
,,PGLYCP,,
,,PHETA1,,
,,PIt7,,
,,PRFGS,,
,,PYDAMK,,
,,PYDXNK,,
,,PYK,,
,,RE1944C,,
,,TDPDRE,,
,,TDPGDH,,
,,THRD_L,,
,,TMDS,,
,,TYRTA,,
,,XYLt,,
,,r0392,,
,,r0792,,
,,r1667,,
,,EX_pydxn[e],,
,,PYDXNtr,,
,,EX_pydx[e],,
,,PYDXtr,,
,,EX_pydam[e],,
,,PYDAMtr,,
,,EX_4hbz[e],,
,,EX_34dhpha[e],,
,,EX_ppa[e],,
,,EX_arab_L[e],,
,,UGLT,,
,,EX_gam[e],,
,,URCN,,
,,EX_pyr[e],,
,,PYRt2r,,
,,EX_tre[e],,
,,ACGAM2E,,
,,DCMPDA,,
,,EX_btn[e],,
,,EX_lcts[e],,
,,FTHFL,,
,,EX_ade[e],,
,,EX_etoh[e],,
,,ETOHt,,
,,EX_acald[e],,
,,ACALDt,,
,,EX_sucr[e],,
,,THMt3,,
,,AACOAT,,
,,EX_pheme[e],,
,,FORTHFC,,
,,GLNt4,,
,,MTRI,,
,,NADN,,
,,EX_mqn8[e],,
,,MK8t,,
,,MTHFD2,,
,,EX_gua[e],,
,,AHC,,
,,EX_4abut[e],,
,,ABUTt2r,,
,,EX_indole[e],,
,,OBDHc,,
,,EX_taur[e],,
,,EX_ch4s[e],,
,,EX_phpyr[e],,
,,EX_tym[e],,
,,EX_2hyoxplac[e],,
,,EX_lanost[e],,
,,PHPYRte,,
,,PHPYRtm,,
,,3MOX4HOXMtm,,
,,3MOX4HOXMte,,
,,EX_3mox4hoxm[e],,
,,GLXte,,
,,EX_glx[e],,
,,CE4970tm,,
,,CE4970te,,
,,EX_CE4970[e],,
,,CE2026tm,,
,,CE2026te,,
,,EX_CE2026[e],,
,,CE4968tm,,
,,CE4968te,,
,,EX_CE4968[e],,
,,ACTYRm,,
,,ACTYRtc,,
,,ACTYRte,,
,,EX_actyr[e],,
,,SUCACETATc,,
,,SUCACETATALTc,,
,,SUCACETOc,,
,,SUCACETOte,,
,,EX_sucaceto[e],,
,,VANILPYRc,,
,,VANILLACc,,
,,CE2176tm,,
,,NACVANALAm,,
,,NACVANALAtm,,
,,NACVANALAte,,
,,VANILLACte,,
,,EX_vanillac[e],,
,,EX_nacvanala[e],,
,,2H3MVc,,
,,2H3MVte,,
,,EX_2h3mv[e],,
,,2HIVc,,
,,2HIVte,,
,,EX_2hiv[e],,
,,2M3HBUc,,
,,2M3HBUtm,,
,,2M3HBUte,,
,,EX_2m3hbu[e],,
,,2M3OVCOAm,,
,,2M3OVACm,,
,,2M3OVACtm,,
,,2M3HVACc,,
,,2M3HVACte,,
,,EX_2m3hvac[e],,
,,3H3MGLTc,,
,,3H3MGLTte,,
,,EX_3h3mglt[e],,
,,3MGLUTACc,,
,,3MGLUTACtm,,
,,3MGLUTACte,,
,,EX_3mglutac[e],,
,,3MGLUTRc,,
,,3MGLUTRte,,
,,EX_3mglutr[e],,
,,PPIOGLYc,,
,,PPIOGLYtm,,
,,PPIOGLYte,,
,,EX_ppiogly[e],,
,,MVLACc,,
,,MVLACte,,
,,EX_mvlac[e],,
,,TIGGLYc,,
,,TIGGLYtm,,
,,TIGGLYte,,
,,EX_tiggly[e],,
,,TD2GLTRCOAm,,
,,3HGLUTCOAm,,
,,3OHGLUTACm,,
,,3OHGLUTACtm,,
,,3OHGLUTACte,,
,,3OHGLUTACOAT3t,,
,,EX_3ohglutac[e],,
,,GLUTACOAm,,
,,GLUTCONm,,
,,GLUTCONtm,,
,,GLUTCONte,,
,,EX_glutcon[e],,
,,3HIVAcm,,
,,3HIVActm,,
,,3HIVActe,,
,,EX_3hivac[e],,
,,3HADICOAx,,
,,3HADPACx,,
,,3HADPACtxc,,
,,3HADPACte,,
,,EX_3hadpac[e],,
,,3OHSEBCOAx,,
,,3OHSEBACx,,
,,3OHSEBACtxc,,
,,3OHSEBACte,,
,,EX_3ohsebac[e],,
,,3OHSUBCOAx,,
,,3OHSUBACx,,
,,3OHSUBACtxc,,
,,3OHSUBACte,,
,,EX_3ohsubac[e],,
,,CAPROICc,,
,,5OHHEXAc,,
,,5OHHEXAte,,
,,EX_5ohhexa[e],,
,,7OHOCTAc,,
,,7OHOCTAte,,
,,EX_7ohocata[e],,
,,ETHMALCOAc,,
,,ETHMALACc,,
,,ETHMALACte,,
,,EX_ethmalac[e],,
,,HEXGLYc,,
,,HEXGLYte,,
,,EX_hexgly[e],,
,,METHSUCCOAc,,
,,METHSUCC,,
,,METHSUCCte,,
,,EX_methsucc[e],,
,,SUBGLYc,,
,,SUBGLYte,,
,,EX_subgly[e],,
,,4OHBUTm,,
,,4OHBUTtmc,,
,,4OHBUTtce,,
,,EX_4ohbut[e],,
,,12HPETUPKt,,
,,15HPETUPKt,,
,,3AIBSYMPt,,
,,AK2LGCHOLABCt,,
,,APRGSTRNABCt,,
,,C14770UPKt,,
,,C14771UPKt,,
,,CE1243UPKt,,
,,CE2510ABCt,,
,,CE2537ABCt,,
,,CE7082UPKt,,
,,CE7172UPKt,,
,,DIGALSGALSIDESECt,,
,,NRVNCABCt,,
,,PAFABCt,,
,,PAIL_hs_SECt,,
,,PAILPALM_HSSECt,,
,,PAILR_HSSECt,,
,,PAILSTE_HSSECt,,
,,PCHLN225_HSABCt,,
,,PCHOL2LINL_HSABCt,,
,,PCHOL2OLE_HSABCt,,
,,PCHOL2STE_HSABCt,,
,,PCHOLAR_HSABCt,,
,,PCHOLDOC_HSABCt,,
,,PCHOLEIC_HSABCt,,
,,PCHOLET_HSABCt,,
,,PCHOLHEP_HSABCt,,
,,PCHOLLINL_HSABCt,,
,,PCHOLMYR_HsABCt,,
,,PCHOLN15_HSABCt,,
,,PCHOLN183_HSABCt,,
,,PCHOLN1836_HSABCt,,
,,PCHOLN19_HSABCt,,
,,PCHOLN201_HSABCt,,
,,PCHOLN203_HSABCt,,
,,PCHOLN204_HSABCt,,
,,PCHOLN205_HSABCt,,
,,PCHOLN224_HSABCt,,
,,PCHOLN225_HSABCt,,
,,PCHOLN2254_HSABCt,,
,,PCHOLN264_HSABCt,,
,,PCHOLOLE_HSABCt,,
,,PCHOLPALME-HSABCt,,
,,PCHOLSTE_HSABCt,,
,,PE12_HSABCt,,
,,Pe13_HSABCt,,
,,PE14_HSABCt,,
,,PE15_HSABCt,,
,,PE161_HSABCt,,
,,PE17_HSABCt,,
,,PE203_HSABCt,,
,,PE226_HSABCt,,
,,PE2LINL_HSABCt,,
,,PEAR_HSABCt,,
,,PEDH203_HSABCt,,
,,PELINL_HSABCt,,
,,PELPALM_HSABCt,,
,,PEOLE_HSABCt,,
,,PEPALM_HSASBCt,,
,,PESTE_HSABCt,,
,,SPHMYLN_HsSECt,,
,,SPHMYLN180241_hs_SECt,,
,,SPHMYLN18114_hs_SECt,,
,,SPHMYLN18115_hs_SECt,,
,,SPHMYLN18116_hs_SECt,,
,,SPHMYLN181161_hs_SECt,,
,,SPHMYLN18117_hs_SECt,,
,,SPHMYLN18118_hs_SECt,,
,,SPHMYLN181181_hs_SECt,,
,,SPHMYLN18120_hs_SECt,,
,,SPHMYLN181201_hs_SECt,,
,,SPHMYLN18121_hs_SECt,,
,,SPHMYLN18122_hs_SECt,,
,,SPHMYLN181221_hs_SECt,,
,,SPHMYLN18123_hs_SECt,,
,,SPHMYLN1824_hs_SECt,,
,,SPHMYLN1825_hs_SECt,,
,,3AIBt1,,
,,AK2LGCHOLt1,,
,,APRGSTRNt1e,,
,,DIGALSGALSIDEATPte,,
,,DIGALSGALSIDEt1e,,
,,PAFt1,,
,,PAIL_hs_t1e,,
,,PAILR_HSt1e,,
,,PAILPALM_HSt1e,,
,,PAILSTE_HSt1e,,
,,PCHOL2LINL_HSt1e,,
,,PCHOL2OLE_HSt1e,,
,,PCHOL2STE_HSt1e,,
,,PCHOLAR_HSt1e,,
,,PCHOLDOC_HSt1e,,
,,PCHOLEIC_HSt1e,,
,,PCHOLET_HSt1e,,
,,PCHOLHEP_HSt1e,,
,,PCHOLLINL_HSt1e,,
,,PCHOLMYR_Hst1e,,
,,PCHOLN15_HSt1e,,
,,PCHOLN183_HSt1e,,
,,PCHOLN1836_HSt1e,,
,,PCHOLN19_HSt1e,,
,,PCHOLN201_HSt1e,,
,,PCHOLN203_HSt1e,,
,,PCHOLN204_HSt1e,,
,,PCHOLN205_HSt1e,,
,,PCHOLN224_HSt1e,,
,,PCHOLN225_HSt1e,,
,,PCHOLN2254_HSt1e,,
,,PCHLN225_HSt1e,,
,,PCHOLN264_HSt1e,,
,,PCHOLOLE_HSt1e,,
,,PEPALM_HSt1e,,
,,PCHOLPALME-HSt1e,,
,,PCHOLSTE_HSt1e,,
,,PE12_HSt1e,,
,,Pe13_HSt1e,,
,,PE14_HSt1e,,
,,PE15_HSt1e,,
,,PE161_HSt1e,,
,,PE17_HSt1e,,
,,PE203_HSt1e,,
,,PE226_HSt1e,,
,,PE2LINL_HSt1e,,
,,PEAR_HSt1e,,
,,PEDH203_HSt1e,,
,,PELINL_HSt1e,,
,,PEOLE_HSt1e,,
,,PELPALM_HSt1e,,
,,PESTE_HSt1e,,
,,SPHMYLN_HsATPte,,
,,SPHMYLN180241_hs_ATPt,,
,,SPHMYLN180241_hs_t1,,
,,SPHMYLN18114_hs_ATPt,,
,,SPHMYLN18114_hs_t1,,
,,SPHMYLN18115_hs_ATPt,,
,,SPHMYLN18115_hs_t1,,
,,SPHMYLN18116_hs_ATPt,,
,,SPHMYLN18116_hs_t1,,
,,SPHMYLN181161_hs_ATPt,,
,,SPHMYLN181161_hs_t1,,
,,SPHMYLN18117_hs_ATPt,,
,,SPHMYLN18117_hs_t1,,
,,SPHMYLN18118_hs_ATPt,,
,,SPHMYLN18118_hs_t1,,
,,SPHMYLN181181_hs_ATPt,,
,,SPHMYLN181181_hs_t1,,
,,SPHMYLN18120_hs_ATPt,,
,,SPHMYLN18120_hs_t1,,
,,SPHMYLN181201_hs_ATPt,,
,,SPHMYLN181201_hs_t1,,
,,SPHMYLN18121_hs_ATPt,,
,,SPHMYLN18121_hs_t1,,
,,SPHMYLN18122_hs_ATPt,,
,,SPHMYLN18122_hs_t1,,
,,SPHMYLN181221_hs_ATPt,,
,,SPHMYLN181221_hs_t1,,
,,SPHMYLN18123_hs_ATPt,,
,,SPHMYLN18123_hs_t1,,
,,SPHMYLN1824_hs_ATPt,,
,,SPHMYLN1824_hs_t1,,
,,SPHMYLN1825_hs_ATPt,,
,,SPHMYLN1825_hs_t1,,
,,2HXIC_Lt1e,,
,,2HXIC_Lt2e,,
,,EX_2hxic_L[e],,
,,2HYDOGOAT3t,,
,,EX_2hydog[e],,
,,2HYDOGte,,
,,GLUTAROAT3t,,
,,GLUTARte,,
,,THEXDDm,,
,,THEXDDtm,,
,,THEXDDte,,
,,EX_thexdd[e],,
,,HEXDTRm,,
,,HEXDTRtm,,
,,HEXDTRte,,
,,EX_hexdtr[e],,
,,HPDECECOAm,,
,,HPDECEm,,
,,HPDECEtm,,
,,HPDECEte,,
,,EX_hpdece[e],,
,,EIC21114TRc,,
,,EIC21114TRte,,
,,EX_eic21114tr[e],,
,,5EIPENCm,,
,,5EIPENCtm,,
,,5EIPENCte,,
,,EX_5eipenc[e],,
,,T4HCINNMte,,
,,AGRMte,,
,,ANDRSTNDNte,,
,,EANDRSTRNte,,
,,AHANDROSTANte,,
,,ANDRSTANDRte,,
,,CE2209te,,
,,C05301te,,
,,C05299te,,
,,C05302te,,
,,CE5072te,,
,,11DOCRTSLte,,
,,11DOCRTSTRNte,,
,,PRGNLONEte,,
,,CE2211te,,
,,17AHPRGSTRNte,,
,,17AHPRGNLONEte,,
,,C03681te,,
,,PRGNLONESte,,
,,CE1352te,,
,,MMAt2e,,
,,C05769te,,
,,SAMHISTAe,,
,,CE2006te,,
,,GLCRt1,,
,,2HYOXPLCte,,
,,N8ASPMDte,,
,,MHISTAte,,
,,CE4890te2,,
,,C09642te,,
,,2OBUTt,,
,,PPP9ABCte,,
,,MLTHFte,,
,,TYMte2,,
,,TRYPTAte,,
,,CE4890te,,
,,SELMETHte,,
,,CE7090te,,
,,CE7085te,,
,,CE7096te,,
,,CE4877te,,
,,CE1447te,,
,,C05769te3,,
,,C05770te4,,
,,C05770te,,
,,MLTHFte3,,
,,CE2705t,,
,,SPHS1Pt2e,,
,,MMAte,,
,,PTRCARGte,,
,,MLTHFte2,,
,,TYMte,,
,,13DAMPPte,,
,,HDD2CRNte2,,
,,MLTHFte1,,
,,ARGN1ASPMDte,,
,,CE1918te,,
,,34DHPHAte,,
,,34DHOXMANDte,,
,,CE6205te,,
,,1A25DHVITD3te,,
,,ISOBUTtm,,
,,ISOBUTte,,
,,EX_CE4969[e],,
,,NACCYStm,,
,,NACCYSte,,
,,EX_CE1310[e],,
,,AGRMtm,,
,,EX_agm[e],,
,,T4HCINNMtm,,
,,EX_T4hcinnm[e],,
,,4HBZtm,,
,,4HBZte,,
,,SUCSALtm,,
,,SUCSALte,,
,,EX_sucsal[e],,
,,CE7081tr,,
,,CE7081tm,,
,,EX_CE7081[e],,
,,EGMEtr,,
,,EGMEte,,
,,EX_egme[e],,
,,12HARACHDtr,,
,,12HARACHDte,,
,,EX_12harachd[e],,
,,18HARACHDtr,,
,,18HARACHDte,,
,,EX_18harachd[e],,
,,SQLtr,,
,,SQLte,,
,,EX_sql[e],,
,,ORN_Dtx,,
,,ORN_Dte,,
,,EX_orn_D[e],,
,,5G2OXPTtx,,
,,5G2OXPTte,,
,,EX_5g2oxpt[e],,
,,EX_andrstndn[e],,
,,DHEAte,,
,,EX_dhea[e],,
,,EANDRSTRNtr,,
,,EX_eandrstrn[e],,
,,AHANDROSTANtr,,
,,EX_ahandrostan[e],,
,,ANDRSTANDRtr,,
,,EX_andrstandn[e],,
,,EX_CE2209[e],,
,,ESTRONEte,,
,,EX_estrone[e],,
,,C05298te,,
,,EX_C05298[e],,
,,EX_C05301[e],,
,,EX_C05299[e],,
,,EX_C05302[e],,
,,EX_CE5072[e],,
,,EX_11docrtsl[e],,
,,EX_11docrtstrn[e],,
,,EX_prgnlone[e],,
,,EX_CE2211[e],,
,,EX_17ahprgstrn[e],,
,,EX_17ahprgnlone[e],,
,,EX_C03681[e],,
,,HC02020tr,,
,,HC02020te,,
,,EX_HC02020[e],,
,,EX_prgnlones[e],,
,,EX_CE1352[e],,
,,XOL24OHtr,,
,,XOL24OHte,,
,,EX_xol24oh[e],,
,,XOL27OHte,,
,,EX_xol27oh[e],,
,,XOL25OHtr,,
,,XOL25OHte,,
,,EX_xol25oh[e],,
,,DSMSTEROLtr,,
,,DSMSTEROLte,,
,,EX_dsmsterol[e],,
,,CHSTEROLSte,,
,,EX_chsterols[e],,
,,3ITYR_Lte,,
,,EX_3ityr_L[e],,
,,35DIODTYRte,,
,,EX_35diotyr[e],,
,,13_CIS_RETNte,,
,,EX_13_cis_retn[e],,
,,CE1617te,,
,,EX_CE1617[e],,
,,TAG_HSad,,
,,TAG_HSad_NE,,
,,TAG_HSad_E,,
,,VLDL_HSSYN,,
,,VLDL_HSSEC,,
,,VLDL_HSDEG,,
,,IDL_HSSYN,,
,,IDL_HSDEG,,
,,LDL_HSSYN,,
,,LDL_HSDEG,,
,,HDL_HSSYN,,
,,HDL_HSDEG,,
,,MYELIN_HSSYN,,
,,DM_myelin_hs[c],,
,,CHYLO_HSSYN,,
,,CHYLO_HSSEC,,
,,CHYLO_HSDEG,,
,,DM_chylo_hs[e],,
,,HC00460te,,
,,EX_HC00460[e],,
,,EX_34dhoxmand[e],,
,,FNA5MOXAMte,,
,,EX_fna5moxam[e],,
,,CE5643te,,
,,EX_CE5643[e],,
,,EX_CE7090[e],,
,,EX_CE7085[e],,
,,EX_CE7096[e],,
,,EX_CE4877[e],,
,,EX_CE1447[e],,
,,EX_CE2006[e],,
,,CE1401te,,
,,EX_CE1401[e],,
,,GLUCYSte,,
,,EX_glucys[e],,
,,EX_n8aspmd[e],,
,,EX_CE6205[e],,
,,MELATNte,,
,,EX_melatn[e],,
,,6HOXMELATNte,,
,,EX_6hoxmelatn[e],,
,,EX_trypta[e],,
,,C10164te,,
,,EX_C10164[e],,
,,EX_CE4890[e],,
,,EX_C09642[e],,
,,C05769te2,,
,,EX_C05769[e],,
,,C05767te,,
,,EX_C05767[e],,
,,C05770te3,,
,,EX_C05770[e],,
,,EX_mhista[e],,
,,PPBNGte,,
,,EX_ppbng[e],,
,,EX_13dampp[e],,
,,EX_mma[e],,
,,12PPDRte,,
,,EX_12ppd_R[e],,
,,AMETAMte,,
,,EX_ametam[e],,
,,XYLULte,,
,,EX_xylu_L[e],,
,,XYLUDte,,
,,EX_xylu_D[e],,
,,GLCNte,,
,,CE0737te,,
,,EX_CE0737[e],,
,,CH4Ste,,
,,SPHGNSte,,
,,EX_sphings[e],,
,,HDD2CRNte,,
,,EX_hdd2crn[e],,
,,IM4ACte,,
,,EX_im4ac[e],,
,,EX_CE1918[e],,
,,EX_mlthf[e],,
,,EX_ppp9[e],,
,,AACTte,,
,,EX_aact[e],,
,,EX_CE2705[e],,
,,SPHGNte,,
,,EX_sphgn[e],,
,,SELMETHt2e,,
,,EX_selmeth[e],,
,,EX_N1aspmd[e],,
,,C13856te,,
,,1A25DHVITD3t2e,,
,,EX_1a25dhvitd3[e],,
,,PRISTte,,
,,EX_prist[e],,
,,CE2049te,,
,,EX_CE2049[e],,
,,CE2047te,,
,,EX_CE2047[e],,
,,LANOSTte,,
,,FDPte,,
,,EX_fdp[e],,
,,EX_coke[e],,
,,COKEte,,
,,COKEtr,,
,,EX_5a2opntn[e],,
,,5A2OPNTNte,,
,,5A2OPNTNtx,,
,,ARG_Dtx,,
,,ARG_Dte,,
,,EX_arg_D[e],,
,,LANOSTtr,,
,,EX_vldl_hs[e],,
,,EX_idl_hs[e],,
,,EX_ldl_hs[e],,
,,EX_hdl_hs[e],,
,,HC00005t1r,,
,,HC00005te,,
,,EX_HC00005[e],,
,,HC00005t1e,,
,,HC00006t1r,,
,,HC00006te,,
,,EX_HC00006[e],,
,,HC00006t1e,,
,,HC00007t1r,,
,,HC00007te,,
,,EX_HC00007[e],,
,,HC00007t1e,,
,,HC00008t1r,,
,,HC00008te,,
,,EX_HC00008[e],,
,,HC00008t1e,,
,,HC00009t1r,,
,,HC00009te,,
,,EX_HC00009[e],,
,,HC00009t1e,,
,,HC00004t1r,,
,,HC00004t1e,,
,,DOPASULT4,,
,,UDPG4DOPA,,
,,UDPG3DOPA,,
,,TYRDOPOX,,
,,34DHPEAR,,
,,DOPA4SFt,,
,,EX_dopa4sf[e],,
,,DOPA4GLCURt,,
,,EX_dopa4glcur[e],,
,,DOPA3GLCURt,,
,,EX_dopa3glcur[e],,
,,DOPACHRMDC,,
,,CE5026t,,
,,GGTe_1,,
,,CYSGLYPTASEe_1,,
,,CE1261t,,
,,DOPAOQNOX,,
,,DOPACCL,,
,,DOPAOQCYS,,
,,LACROX,,
,,NADPQNOXR,,
,,NADQNOXR,,
,,DACT,,
,,DACGST,,
,,TYRDHINDOX,,
,,4GLU56DIHDINDt,,
,,EX_4glu56dihdind[e],,
,,5CYSDOPAt,,
,,EX_5cysdopa[e],,
,,CE5025t,,
,,EX_CE5025[e],,
,,CE2172t,,
,,EX_CE2172[e],,
,,CE5629t,,
,,EX_CE5629[e],,
,,DM_neuromelanin[c],,
,,ACER11r,,
,,ACER12r,,
,,ACER21g,,
,,ACER22g,,
,,ACER23g,,
,,ACER31r,,
,,BGAL1e,,
,,BGAL1l,,
,,BGAL2l,,
,,BGAL3l,,
,,BGAL4l,,
,,CRMte,,
,,DES21,,
,,EX_gd3_hs[e],,
,,EX_gluside_hs[e],,
,,EX_gm3_hs[e],,
,,GA1tl,,
,,GM1Atl,,
,,GM2Atl,,
,,GALGLUSIDEtg2,,
,,GALGLUSIDEtl2,,
,,GBA2e,,
,,GD3tg,,
,,GD3tl,,
,,GLA2l,,
,,GLUSIDEte,,
,,GLUSIDEtg,,
,,GLUSIDEtl,,
,,GM1tg,,
,,GM1tl,,
,,GM2tg,,
,,GM2tl,,
,,HEXA1l,,
,,HEXA2l,,
,,HEXA3e,,
,,HEXAHBl,,
,,NEU11l,,
,,NEU21,,
,,NEU22,,
,,NEU23,,
,,NEU24,,
,,NEU25,,
,,NEU310e,,
,,NEU31e,,
,,NEU32e,,
,,NEU33e,,
,,NEU34e,,
,,NEU35e,,
,,NEU36e,,
,,NEU37e,,
,,NEU38n,,
,,NEU39e,,
,,SMS1S2,,
,,SMS21e,,
,,SMSn,,
,,SPHK11,,
,,SPHK21n,,
,,SPHK22n,,
,,SPHMYLNte,,
,,SPHMYLNtl2,,
,,SPMD3n,,
,,ST8SIA13e,,
,,RE3477C1,,
,,NO2te,,
,,NH4tr,,
,,WHTSTSTERONEtr,,
,,UDPGALt2n,,
,,UDPGALt2r,,
,,TETTET6COAtm,,
,,TETPENT6COAtm,,
,,TETPENT3COAtm,,
,,SLDtm,,
,,THCRMtl,,
,,PCHOL_HStn,,
,,CHOLPtn,,
,,DAG_HStg,,
,,PHCRMtg,,
,,PHCRMter,,
,,SPHGNtn,,
,,SPHGNtg,,
,,SPHINGStn,,
,,SPHINGStg,,
,,EX_cmpacna[e],,
,,EX_gd2_hs[e],,
,,EX_gd1a_hs[e],,
,,DHCRMtg,,
,,DHCRMter,,
,,GDA1tn,,
,,PHSPHINGStg,,
,,PHSPHINGStr,,
,,SGPL11c,,
,,PHSGPL11c,,
,,LCYSTtm,,
,,sink_34dhpac[c],,
,,34DHPEt,,
,,EX_34dhpe[c],,
,,DM_no2[c],,
,,DM_ts3[c],,
,,DM_sph1p[n],,
,,DM_sphs1p[n],,
,,DM_gm1_hs[n],,
,,DM_gda1_hs[n],,
,,DM_6hddopaqn[c],,
,,GALSIDEter,,
,,GALSIDEtn,,
,,CERT1tn,,
,,Rtotalter,,
,,Rtotaltg,,
,,DM_phsph1p[c],,
,,GD1Atg,,
,,GD1Atn,,
,,ATPtg,,
,,GD1Btl,,
,,DM_gd3_hs[l],,
,,DM_gd3_hs[g],,
,,GD3tlc,,
,,GD3tm,,
,,DM_pail35p_hs[n],,
,,DM_gd3_hs[m],,
,,PAPStl,,
,,PAPtl,,
,,CATr,,
,,S2L2N2M2Mtl,,
,,DM_pcreat[c],,
,,DM_k[g],,
,,DM_na1[r],,
,,DM_na1[x],,
,,DM_na1[g],,
,,DM_na1[c],,
,,DM_thm[m],,
,,DM_retn[n],,
,,DM_hhxdcal[c],,
,,DM_15HPET[n],,
,,DM_15HPET[x],,
,,DM_15HPET[r],,
,,sink_Ser_Gly_Ala_X_Gly[r],,
,,EX_pail_hs[e],,
,,EX_CE1243[e],,
,,EX_CE5026[e],,
,,EX_5cysgly34dhphe[e],,
,,EX_CE1261[e],,
,,EX_galgluside_hs[e],,
,,EX_ga1_hs[e],,
,,EX_gm1a_hs[e],,
,,EX_gm2a_hs[e],,
,,EX_gm1_hs[e],,
,,EX_gm2_hs[e],,
,,EX_gm1b_hs[e],,
,,EX_gd1b_hs[e],,
,,EX_gt1b_hs[e],,
,,HMR_0001,,
,,HMR_0002,,
,,HMR_0003,,
,,HMR_0004,,
,,HMR_0005,,
,,HMR_0006,,
,,HMR_0007,,
,,HMR_0008,,
,,HMR_0009,,
,,HMR_0010,,
,,HMR_0011,,
,,HMR_0012,,
,,HMR_0013,,
,,HMR_0014,,
,,HMR_0015,,
,,HMR_0016,,
,,HMR_0017,,
,,HMR_0019,,
,,HMR_0020,,
,,HMR_0024,,
,,HMR_0025,,
,,HMR_0026,,
,,HMR_0027,,
,,HMR_0028,,
,,HMR_0029,,
,,HMR_0030,,
,,HMR_0155,,
,,HMR_0156,,
,,HMR_0157,,
,,HMR_0164,,
,,HMR_0165,,
,,HMR_0166,,
,,HMR_0167,,
,,HMR_0168,,
,,HMR_0170,,
,,HMR_0171,,
,,HMR_0172,,
,,HMR_0176,,
,,HMR_0177,,
,,HMR_0178,,
,,HMR_0180,,
,,HMR_0182,,
,,HMR_0183,,
,,HMR_0184,,
,,HMR_0185,,
,,HMR_0188,,
,,HMR_0189,,
,,HMR_0191,,
,,HMR_0192,,
,,HMR_0193,,
,,HMR_0194,,
,,HMR_0197,,
,,HMR_0200,,
,,HMR_0201,,
,,HMR_0203,,
,,HMR_0204,,
,,HMR_0206,,
,,HMR_0207,,
,,HMR_0208,,
,,HMR_0209,,
,,HMR_0210,,
,,HMR_0211,,
,,HMR_0214,,
,,HMR_0215,,
,,HMR_0230,,
,,HMR_0232,,
,,HMR_0233,,
,,HMR_0234,,
,,HMR_0235,,
,,HMR_0238,,
,,HMR_0239,,
,,HMR_0240,,
,,HMR_0241,,
,,HMR_0242,,
,,HMR_0243,,
,,HMR_0244,,
,,HMR_0245,,
,,HMR_0246,,
,,HMR_0247,,
,,HMR_0253,,
,,HMR_0254,,
,,HMR_0255,,
,,HMR_0256,,
,,HMR_0257,,
,,HMR_0259,,
,,HMR_0260,,
,,HMR_0261,,
,,HMR_0267,,
,,HMR_0268,,
,,HMR_0270,,
,,HMR_0271,,
,,HMR_0272,,
,,HMR_0273,,
,,HMR_0276,,
,,HMR_0277,,
,,HMR_0278,,
,,HMR_0279,,
,,HMR_0280,,
,,HMR_0281,,
,,HMR_0287,,
,,HMR_0288,,
,,HMR_0289,,
,,HMR_0290,,
,,HMR_0291,,
,,HMR_0292,,
,,HMR_0293,,
,,HMR_0296,,
,,HMR_0297,,
,,HMR_0298,,
,,HMR_0299,,
,,HMR_0300,,
,,HMR_0301,,
,,HMR_0302,,
,,HMR_0303,,
,,HMR_0304,,
,,HMR_0305,,
,,HMR_0306,,
,,HMR_0307,,
