mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
,,HMR_0242,PUNP2
,,HMR_0243,PUNP3
,,HMR_0244,PUNP4
,,HMR_0245,PUNP5
,,HMR_0246,PUNP6
,,HMR_0247,PUNP7
,,HMR_0253,RBFK
,,HMR_0254,RNDR1
,,HMR_0255,RNDR2
,,HMR_0256,RNDR3
,,HMR_0257,RNDR4
,,FACOAL1812,RPE
,,HMR_0260,RPI
,,HMR_0261,SPMS
,,HMR_0267,SPODM
,,HMR_0268,TALA
,,HMR_0270,THMDt2
,,HMR_0271,THRS
,,HMR_0272,TKT1
,,HMR_0273,TKT2
,,HMR_0276,TMDK1
,,HMR_0277,TMDPK
,,HMR_0278,TPI
,,HMR_0279,UAG4Ei
,,HMR_0280,UAGDP
,,HMR_0281,UDPG4E
,,HMR_0287,UMPK
,,HMR_0288,UPP3S
,,HMR_0289,UPPDC1
,,HMR_0290,UREAt
,,HMR_0291,URIt2
,,HMR_0292,SERD_L
,,HMR_0293,ASNN
,,HMR_0296,r0220_1
,,HMR_0297,r0318
,,HMR_0298,DADK
,,HMR_0299,r0398
,,HMR_0300,PPNCL2
,,HMR_0301,ACCOAC
,,HMR_0302,FPGS_1
,,HMR_0303,EX_pnto__R_e
,,HMR_0304,EX_gly_e
,,HMR_0305,GLYt2r
,,HMR_0306,EX_cys__L_e
,,HMR_0307,EX_ala__L_e
,,HMR_0308,ALAt2r
,,HMR_0309,EX_his__L_e
,,HMR_0310,EX_thr__L_e
,,HMR_0311,EX_gln__L_e
,,HMR_0317,EX_phe__L_e
,,HMR_0319,EX_tyr__L_e
,,HMR_0321,NTD4
,,HMR_0322,NTD5
,,HMR_0323,NTD6
,,HMR_0324,NTD7
,,HMR_0325,NTD8
,,HMR_0326,NTD9
,,HMR_0327,NTD10
,,HMR_0328,NTD11
,,HMR_0329,EX_arg__L_e
,,ACChex,EX_for_e
,,HMR_0343,NADS2
,,HMR_0344,EX_nac_e
,,HMR_0345,GUAt
,,HMR_0346,ADPRDP
,,HMR_0347,EX_ind3ac_e
,,FACOAE1839Z12Z15Z,EX_nh4_e
,,HMR_0354,EX_ac_e
,,HMR_0358,ALCD1
,,HMR_0359,RBK
,,HMR_0362,GCALDD
,,HMR_0363,GLYCK
,,HMR_0366,AGDC
,,HMR_0367,AICART
,,HMR_0370,ALDD2x
,,HMR_0371,AMANK
,,HMR_0374,ARGSL
,,HMR_0375,CITL
,,HMR_0378,CSND
,,HMR_0380,CYTK1
,,HMR_0381,CYTK2
,,HMR_0382,DRBK
,,HMR_0383,EX_acgam_e
,,HMR_0384,EX_cit_e
,,HMR_0385,EX_csn_e
,,HMR_0386,EX_drib_e
,,HMR_0387,EX_etha_e
,,HMR_0388,EX_fol_e
,,HMR_0389,EX_fru_e
,,HMR_0390,EX_galt_e
,,HMR_0391,EX_glcr_e
,,HMR_0392,EX_glcur_e
,,HMR_0393,EX_glyc_e
,,HMR_0394,EX_hxan_e
,,HMR_0395,EX_malt_e
,,FACOAE1829Z12Z,EX_malthx_e
,,FACOAE1836Z9Z12Z,EX_malttr_e
,,HMR_0406,EX_man_e
,,HMR_0410,EX_ptrc_e
,,HMR_0414,EX_rib__D_e
,,HMR_0415,EX_spmd_e
,,HMR_0418,EX_thm_e
,,HMR_0419,EX_trp__L_e
,,HMR_0422,EX_ura_e
,,HMR_0423,EX_xan_e
,,HMR_0426,EX_xyl__D_e
,,HMR_0427,FACOAL161
,,HMR_0428,G6PDA
,,HMR_0429,GALKr
,,HMR_0430,GALT
,,HMR_0431,GLUPRT
,,HMR_0432,GLXO1
,,HMR_0433,GLYK
,,HMR_0434,GLYOX
,,HMR_0435,GND
,,HMR_0436,HEX7
,,HMR_0437,HISDr
,,HMR_0438,HXPRT
,,HMR_0439,HYXNt
,,HMR_0467,IMACTD
,,G3PD2,IMPC
,,G3PD,IZPN
,,HMR_0582,LDH_D
,,HMR_0586,LDH_L
,,HMR_0587,MALT
,,HMR_0593,MDH
,,HMR_0597,MI1PP
,,HMR_0598,MI3PP
,,HMR_0601,MI4PP
,,HMR_0614,NT5C
,,HMR_0625,NTD3
,,HMR_0629,PFK
,,HMR_0634,PHETA1
,,HMR_0641,PIt7
,,HMR_0642,PRFGS
,,HMR_0653,PYDAMK
,,HMR_0654,PYDXNK
,,HMR_0657,PYK
,,HMR_0672,THRD_L
,,HMR_0678,TMDS
,,HMR_0750,TYRTA
,,HMR_0753,GLYALDDr
,,HMR_0758,MTHFR2
,,HMR_0761,ARGORNt7
,,HMR_0765,EX_pydxn_e
,,HMR_0767,EX_pydx_e
,,HMR_0769,EX_pydam_e
,,HMR_0770,EX_4hbz_e
,,SBPP3,EX_34dhpha_e
,,HMR_0793,EX_ppa_e
,,HMR_0795,EX_arab__L_e
,,HMR_0803,EX_gam_e
,,HMR_0805,URCN
,,HMR_0806,EX_pyr_e
,,HMR_0807,PYRt2
,,HMR_0808,EX_tre_e
,,HMR_0809,ACGAM2E
,,HMR_0810,DCMPDA
,,HMR_0811,EX_btn_e
,,HMR_0812,EX_lcts_e
,,HMR_0814,EX_ade_e
,,HMR_0815,EX_etoh_e
,,HMR_0816,ETOHt
,,HMR_0817,EX_acald_e
,,HMR_0819,EX_sucr_e
,,HMR_0820,THMt3
,,HMR_0821,AACOAT
,,HMR_0822,EX_pheme_e
,,HMR_0823,FTCD
,,HMR_0824,GLNt4
,,HMR_0825,MTRI
,,HMR_0827,EX_mqn8_e
,,HMR_0828,MK8t
,,HMR_0829,MTHFD2i
,,HMR_0830,EX_gua_e
,,HMR_0831,AHCi
,,HMR_0835,EX_4abut_e
,,HMR_0836,ABUTt2r
,,HMR_0837,EX_taur_e
,,HMR_0839,EX_phpyr_e
,,HMR_0841,EX_tym_e
,,HMR_0842,EX_2hyoxplac_e
,,HMR_0843,EX_lanost_e
,,HMR_0844,PHPYRte
,,HMR_0846,PHPYRtm
,,HMR_0847,EX_3mox4hoxm_e
,,HMR_0848,EX_glx_e
,,HMR_0849,CE4970tm
,,HMR_0851,CE4970te
,,HMR_0852,EX_CE4970_e
,,HMR_0853,CE2026tm
,,HMR_0854,CE2026te
,,HMR_0855,EX_CE2026_e
,,HMR_0859,CE4968tm
,,HMR_0860,CE4968te
,,HMR_0864,EX_CE4968_e
,,HMR_0868,EX_actyr_e
,,HMR_0873,EX_sucaceto_e
,,HMR_0875,VANILPYRc
,,HMR_0876,VANILLACc
,,HMR_0877,VANILLACte
,,HMR_0878,EX_vanillac_e
,,HMR_0889,EX_nacvanala_e
,,HMR_0890,2H3MVc
,,HMR_0906,2H3MVte
,,HMR_0907,EX_2h3mv_e
,,HMR_0908,2HIVc
,,HMR_0909,2HIVte
,,HMR_0910,EX_2hiv_e
,,HMR_0911,EX_2m3hbu_e
,,HMR_0912,2M3OVCOAm
,,HMR_0913,2M3OVACm
,,HMR_0942,2M3OVACtm
,,HMR_0946,2M3HVACc
,,HMR_0950,2M3HVACte
,,HMR_0954,EX_2m3hvac_e
,,HMR_0960,EX_3h3mglt_e
,,HMR_0962,3MGLUTACc
,,HMR_0963,3MGLUTACtm
,,HMR_0981,3MGLUTACte
,,HMR_0984,EX_3mglutac_e
,,HMR_0985,EX_3mglutr_e
,,HMR_0986,PPIOGLYc
,,HMR_0987,PPIOGLYtm
,,HMR_1081,PPIOGLYte
,,HMR_1084,EX_ppiogly_e
,,HMR_1095,EX_mvlac_e
,,HMR_1102,TIGGLYc
,,HMR_1126,TIGGLYtm
,,HMR_1127,TIGGLYte
,,HMR_1129,EX_tiggly_e
,,HMR_1135,3OHGLUTACte
,,HMR_1242,3OHGLUTACOAT3t
,,HMR_1243,EX_3ohglutac_e
,,HMR_1280,EX_glutcon_e
,,HMR_1284,EX_3hivac_e
,,HMR_1305,EX_3hadpac_e
,,HMR_1306,EX_3ohsebac_e
,,HMR_1307,EX_3ohsubac_e
,,HMR_1311,EX_5ohhexa_e
,,PGESc,EX_7ohocata_e
,,HMR_1315,EX_ethmalac_e
,,HMR_1316,HEXGLYc
,,HMR_1317,HEXGLYte
,,HMR_1321,EX_hexgly_e
,,HMR_1329,EX_methsucc_e
,,HMR_1331,SUBGLYc
,,HMR_1388,SUBGLYte
,,HMR_1390,EX_subgly_e
,,HMR_1392,EX_4ohbut_e
,,HMR_1465,AK2LGCHOLABCt
,,SMO,CE2510ABCt
,,LNSTLS,CE2537ABCt
,,HMR_1477,NRVNCABCt
,,HMR_1478,PAFABCt
,,HMR_1479,PAILPALM_HSSECt
,,HMR_1490,PAILR_HSSECt
,,HMR_1493,PCHLN225_HSABCt
,,HMR_1494,PCHOL2LINL_HSABCt
,,HMR_1495,PCHOL2OLE_HSABCt
,,C3STDH1,PCHOL2STE_HSABCt
,,HMR_1502,PCHOLAR_HSABCt
,,HMR_1503,PCHOLDOC_HSABCt
,,HMR_1504,PCHOLEIC_HSABCt
,,HMR_1505,PCHOLET_HSABCt
,,HMR_1509,PCHOLHEP_HSABCt
,,CHLSTI_1,PCHOLLINL_HSABCt
,,HMR_1516,PCHOLMYR_HsABCt
,,DSMSTOLR,PCHOLN15_HSABCt
,,HMR_1532,PCHOLN183_HSABCt
,,HMR_1536,PCHOLN1836_HSABCt
,,HMR_1538,PCHOLN19_HSABCt
,,HMR_1539,PCHOLN201_HSABCt
,,HMR_1540,PCHOLN203_HSABCt
,,HMR_1543,PCHOLN204_HSABCt
,,HMR_1544,PCHOLN205_HSABCt
,,HMR_1545,PCHOLN224_HSABCt
,,HMR_1546,PCHOLN225_HSABCt
,,HMR_1547,PCHOLN2254_HSABCt
,,HMR_1548,PCHOLN264_HSABCt
,,HMR_1549,PCHOLOLE_HSABCt
,,HMR_1550,PCHOLPALME_HSABCt
,,HMR_1551,PCHOLSTE_HSABCt
,,HMR_1552,PE12_HSABCt
,,HMR_1557,Pe13_HSABCt
,,LTHSTRLOR,PE14_HSABCt
,,HMR_1565,PE15_HSABCt
,,HMR_1620,PE161_HSABCt
,,HMR_1623,PE17_HSABCt
,,HMR_1627,PE203_HSABCt
,,HMR_1629,PE226_HSABCt
,,HMR_1630,PE2LINL_HSABCt
,,HMR_1631,PEAR_HSABCt
,,HMR_1637,PEDH203_HSABCt
,,HMR_1651,PELINL_HSABCt
,,HMR_1653,PELPALM_HSABCt
,,HMR_1665,PEOLE_HSABCt
,,HMR_1666,PEPALM_HSASBCt
,,HMR_1681,PESTE_HSABCt
,,HMR_1685,3AIBt1
,,HMR_1701,APRGSTRNt1e
,,HMR_1706,DIGALSGALSIDEATPte
,,HMR_1735,PAFt
,,HMR_1737,PESTE_HSt1e
,,HMR_1738,SPHMYLN_HsATPte
,,HMR_1739,SPHMYLN180241_hs_ATPt
,,HMR_1740,SPHMYLN18114_hs_ATPt
,,HMR_1741,SPHMYLN18115_hs_ATPt
,,HMR_1742,SPHMYLN18116_hs_ATPt
,,HMR_1743,SPHMYLN181161_hs_ATPt
,,HMR_1744,SPHMYLN18117_hs_ATPt
,,HMR_1745,SPHMYLN18118_hs_ATPt
,,HMR_1746,SPHMYLN181181_hs_ATPt
,,HMR_1747,SPHMYLN18120_hs_ATPt
,,HMR_1748,SPHMYLN181201_hs_ATPt
,,HMR_1749,SPHMYLN18121_hs_ATPt
,,HMR_1750,SPHMYLN18122_hs_ATPt
,,HMR_1751,SPHMYLN181221_hs_ATPt
,,HMR_1752,SPHMYLN18123_hs_ATPt
,,HMR_1753,SPHMYLN1824_hs_ATPt
,,HMR_1754,SPHMYLN1825_hs_ATPt
,,HMR_1756,2HYDOGOAT3t
,,HMR_1758,2HYDOGte
,,HMR_1759,GLUTAROAT3t
,,HMR_1760,GLUTARte
,,HMR_1761,THEXDDm
,,HMR_1762,THEXDDtm
,,HMR_1764,THEXDDte
,,HMR_1765,EX_thexdd_e
,,HMR_1766,HEXDTRm
,,HMR_1769,HEXDTRtm
,,HMR_1771,HEXDTRte
,,HMR_1807,EX_hexdtr_e
,,HMR_1897,HPDECECOAm
,,HMR_1916,HPDECEm
,,HMR_1927,HPDECEtm
,,HMR_1928,HPDECEte
,,HMR_1929,EX_hpdece_e
,,HMR_1944,EIC21114TRc
,,HMR_1962,EIC21114TRte
,,HMR_1967,EX_eic21114tr_e
,,HMR_1968,5EIPENCm
,,HMR_1970,5EIPENCtm
,,HMR_1971,5EIPENCte
,,HMR_1976,EX_5eipenc_e
,,HMR_1981,AGRMte
,,HMR_1988,ANDRSTNDNte
,,HMR_1996,EANDRSTRNte
,,HMR_2002,AHANDROSTANte
,,HMR_2007,ANDRSTANDRte
,,HMR_2014,CE2209te
,,HMR_2016,C05301te
,,HMR_2029,C05299te
,,HMR_2041,C05302te
,,HMR_2088,CE5072te
,,HMR_2089,11DOCRTSLte
,,HMR_2190,11DOCRTSTRNte
,,HMR_2193,PRGNLONEte
,,HMR_2210,CE2211te
,,HMR_2211,17AHPRGSTRNte
,,HMR_2215,17AHPRGNLONEte
,,HMR_2217,C03681te
,,HMR_2218,PRGNLONESte
,,HMR_2219,CE1352te
,,HMR_2259,MMAt2e
,,HMR_2260,C05769te
,,HMR_2261,SAMHISTAe
,,HMR_2262,CE2006te
,,HMR_2263,GLCRt1
,,HMR_2264,2HYOXPLCte
,,HMR_2265,N8ASPMDte
,,HMR_2266,MHISTAte
,,HMR_2267,CE4890te2
,,HMR_2268,C09642te
,,HMR_2269,2OBUTt
,,HMR_2270,PPP9ABCte
,,HMR_2281,MLTHFte
,,HMR_2282,TYMte2
,,HMR_2284,TRYPTAte
,,DESAT16,CE4890te
,,HMR_2287,SELMETHte
,,HMR_2288,CE7090te
,,HMR_2289,CE7085te
,,HMR_2292,CE7096te
,,HMR_2293,CE4877te
,,DESAT18,CE1447te
,,HMR_2295,C05769te3
,,HMR_2296,C05770te4
,,HMR_2332,C05770te
,,HMR_2334,MLTHFte3
,,HMR_2336,CE2705t
,,HMR_2338,SPHS1Pt2e
,,HMR_2342,MMAte
,,HMR_2343,PTRCARGte
,,HMR_2344,MLTHFte2
,,HMR_2345,TYMte
,,HMR_2347,13DAMPPte
,,HMR_2348,HDD2CRNte2
,,HMR_2349,MLTHFte1
,,HMR_2350,ARGN1ASPMDte
,,HMR_2353,CE1918te
,,HMR_2354,34DHPHAte
,,HMR_2355,34DHOXMANDte
,,HMR_2356,CE6205te
,,HMR_2359,1A25DHVITD3te
,,HMR_2361,ISOBUTtm
,,HMR_2362,ISOBUTte
,,HMR_2363,EX_CE4969_e
,,HMR_2364,NACCYStm
,,HMR_2365,NACCYSte
,,HMR_2368,EX_CE1310_e
,,HMR_2374,AGMt_m
,,HMR_2376,EX_agm_e
,,HMR_2380,EX_T4hcinnm_e
,,HMR_2391,EX_sucsal_e
,,HMR_2395,CE7081tr
,,HMR_2433,CE7081tm
,,HMR_2434,EX_CE7081_e
,,HMR_2435,EGMEtr
,,HMR_2436,EGMEte
,,HMR_2440,EX_egme_e
,,HMR_2457,12HARACHDtr
,,HMR_2472,12HARACHDte
,,HMR_2484,EX_12harachd_e
,,HMR_2530,18HARACHDtr
,,HMR_2533,18HARACHDte
,,HMR_2535,EX_18harachd_e
,,HMR_2537,EX_sql_e
,,HMR_2540,ORN_Dte
,,HMR_2541,EX_orn__D_e
,,HMR_2542,5G2OXPTtx
,,HMR_2543,5G2OXPTte
,,HMR_2569,EX_5g2oxpt_e
,,HMR_2571,EX_andrstndn_e
,,HMR_2581,EX_dhea_e
,,HMR_2585,EANDRSTRNtr
,,HMR_2602,EX_eandrstrn_e
,,HMR_2603,EX_ahandrostan_e
,,HMR_2604,EX_andrstandn_e
,,HMR_2608,EX_CE2209_e
,,HMR_2609,EX_estrone_e
,,HMR_2610,EX_C05298_e
,,HMR_2611,EX_C05301_e
,,CARN140t_m,EX_C05299_e
,,HMR_2613,EX_C05302_e
,,HMR_2620,EX_CE5072_e
,,HMR_2621,EX_11docrtsl_e
,,HMR_2622,EX_11docrtstrn_e
,,HMR_2624,EX_prgnlone_e
,,HMR_2633,EX_CE2211_e
,,HMR_2634,EX_17ahprgstrn_e
,,HMR_2635,EX_17ahprgnlone_e
,,HMR_2644,EX_C03681_e
,,HMR_2648,EX_HC02020_e
,,HMR_2649,EX_prgnlones_e
,,HMR_2650,EX_CE1352_e
,,HMR_2651,EX_xol24oh_e
,,HMR_2652,EX_xol27oh_e
,,HMR_2653,EX_xol25oh_e
,,CARN180t_m,DSMSTEROLtr
,,HMR_2657,DSMSTEROLte
,,HMR_2659,EX_dsmsterol_e
,,VACCCPT1,EX_chsterols_e
,,HMR_2661,EX_3ityr__L_e
,,VACCCPT2,EX_35diotyr_e
,,HMR_2666,EX_13_cis_retn_e
,,HMR_2667,EX_CE1617_e
,,HMR_2668,DM_myelin_hs_c
,,HMR_2669,EX_HC00460_e
,,HMR_2670,EX_34dhoxmand_e
,,HMR_2671,FNA5MOXAMte
,,HMR_2673,EX_fna5moxam_e
,,HMR_2675,EX_CE5643_e
,,HMR_2676,EX_CE7090_e
,,HMR_2677,EX_CE7085_e
,,HMR_2679,EX_CE7096_e
,,HMR_2681,EX_CE4877_e
,,HMR_2682,EX_CE1447_e
,,HMR_2683,EX_CE2006_e
,,HMR_2684,EX_CE1401_e
,,HMR_2685,EX_glucys_e
,,HMR_2686,EX_n8aspmd_e
,,HMR_2687,EX_CE6205_e
,,HMR_2688,EX_melatn_e
,,HMR_2689,EX_6hoxmelatn_e
,,HMR_2690,EX_trypta_e
,,HMR_2691,C10164te
,,HMR_2692,EX_C10164_e
,,HMR_2693,EX_CE4890_e
,,HMR_2695,EX_C09642_e
,,HMR_2697,EX_C05769_e
,,HMR_2699,EX_C05767_e
,,HMR_2700,EX_C05770_e
,,HMR_2701,EX_mhista_e
,,HMR_2702,EX_ppbng_e
,,HMR_2703,EX_13dampp_e
,,HMR_2704,EX_mma_e
,,HMR_2705,12PPDRte
,,HMR_2706,EX_12ppd__R_e
,,HMR_2707,EX_ametam_e
,,HMR_2708,EX_xylu__L_e
,,HMR_2709,XYLUDte
,,HMR_2710,EX_xylu__D_e
,,HMR_2711,EX_CE0737_e
,,HMR_2712,EX_sphings_e
,,HMR_2713,EX_hdd2crn_e
,,HMR_2715,IM4ACte
,,HMR_2718,EX_im4ac_e
,,HMR_2722,EX_CE1918_e
,,HMR_2727,EX_mlthf_e
,,HMR_2731,EX_ppp9_e
,,HMR_2733,AACTte
,,HMR_2734,EX_aact_e
,,HMR_2735,EX_CE2705_e
,,HMR_2736,EX_sphgn_e
,,HMR_2737,SELMETHt2e
,,HMR_2738,EX_N1aspmd_e
,,HMR_2739,EX_1a25dhvitd3_e
,,HMR_2740,EX_prist_e
,,HMR_2741,CE2049te
,,CARN1829Z12Zt_m,EX_CE2049_e
,,CARN1836Z9Z12Zt_m,CE2047te
,,HMR_2753,EX_CE2047_e
,,HMR_2757,EX_fdp_e
,,HMR_2760,EX_coke_e
,,HMR_2764,COKEte
,,HMR_2768,COKEtr
,,HMR_2769,EX_5a2opntn_e
,,HMR_2770,5A2OPNTNte
,,HMR_2771,5A2OPNTNtx
,,HMR_2772,ARG_Dtx
,,HMR_2773,ARG_Dte
,,HMR_2774,EX_arg__D_e
,,HMR_2775,EX_idl_hs_e
,,HMR_2776,EX_ldl_hs_e
,,HMR_2817,EX_hdl_hs_e
,,HMR_2819,EX_HC00005_e
,,HMR_2821,EX_HC00006_e
,,HMR_2827,EX_HC00007_e
,,HMR_2851,EX_HC00008_e
,,HMR_2852,EX_HC00009_e
,,HMR_2857,DOPASULT4
,,HMR_2859,UDPG4DOPA
,,HMR_2861,UDPG3DOPA
,,HMR_2862,TYRDOPOX
,,HMR_2865,34DHPEAR
,,HMR_2866,DOPA4SFt
,,HMR_2884,EX_dopa4sf_e
,,HMR_2886,DOPA4GLCURt
,,HMR_2888,EX_dopa4glcur_e
,,HMR_2890,DOPA3GLCURt
,,HMR_2942,EX_dopa3glcur_e
,,HMR_2943,CE5026t
,,HMR_2944,GGTe_1
,,HMR_2945,DOPACCL
,,HMR_2946,NADPQNOXR
,,HMR_2947,NADQNOXR
,,HMR_2948,DACT
,,HMR_2951,TYRDHINDOX
,,HMR_2954,EX_4glu56dihdind_e
,,HMR_2955,EX_5cysdopa_e
,,HMR_2956,CE5025t
,,HMR_2961,EX_CE5025_e
,,HMR_2962,EX_CE2172_e
,,HMR_2963,EX_CE5629_e
,,HMR_2964,ACER11r
,,HMR_2965,ACER12r
,,HMR_2966,ACER21g
,,HMR_2967,ACER22g
,,HMR_2968,ACER23g
,,HMR_2969,ACER31r
,,HMR_2970,BGAL1e
,,HMR_2971,BGAL1l
,,HMR_2972,BGAL2l
,,HMR_2973,BGAL3l
,,HMR_2974,DES21
,,HMR_2975,EX_gd3_hs_e
,,HMR_2976,EX_gluside_hs_e
,,HMR_2977,EX_gm3_hs_e
,,HMR_2978,GA1tl
,,HMR_2979,GLA2l
,,HMR_2980,GM1tl
,,HMR_2982,GM2tg
,,HMR_2983,HEXA2l
,,HMR_2985,HEXAHBl
,,HMR_2986,NEU11l
,,HMR_2988,NEU21
,,HMR_2989,NEU22
,,HMR_2990,NEU23
,,HMR_2994,NEU24
,,HMR_2998,NEU25
,,HMR_2999,NEU31e
,,HMR_3001,NEU32e
,,HMR_3002,NEU33e
,,HMR_3003,NEU34e
,,HMR_3018,NEU35e
,,HMR_3021,NEU36e
,,HMR_3023,NEU37e
,,HMR_3057,NEU38n
,,HMR_3058,NEU39e
,,HMR_3059,SMS1S2
,,HMR_3062,SMS21e
,,HMR_3063,SMSn
,,HMR_3064,SPHK11
,,HMR_3065,SPHK21n
,,HMR_3066,SPHK22n
,,HMR_3067,SPMD3n
,,HMR_3068,ST8SIA13e
,,HMR_3069,NH4tr
,,HMR_3070,WHTSTSTERONEtr
,,HMR_3071,TETTET6COAtm
,,HMR_3072,TETPENT6COAtm
,,HMR_3073,TETPENT3COAtm
,,ACOAO8p,PCHOL_HStn
,,HMR_3075,CHOLPtn
,,HMR_3076,DAG_HStg
,,HMR_3094,PHCRMtg
,,HMR_3095,PHCRMter
,,HMR_3096,SPHGNtn
,,HMR_3097,SPHGNtg
,,HMR_3098,SPHINGStn
,,HMR_3099,SPHINGStg
,,HMR_3100,EX_cmpacna_e
,,HMR_3101,EX_gd2_hs_e
,,HMR_3102,EX_gd1a_hs_e
,,HMR_3106,DHCRMtg
,,HMR_3107,DHCRMter
,,HMR_3108,PHSPHINGStg
,,HMR_3109,PHSPHINGStr
,,HMR_3110,SK_34dhpac_c
,,HMR_3111,34DHPEt
,,HMR_3112,EX_34dhpe_e
,,HMR_3113,DM_no2_c
,,HMR_3114,DM_ts3_c
,,HMR_3115,DM_sph1p_n
,,HMR_3116,DM_sphs1p_n
,,HMR_3117,DM_gm1_hs_n
,,KAT180_m,DM_gda1_hs_n
,,ACOADH160_m,DM_6hddopaqn_c
,,HMR_3128,Rtotalter
,,ACOADH120_m,Rtotaltg
,,ACOADH100_m,DM_phsph1p_c
,,HMR_3149,GD1Atn
,,ACOADH60_m,ATPtg
,,HMR_3170,GD1Btl
,,HMR_3171,DM_gd3_hs_l
,,HMR_3172,DM_gd3_hs_g
,,HMR_3173,DM_pail35p_hs_n
,,HMR_3174,DM_gd3_hs_m
,,HMR_3175,DM_pcreat_c
,,HMR_3176,DM_k_g
,,HMR_3177,DM_na1_r
,,HMR_3178,DM_na1_x
,,HMR_3179,DM_na1_g
,,HMR_3180,DM_na1_c
,,HMR_3181,DM_thm_m
,,HMR_3182,DM_retn_n
,,HMR_3183,DM_hhxdcal_c
,,HMR_3184,DM_15HPET_n
,,HMR_3185,DM_15HPET_x
,,HMR_3186,DM_15HPET_r
,,HMR_3187,SK_Ser_Gly_Ala_X_Gly_r
,,HMR_3188,EX_pail_hs_e
,,HMR_3189,EX_CE1243_e
,,HMR_3190,EX_CE5026_e
,,HMR_3191,EX_5cysgly34dhphe_e
,,HMR_3192,EX_CE1261_e
,,HMR_3193,EX_galgluside_hs_e
,,HMR_3194,EX_ga1_hs_e
,,HMR_3195,EX_gm1_hs_e
,,HMR_3196,EX_gm2_hs_e
,,HMR_3197,EX_gm1b_hs_e
,,HMR_3198,EX_gd1b_hs_e
,,HMR_3199,EX_gt1b_hs_e
,,HMR_3200,HMR_0002
,,HMR_3201,HMR_0003
,,HMR_3202,HMR_0008
,,HMR_3203,HMR_0019
,,HMR_3204,HMR_0020
,,HMR_3205,BUTt
,,HMR_3218,HMR_0156
,,HMR_3219,FA40COAtm
,,HMR_3220,HMR_0164
,,HMR_3221,HMR_0165
,,HMR_3222,HMR_0166
,,HMR_3223,HMR_0167
,,HMR_3224,HMR_0168
,,HMR_3225,HMR_0170
,,HMR_3229,HMR_0171
,,HMR_3230,HMR_0172
,,HMR_3231,HMR_0176
,,HMR_3232,HMR_0177
,,HMR_3233,HMR_0178
,,HMR_3234,HMR_0180
,,HMR_3235,HMR_0183
,,HMR_3236,HMR_0184
,,HMR_3237,HMR_0185
,,HMR_3240,HMR_0188
,,HMR_3241,FACOAE120
,,HMR_3242,HMR_0191
,,HMR_3243,HMR_0192
,,HMR_3244,HMR_0193
,,HMR_3245,HMR_0194
,,HMR_3246,FACOAE140
,,HMR_3247,HMR_0200
,,HMR_3296,HMR_0201
,,HMR_3321,HMR_0203
,,HMR_3322,HMR_0204
,,HMR_3326,HMR_0206
,,HMR_3327,HMR_0207
,,HMR_3328,HMR_0208
,,HMR_3329,HMR_0209
,,HMR_3330,HMR_0210
,,HMR_3331,HMR_0211
,,HMR_3332,HMR_0214
,,HMR_3333,HMR_0215
,,HMR_3334,FACOAE161
,,HMR_3335,HMR_0232
,,HMR_3336,HMR_0233
,,HMR_3337,HMR_0234
,,HMR_3338,HMR_0235
,,HMR_3339,HMR_0238
,,HMR_3340,HMR_0239
,,HMR_3341,HMR_0240
,,HMR_3342,HMR_0241
,,HMR_3343,HMR_0242
,,HMR_3344,HMR_0243
,,HMR_3345,HMR_0244
,,HMR_3346,HMR_0245
,,HMR_3347,HMR_0246
,,HMR_3348,HMR_0247
,,HMR_3349,HMR_0253
,,HMR_3350,HMR_0254
,,HMR_3351,HMR_0255
,,HMR_3352,HMR_0256
,,HMR_3353,HMR_0257
,,HMR_3398,FACOAL1812
,,HMR_3406,HMR_0260
,,HMR_3407,HMR_0261
,,HMR_3408,HMR_0267
,,HMR_3409,HMR_0268
,,HMR_3411,HMR_0270
,,HMR_3413,HMR_0271
,,HMR_3414,HMR_0272
,,HMR_3416,HMR_0273
,,HMR_3421,HMR_0276
,,HMR_3422,HMR_0277
,,HMR_3423,HMR_0278
,,HMR_3424,HMR_0279
,,HMR_3425,HMR_0280
,,HMR_3426,HMR_0281
,,HMR_3427,HMR_0287
,,HMR_3428,HMR_0288
,,HMR_3429,HMR_0289
,,HMR_3431,HMR_0290
,,HMR_3432,HMR_0291
,,HMR_3433,HMR_0292
,,HMR_3446,HMR_0293
,,HMR_3447,HMR_0296
,,HMR_3448,HMR_0297
,,HMR_3449,HMR_0298
,,HMR_3450,HMR_0299
,,HMR_3451,HMR_0300
,,HMR_3452,HMR_0301
,,HMR_3453,HMR_0302
,,HMR_3454,HMR_0303
,,HMR_3455,HMR_0304
,,HMR_3456,HMR_0305
,,HMR_3457,HMR_0306
,,HMR_3475,HMR_0307
,,HMR_3491,HMR_0308
,,HMR_3505,HMR_0309
,,HMR_3520,HMR_0310
,,HMR_3522,HMR_0311
,,HMR_3597,HMR_0317
,,HMR_3625,HMR_0319
,,HMR_3626,HMR_0321
,,HMR_3627,HMR_0322
,,HMR_3628,HMR_0323
,,HMR_3629,HMR_0324
,,HMR_3630,HMR_0325
,,HMR_3631,HMR_0326
,,HMR_3633,HMR_0327
,,HMR_3635,HMR_0328
,,HMR_3636,HMR_0329
,,HMR_3637,HMR_0343
,,HMR_3639,HMR_0344
