mCADRE_brain_rxns,rFASTACOROMICS_brain_rxns,CORDA_brain_rxns,ftINIT_brain_rxns
DHPM2,CYTK3n,CERT2rt,C204CPT1
DIDPtn,CYTK4,CGLYt3_2,C204CPT2
DIGALSGALSIDEtg,CYTK4n,CHAT,C204CRNt
DITPtn,CYTK2_1,CHATn,C226CPT1
D_LACt2,CYTK5n,CHLP,C226CPT2
D_LACtm,CPK1,CHLPCTD,C3STDH1Pr
DLNLCGCPT1,CYTK6n,CHLtm,C3STDH1r
DLNLCGCPT2,CYTK7,CHOLATEt,C3STKR2r
DLNLCGCRNt,CYTK7n,CHOLD2m,C4STMO1r
DM_Asn_X_Ser_Thr_l,CYTK8,CHOLK,C4STMO2Pr
DM_dctp_m,CYTK8n,CHOLPtg,C4STMO2r
DM_dem2emgacpail_prot_hs_r,CYTK9,CHOLPtl,CAATPS_1
DM_dgpi_prot_hs_r,CYTK9n,CHOLt4,CAROtr
DM_gpi_sig_r,D3AIBTm,CHOLtg,CARVEOLte
DM_Ser_Gly_Ala_X_Gly_l,DADNK,CHOLtr,CAt7r
DMATTx,DAG_HSter,CHOLtu,CBL2OR
DMNONCOACRNCPT1,DAGK_hs,CHSTEROLSULT,CBL2tm
C110CPT2m,DAGKn_hs,CHSTEROLt1,CBPPer
DNDPt10m,DALAt2r,CHSTEROLt3,CBPSam
DNDPt11m,DASCBR_1,CHSTEROLtg,CBPter
DNDPt12m,DASPO1p,CHTNASE,CDIPTr
DNDPt13m,DATPtn,CITRtm,CDPDAGtm
DNDPt14m,DCIm,CITtam,CDS
DNDPt15m,DCK1n,CITtbm,CDSm
DNDPt16m,DCK2n,CK_cho,CERT1gt
DNDPt17m,DCSPTN1CPT1,CKc_cho,CERT1rt
DNDPt18m,DCSPTN1CPT2,CLFORtex,CERT2gt
DNDPt19m,DCSPTN1CRNt,CLHCO3tex2,CERT2rt
DNDPt1m,DCSPTN1t,CLI2tex,CGLYt3_2
DNDPt20m,DCTPtn,CLOHtex2_1,CH25H
DNDPt21m,DDPGAm,CLOXAtex2,CHAT
DNDPt23m,DEBRISOQUINEt,CLPNDCPT1,CHATn
DNDPt24m,DECDPtm,CLPNDCPT2,CHLP
DNDPt25m,DESAT16_2,CLPNDCRNt,CHLPCTD
