mets,mets_name,genes,rxns,subsystems
M02051[c],Heneicosanoylcarnitine,11949,HMR_0305,Fatty acid synthesis
M02051[m],Heneicosanoylcarnitine,11950,HMR_0245,Fatty acid synthesis
m2mn[l],(Alpha-D-Mannosyl)2-Beta-D-Mannosyl-N-Acetylglucosamine,11951,PAPStg,"Transport, golgi apparatus"
lys__L[n],L-Lysine,11957,S6T2g,Keratan sulfate synthesis
inost[c],Myo-Inositol,11958,OCTAt,"Transport, extracellular"
mi4p__D[c],1D-Myo-Inositol 4-Phosphate,11964,HMR_9803,Propanoate metabolism
lac__L[c],(S)-Lactate,11966,G14T21g,Keratan sulfate synthesis
fru[c],D-Fructose,11972,PE161_HSABCt,"Transport, extracellular"
malt[c],Maltose,11973,GLUt7l,"Transport, lysosomal"
malttr[c],Maltotriose,11974,RE0958C,Starch and sucrose metabolism
pcholste_hs[c],1-Stearoylglycerophosphocholine,11975,r1826,"Transport, extracellular"
h[g],Proton,11980,PLA2_2e,Glycerophospholipid metabolism
udp[g],Uridine Diphosphate,11982,r2520,"Transport, mitochondrial"
udpglcur[g],Uridine-5-Diphosphate-Glucuronate,11984,HMR_0244,"Transport, extracellular"
M01235[c],9Z-Eicosenoic Acid,11987,r0443,Fatty acid oxidation
M01236[c],9Z-Eicosenoyl Coenzyme A,11988,NDP7er,Nucleotide interconversion
pi[m],Orthophosphate,11989,CBPS,Pyrimidine synthesis
glu5sa[m],L-Glutamate 5-Semialdehyde,11992,HMR_2857,"Transport, endoplasmic reticular"
glu5p[m],L-Glutamate 5-Phosphate,12012,RE3247M,Fatty acid oxidation
accoa[c],Acetyl Coenzyme A,12035,PCHOLEIC_HSABCt,"Transport, extracellular"
aacoa[c],Acetoacetyl Coenzyme A,12036,DUTCP,Nucleotide interconversion
acgal[l],N-Acetyl-D-Galactosamine,12038,FAOXC184C164x,Fatty acid oxidation
gd2_hs[l],GalNac-Beta1->4(Neuac-Alpha2->8Neuac2->3)Gal-Beta1->4Glc-Beta1->1Cer,12039,FVStu,Drug metabolism
gd3_hs[l],Gd3,12040,PROPAT4te,"Transport, extracellular"
pe_hs[c],Phosphatidylethanolamine,12091,r1167,Miscellaneous
pe14_hs[c],1-Myristoylglycerophosphoethanolamine (C14:0 Pe),12116,HMR_3662,Cholesterol metabolism
mi14p[c],"(1R,2R,3R,4R,5R,6S)-2,3,5,6-Tetrahydroxy-4-(Phosphonatooxy)Cyclohexyl Phosphate",12140,HMR_3686,Cholesterol metabolism
adn[c],Adenosine,12183,HMR_0209,Fatty acid synthesis
adn[m],Adenosine,12215,HMR_3680,Cholesterol metabolism
dadp[c],Deoxyadenosine Diphosphate,12319,FAOXC164C143x,Fatty acid oxidation
f6p[c],D-Fructose 6-Phosphate,12346,EICOSTETCPT1,Fatty acid oxidation
lnlncgcoa[c],Gamma-Linolenoyl Coenzyme A,12349,HMR_3647,Cholesterol metabolism
arachdcrn[c],C20:4 Carnitine,12350,HMR_1665,"Transport, peroxisomal"
arachdcrn[m],C20:4 Carnitine,12351,IND3ACt,"Transport, extracellular"
sphmyln18115_hs[c],"Sm (D18:1/15:0), Sphingomyelin",12352,BILIRUBt2,"Transport, extracellular"
sphmyln18115_hs[e],"Sm (D18:1/15:0), Sphingomyelin",12353,r0669,"Valine, leucine, and isoleucine metabolism"
pcholn183_hs[e],"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)",12354,HMR_0306,Fatty acid oxidation
glcur[r],D-Glucuronate,12359,HMR_0382,Fatty acid oxidation
crvsm23[r],cerivastatin-M23,12408,C12DCACOT,Fatty acid oxidation
cvm23gluc[r],cerivastatin-M23-glucuronide,12411,HMR_3646,Cholesterol metabolism
cit[c],Citrate,12491,NDPK1,Nucleotide interconversion
icit[c],Isocitric Acid,12495,HMR_8582,Starch and sucrose metabolism
udp[r],Uridine Diphosphate,12496,RE3176C,Fatty acid oxidation
udpglcur[r],Uridine-5-Diphosphate-Glucuronate,12497,SPHMYLN181221_hs_ATPt,"Transport, extracellular"
f1p[c],D-Fructose 1-Phosphate,12499,RE3628M,Fatty acid oxidation
arachdcoa[r],Arachidonoyl Coenzyme A,12583,PGMT,Glycolysis/gluconeogenesis
arachdcrn[r],C20:4 Carnitine,12613,CYSO,Taurine and hypotaurine metabolism
hco3[e],Bicarbonate,12642,HMR_0309,Fatty acid synthesis
hco3[c],Bicarbonate,12647,ORNt4m,"Transport, mitochondrial"
estrones[e],Estrone 3-Sulfate,12651,HMR_3650,Cholesterol metabolism
estrones[c],Estrone 3-Sulfate,12660,SBPP3er,Sphingolipid metabolism
h2o2[x],Hydrogen Peroxide,12686,SPHMYLN1824_hs_ATPt,"Transport, extracellular"
CE5166[x],25(S)-Trihydroxycoprostanoyl Coenzyme A,12709,UGALNACtg,"Transport, golgi apparatus"
pcholn183_hs[c],"1-Octadeca-Trienoylglycerophosphocholine, Sn1-Lpc (18:3, Delta 9, 12, 15)",12715,r0009,Purine catabolism
clpnd[r],Docosapentaenoic Acid,12716,LNLNCACRNt,Fatty acid oxidation
clpndcoa[r],"Docosa-7,10,13,16,19-All-Cis-Pentaenoyl Coenzyme A",12764,HMR_0345,Fatty acid synthesis
lgnc[r],Lignocerate,12780,AMACR2p,Bile acid synthesis
M01508[r],Cholesterol-Ester-Tetraco,12846,H2Ot,"Transport, extracellular"
cyan[e],Hydrogen Cyanide,12857,RE3167C,Fatty acid oxidation
ddca[c],Dodecanoic Acid,12858,LCAT17e,Cholesterol metabolism
ddcacoa[c],Lauroyl Coenzyme A,12859,GALC,Sphingolipid metabolism
co2[m],Carbon Dioxide,12861,PRAGSr,Purine synthesis
gcald[m],Glycolaldehyde,12862,DHCRD1,Sphingolipid metabolism
hpyr[m],3-Hydroxypyruvate,12864,4MPTNLte,"Transport, extracellular"
accoa[x],Acetyl Coenzyme A,12865,r1812,"Transport, extracellular"
coa[x],Coenzyme A,12866,r0145,Arginine and proline metabolism
fvs[x],fluvastatin,12867,HMR_2334,Fatty acid synthesis
deoxfvs[x],deoxy-fluvastatin-dinor,12868,SSALxm,Glutamate metabolism
imp[c],Inosine-5-Monophosphate,12870,EX_profvs_e,Exchange/demand reaction
fprica[c],5-Formamido-1-(5-Phospho-D-Ribosyl)Imidazole-4-Carboxamide,12892,HMR_0981,Arachidonic acid metabolism
hpdcacoa[m],Heptadecanoyl Coenzyme A,12894,UDPGALtg,"Transport, golgi apparatus"
hpdececoa[m],Trans-Delta-2-Heptadecanoyl Coenzyme A,12895,PCHOLHEP_HSPLA2,Glycerophospholipid metabolism
pcholn203_hs[e],"1-Dihomo-Linolenoylglycerophosphocholine (20:3, Delta 8, 11, 14), Lysopc A C20:3",12896,EX_glygn4_e,Exchange/demand reaction
