mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
M00804[m],CE4791[m],tyrleuarg_e,cortsn[c]
M00909[m],CE4793[m],tyrphetyr_e,cortsn[e]
M00071[m],CE2437[m],tyrthr_e,didecaeth[e]
M00806[m],CE2438[m],tyrtrpphe_e,diholineth[e]
M00911[m],CE2439[m],tyrtyr_e,docohxeth[e]
M00056[m],CE2440[m],tyrvalmet_e,docteteth[e]
M00792[m],CE2441[m],valarggly_e,dodecanac[e]
M00889[m],ac[x],valhisasn_e,forglu[e]
M00048[m],M01498[r],valleuphe_e,HC00900[e]
M00782[m],M01510[r],vallystyr_e,hepdeceth[e]
M00877[m],M01501[r],valphearg_e,hexdeceeth[e]
M00063[m],M01487[r],valprotrp_e,hexdiac[e]
M00797[m],M01479[r],valserarg_e,hgentis[e]
M00899[m],M01470[r],valtrpphe_e,hmcarn[e]
CE5154[m],M01506[r],valtrpval_e,hmcr[e]
CE5153[m],M01477[r],valval_e,hxcoa[e]
CE5152[m],M01495[r],trpglyasp_e,leuktrB4wcooh[e]
CE5150[m],M01454[r],alaargcys_c,leuktrB4woh[e]
CE5148[m],M01485[r],alaarggly_c,lineth[e]
CE5144[m],M01464[r],alaasnleu_c,Lpipecol[e]
M03019[m],M01489[r],alaglylys_c,lthstrl[e]
M00172[m],M01486[r],alahisala_c,mev__R[e]
M00849[m],M01474[r],alalysthr_c,mi1p__D[e]
M03022[m],M01502[r],argalaala_c,Nacasp[e]
M01573[m],M01492[r],argalaphe_c,nwharg[e]
M00885[m],M01463[r],argalathr_c,oleth[e]
M03014[m],M01458[r],argarg_c,pcollg5hlys[e]
M00702[m],M01484[r],argarglys_c,pendecaeth[e]
M00843[m],M01481[r],argargmet_c,pmeth[e]
M03024[m],M01469[r],argcysgly_c,saccrp__L[e]
M00170[m],M01494[r],argcysser_c,sebacid[e]
M00841[m],M01491[r],arggluglu_c,sphmyln180241_hs[e]
M03016[x],M01462[r],argglupro_c,sphmyln18114_hs[e]
M00715[x],M01457[r],argglygly_c,sphmyln18115_hs[e]
M00879[x],M01509[r],arghisthr_c,sphmyln18116_hs[e]
CE5158[x],M01508[r],argleuphe_c,sphmyln181161_hs[e]
CE5157[x],M01465[r],arglysasp_c,sphmyln18117_hs[e]
CE5156[x],M01496[r],argphearg_c,sphmyln18118_hs[e]
CE5155[x],M01497[r],argpromet_c,sphmyln181181_hs[e]
CE5154[x],M01473[r],argprothr_c,sphmyln18120_hs[e]
CE5153[x],M01480[r],argserser_c,sphmyln181201_hs[e]
CE5152[x],M01468[r],argtyrval_c,sphmyln18121_hs[e]
CE5151[x],M01475[r],argvalcys_c,sphmyln18122_hs[e]
CE5150[x],M01482[r],argvaltrp_c,sphmyln181221_hs[e]
CE5148[x],M01471[r],asnasnarg_c,sphmyln18123_hs[e]
CE5144[x],M01466[r],asncyscys_c,sphmyln1824_hs[e]
HC10856[x],M01455[r],asnmetpro_c,sphmyln1825_hs[e]
HC10857[x],M01460[r],asnpheasp_c,steeth[e]
HC10858[x],M01490[r],asnphecys_c,subeac[e]
M01191[x],M01476[r],asntyrgly_c,tetdeca511ac[e]
M03019[x],M01483[r],asntyrphe_c,tetdecaeth[e]
M00172[x],M01472[r],asntyrthr_c,thrnt[e]
M00849[x],M01467[r],aspalaarg_c,tmlys[e]
M01141[x],M01456[r],aspasnglu_c,trideceth[e]
M03022[x],M01461[r],aspglu_c,txb2[e]
M01573[x],amp[n],aspglupro_c,urcan[e]
M00885[x],HC01609[c],aspglutrp_c,xolest182_hs[e]
CE5116[m],M00245[c],asphiscys_c,xolest205_hs[e]
CE5114[m],dhlam[c],asphispro_c,xolest226_hs[e]
CE4791[m],pail5p_hs[g],asplysglu_c,galt[e]
CE4793[m],pail_hs[g],asplyshis_c,glyc__R[e]
CE2437[m],retinol[r],aspmetasp_c,glyc2p[e]
CE2438[m],coucoa[c],aspprolys_c,glyclt[e]
CE2439[m],4hbzcoa[c],aspvalasn_c,3hpppn[e]
CE2440[m],M00658[m],cysasnmet_c,ind3ac[e]
CE2441[m],M01165[m],cysaspphe_c,Lcyst[e]
ac[x],M00770[m],cyscys_c,leuktrB4woh[c]
M01498[r],peplys[c],cysglnmet_c,Lpipecol[c]
M01510[r],M00213[c],cysgluhis_c,oaa[e]
M01501[r],Ndmelys[c],cysglutrp_c,pac[e]
M01487[r],Ntmelys[c],cysleuthr_c,pcollg5hlys[c]
M01479[r],M01871[g],cyssermet_c,pser__L[c]
M01470[r],M01872[g],cystyrasn_c,pser__L[e]
M01506[r],M01872[e],glnasngln_c,saccrp__L[c]
M01477[r],doldp_[l][c],glnhishis_c,ttdcea[c]
M01495[r],M01869[g],glnhislys_c,ttdcea[e]
M01454[r],M01870[g],glnlyslys_c,urcan[c]
M01485[r],M01870[e],glnlystrp_c,acile__L[e]
M01464[r],M00673[c],glnproglu_c,acleu__L[e]
M01489[r],M01389[c],glntrpglu_c,achom__L[e]
M01486[r],ditp[e],glntyrleu_c,phacgly[e]
M01474[r],HC01361[c],gluargleu_c,estriol[e]
M01502[r],HC02057[r],gluasnleu_c,ddca[e]
M01492[r],M02446[c],gluglu_c,urscholcoa[c]
M01463[r],M02446[e],gluilelys_c,7klitchol[c]
M01458[r],M02447[c],gluleu_c,phaccoa[m]
M01484[r],M02447[e],glumet_c,pheacgly[m]
M01481[r],M02449[c],glumethis_c,pheacgly[c]
M01469[r],M02449[e],gluthr_c,pheacgly[e]
M01494[r],M02451[c],gluthrlys_c,pcresol[c]
M01491[r],M02451[e],glutrpala_c,pcs[c]
M01462[r],M01966[c],glyhisasn_c,pcresol[e]
M01457[r],adpman[e],glyhislys_c,pcs[e]
M01509[r],rbl__D[e],glylyscys_c,normete__L[e]
M01508[r],M01966[e],glylysphe_c,C05300[e]
M01465[r],M01881[e],glytyrlys_c,dhbpt[e]
M01496[r],M03131[e],glyvalhis_c,thbpt[e]
M01497[r],n5m2masn[c],hisargcys_c,alaargcys[e]
M01473[r],n5m2masn[e],hisargser_c,alaarggly[e]
M01480[r],dolichol_[l][e],hisasp_c,alaasnleu[e]
M01468[r],M03168[m],hiscyscys_c,alaglylys[e]
M01475[r],2hatvacid[c],hisglnala_c,alahisala[e]
M01482[r],2hatvlac[c],hisglu_c,alalysthr[e]
M01471[r],2hatvacid[e],hisglugln_c,argalaala[e]
M01466[r],2hatvlac[e],hisglylys_c,argalaphe[e]
M01455[r],pvs[r],hishislys_c,argalathr[e]
M01460[r],35dhpvs[c],hislysala_c,argarg[e]
M01490[r],35dhpvs[e],hislysglu_c,argarglys[e]
M01476[r],smv[r],hislysile_c,argargmet[e]
M01483[r],35dsmv[r],hislysthr_c,argcysgly[e]
M01472[r],35dsmv[c],hislysval_c,argcysser[e]
M01467[r],35dsmv[e],hismet_c,arggluglu[e]
M01456[r],3hpvscoa[m],hismetgln_c,argglupro[e]
M01461[r],3hpvstetcoa[m],hisphearg_c,argglygly[e]
M00245[c],3hpvscoa[x],hisprolys_c,arghisthr[e]
dhlam[c],3hpvstetcoa[x],histrphis_c,argleuphe[e]
pail5p_hs[g],3hpvstet[c],ileargile_c,arglysasp[e]
pail_hs[g],3hpvstet[e],ileasnhis_c,argphearg[e]
retinol[r],3hpvs[r],ileasp_c,argpromet[e]
M00658[m],3hpvs[c],ileglnglu_c,argprothr[e]
M01165[m],3hpvs[e],ileglyarg_c,argserser[e]
M00770[m],3hsmv[c],ileprolys_c,argtyrval[e]
peplys[c],3hsmvacid[c],ileserarg_c,argvalcys[e]
M00213[c],3hsmvacid[e],iletrptyr_c,argvaltrp[e]
Ndmelys[c],6hsmv[r],leualaarg_c,asnasnarg[e]
Ntmelys[c],3hsmv[r],leuasnasp_c,asncyscys[e]
M01869[g],pvs[c],leuasplys_c,asnmetpro[e]
M01870[g],3ispvs[c],leuleutrp_c,asnpheasp[e]
M01870[e],3ispvs[e],leupro_c,asnphecys[e]
ditp[e],glz[r],leuproarg_c,asntyrgly[e]
HC02057[r],4hatvlac[c],leusertrp_c,asntyrphe[e]
M02446[c],4hatvacid[c],leutrp_c,asntyrthr[e]
M02446[e],4hatvacid[e],leutrparg_c,aspalaarg[e]
M02447[c],4hatvlac[e],leutyrtyr_c,aspasnglu[e]
M02447[e],56dhpvs[c],leuval_c,aspglu[e]
M02449[c],56dhpvs[e],lysargleu_c,aspglupro[e]
M02449[e],56eppvs[c],lyscyshis_c,aspglutrp[e]
M02451[c],56eppvs[e],lysglnphe_c,asphiscys[e]
M02451[e],5ohfvs[r],lysgluglu_c,asphispro[e]
M01966[c],fvs[r],lyslyslys_c,asplysglu[e]
M01966[e],5ohfvs[c],lyspheile_c,asplyshis[e]
M03131[e],5ohfvs[e],lystrparg_c,aspmetasp[e]
n5m2masn[c],6bhglz[c],lystyrile_c,aspprolys[e]
n5m2masn[e],6bhglz[e],lysvalphe_c,aspvalasn[e]
M03168[m],6bhglz[r],lysvaltrp_c,cysasnmet[e]
12dhchol[c],6csmv[c],metargleu_c,cysaspphe[e]
12dhchol[e],6csmvacid[c],metasntyr_c,cyscys[e]
3dhchol[c],6csmvacid[e],metglntyr_c,cysglnmet[e]
3dhcdchol[c],6msmv[r],metglyarg_c,cysgluhis[e]
3dhcdchol[e],6csmv[r],methislys_c,cysglutrp[e]
3dhchol[e],6epvs[c],metmetile_c,cysleuthr[e]
3dhdchol[c],6epvs[e],metphearg_c,cyssermet[e]
3dhdchol[e],6hmsmv[c],mettrpphe_c,cystyrasn[e]
3dhlchol[c],6hmsmvacid[c],pheasnmet_c,glnasngln[e]
3dhlchol[e],6hmsmvacid[e],pheasp_c,glnhishis[e]
7dhcdchol[c],6hmsmv[r],pheglnphe_c,glnhislys[e]
7dhcdchol[e],7hpvs[c],pheleu_c,glnlyslys[e]
7dhchol[c],7hpvs[e],pheleuasp_c,glnlystrp[e]
7dhchol[e],acmp[c],pheleuhis_c,glnproglu[e]
ca3s[c],acmp[e],phelysala_c,glntrpglu[e]
ca3s[e],sulpacmp[c],phelyspro_c,glntyrleu[e]
hyochol[c],atvacid[e],phephe_c,gluargleu[e]
coprost[c],atvacid[c],phepheasn_c,gluasnleu[e]
coprost[e],atvlac[c],phephethr_c,gluglu[e]
dca3s[c],atvlac[e],pheproarg_c,gluilelys[e]
dca3s[e],crvsm1[r],phesertrp_c,gluleu[e]
gca3s[c],crvsm1[c],phethrlys_c,glumet[e]
gcdca3s[c],crvsm1[e],phetrpleu_c,glumethis[e]
gdca3s[c],crvsm23[r],phetyr_c,gluthr[e]
gudca3s[c],crvs[e],phetyrgln_c,gluthrlys[e]
icdchol[c],crvs[c],phetyrlys_c,glutrpala[e]
isochol[c],cvm1gluc[r],proargasp_c,glyhisasn[e]
lca3s[c],cvm23gluc[r],proargcys_c,glyhislys[e]
tca3s[c],crvsm23[c],proasncys_c,glylyscys[e]
tcdca3s[c],crvsm23[e],procys_c,glylysphe[e]
tdca3s[c],crvsm24[c],proglnpro_c,glytyrlys[e]
thyochol[c],crvsm24[e],proglulys_c,glyvalhis[e]
tudca3s[c],fvs[x],prohis_c,hisargcys[e]
uchol[c],deoxfvs[x],prohistyr_c,hisargser[e]
udca3s[c],deoxfvs[c],proleuarg_c,hisasp[e]
gca3s[e],deoxfvs[e],prolyspro_c,hiscyscys[e]
gcdca3s[e],glz[c],prophe_c,hisglnala[e]
gdca3s[e],dspvs[r],proproarg_c,hisglu[e]
gudca3s[e],dspvs[c],propropro_c,hisglugln[e]
hyochol[e],dspvs[e],protrplys_c,hisglylys[e]
icdchol[e],fvs[e],protrpthr_c,hishislys[e]
isochol[e],glz[e],provalgln_c,hislysala[e]
lca3s[e],ibup__R[e],serargala_c,hislysglu[e]
tca3s[e],ibup__S[e],serargtrp_c,hislysile[e]
tcdca3s[e],ndersv[e],sercysarg_c,hislysthr[e]
tdca3s[e],profvs[e],serglyglu_c,hislysval[e]
thyochol[e],ptvst[e],serlyshis_c,hismet[e]
tudca3s[e],ptvstm3[e],serphelys_c,hismetgln[e]
uchol[e],pvs[e],sertrphis_c,hisphearg[e]
udca3s[e],pvsgluc[e],thrargtyr_c,hisprolys[e]
2hatvacid[c],rsv[e],thrasntyr_c,histrphis[e]
2hatvlac[c],rsvlac[e],thrglnglu_c,ileargile[e]
2hatvacid[e],smv[e],thrglntyr_c,ileasnhis[e]
2hatvlac[e],sulpacmp[e],thrhishis_c,ileasp[e]
35dhpvs[c],tripvs[e],thrilearg_c,ileglnglu[e]
35dhpvs[e],fvs[c],thrmetarg_c,ileglyarg[e]
3hpvscoa[m],ibup__R[c],thrphearg_c,ileprolys[e]
3hpvstetcoa[m],ibupcoa__R[c],thrserarg_c,ileserarg[e]
3hpvscoa[x],ibupcoa__S[c],thrthrarg_c,iletrptyr[e]
3hpvstetcoa[x],ibup__S[c],thrtyrmet_c,leualaarg[e]
3hpvstet[c],rsv[r],trpalapro_c,leuasnasp[e]
3hpvstet[e],ndersv[r],trpargala_c,leuasplys[e]
3hpvs[c],ndersv[c],trpaspasp_c,leuleutrp[e]
3hpvs[e],fvscoa[x],trpglngln_c,leupro[e]
pvs[c],profvscoa[x],trpglugly_c,leuproarg[e]
3ispvs[c],profvscoa[c],trpgluleu_c,leusertrp[e]
3ispvs[e],profvs[c],trpglupro_c,leutrp[e]
4hatvlac[c],ptvst[c],trpglutyr_c,leutrparg[e]
4hatvacid[c],ptvst[r],trpglyleu_c,leutyrtyr[e]
4hatvacid[e],ptvstm3[c],trpglyphe_c,leuval[e]
4hatvlac[e],ptvstm3[r],trpglyval_c,lysargleu[e]
6epvs[c],pvsgluc[c],trphismet_c,lyscyshis[e]
6epvs[e],rsv[c],trpilelys_c,lysglnphe[e]
atvacid[e],rsvgluc[r],trpiletrp_c,lysgluglu[e]
atvacid[c],rsvlac[r],trpleuval_c,lyslyslys[e]
atvlac[c],rsvlac[c],trplys_c,lyspheile[e]
atvlac[e],simvgluc[r],trpmetarg_c,lystrparg[e]
crvsm1[r],smvacid[r],trpmetval_c,lystyrile[e]
crvsm23[r],smv[c],trpphe_c,lysvalphe[e]
crvs[e],tripvs[c],trpprogly_c,lysvaltrp[e]
crvs[c],3hpvscoa[c],trpproleu_c,metargleu[e]
cvm1gluc[r],3hpvstetcoa[c],trpproval_c,metasntyr[e]
cvm23gluc[r],fvscoa[c],trpsertyr_c,metglntyr[e]
fvs[x],h[i],trpthrglu_c,metglyarg[e]
deoxfvs[x],focytb5[c],trpthrile_c,methislys[e]
deoxfvs[c],cmpglna[c],trpthrtyr_c,metmetile[e]
deoxfvs[e],ficytb5[c],trptyrgln_c,metphearg[e]
fvs[e],HC01115[c],trptyrtyr_c,mettrpphe[e]
ibup__R[e],,trpvalasp_c,pheasnmet[e]
ibup__S[e],,tyrala_c,pheasp[e]
ibupgluc[e],,tyralaphe_c,pheglnphe[e]
profvs[e],,tyrargglu_c,pheleu[e]
ptvst[e],,tyrargser_c,pheleuasp[e]
pvs[e],,tyrasparg_c,pheleuhis[e]
rsv[e],,tyrcysgly_c,phelysala[e]
smv[e],,tyrcysthr_c,phelyspro[e]
fvs[c],,tyrglu_c,phephe[e]
ibupgluc[c],,tyrleuarg_c,phepheasn[e]
ibup__S[r],,tyrphetyr_c,phephethr[e]
ibupgluc[r],,tyrthr_c,pheproarg[e]
ibup__R[c],,tyrtrpphe_c,phesertrp[e]
ibupcoa__R[c],,tyrtyr_c,phethrlys[e]
ibupcoa__S[c],,tyrvalmet_c,phetrpleu[e]
ibup__S[c],,valarggly_c,phetyr[e]
fvscoa[x],,valhisasn_c,phetyrgln[e]
profvscoa[x],,valleuphe_c,phetyrlys[e]
profvscoa[c],,vallystyr_c,proargasp[e]
profvs[c],,valphearg_c,proargcys[e]
ptvst[c],,valprotrp_c,proasncys[e]
rsv[c],,valserarg_c,procys[e]
simvgluc[r],,valtrpphe_c,proglnpro[e]
smvacid[r],,valtrpval_c,proglulys[e]
smv[c],,valval_c,prohis[e]
3hpvscoa[c],,trpglyasp_c,prohistyr[e]
3hpvstetcoa[c],,glyleu_c,proleuarg[e]
fvscoa[c],,homoval_e,prolyspro[e]
h[i],,xolest183_hs_c,prophe[e]
focytb5[c],,xolest182_hs_c,proproarg[e]
cmpglna[c],,xolest205_hs_c,propropro[e]
ficytb5[c],,xolest226_hs_c,protrplys[e]
HC01115[c],,sphmyln_hs_e,protrpthr[e]
,,Lhcystin_c,provalgln[e]
,,Lhcystin_e,serargala[e]
,,pgp_hs_m,serargtrp[e]
,,pglyc_hs_m,sercysarg[e]
,,acnam_e,serglyglu[e]
,,etha_e,serlyshis[e]
,,ppp9_c,serphelys[e]
,,acgal_e,sertrphis[e]
,,s2l2n2m2m_e,thrargtyr[e]
,,s2l2n2m2m_c,thrasntyr[e]
,,f1a_e,thrglnglu[e]
,,lpam_e,thrglntyr[e]
,,lpam_c,thrhishis[e]
,,dxtrn_e,thrilearg[e]
,,2obut_e,thrmetarg[e]
,,grdp_c,thrphearg[e]
,,glyleu_e,thrserarg[e]
,,methf_c,thrthrarg[e]
,,ppbng_c,thrtyrmet[e]
,,hmbil_c,trpalapro[e]
,,4ppan_c,trpargala[e]
,,4ppcys_c,trpaspasp[e]
,,phom_c,trpglngln[e]
,,HC01434_c,trpglugly[e]
,,HC01668_c,trpgluleu[e]
,,gua_e,trpglupro[e]
,,fprica_c,trpglutyr[e]
,,glcr_e,trpglyleu[e]
,,hxan_e,trpglyphe[e]
,,xyl__D_e,trpglyval[e]
,,gal1p_c,trphismet[e]
,,im4ac_c,trpilelys[e]
,,4izp_c,trpiletrp[e]
,,34dhpha_e,trpleuval[e]
,,etoh_e,trplys[e]
,,phpyr_e,trpmetarg[e]
,,tym_e,trpmetval[e]
,,2hyoxplac_e,trpphe[e]
,,lanost_e,trpprogly[e]
,,CE4970_c,trpproleu[e]
,,CE4970_e,trpproval[e]
,,CE2026_c,trpsertyr[e]
,,CE2026_e,trpthrglu[e]
,,CE4968_c,trpthrile[e]
,,CE4968_e,trpthrtyr[e]
,,vanilpyr_c,trptyrgln[e]
,,2h3mv_c,trptyrtyr[e]
,,2hiv_c,trpvalasp[e]
,,2m3ovcoa_m,tyrala[e]
,,3ohglutac_c,tyralaphe[e]
,,3ohglutac_e,tyrargglu[e]
,,3hadicoa_x,tyrargser[e]
,,3hadpac_x,tyrasparg[e]
,,3hadpac_c,tyrcysgly[e]
,,3hadpac_e,tyrcysthr[e]
,,3ohsebcoa_x,tyrglu[e]
,,3ohsebac_x,tyrleuarg[e]
,,3ohsebac_c,tyrphetyr[e]
,,3ohsebac_e,tyrthr[e]
,,3ohsubcoa_x,tyrtrpphe[e]
,,3ohsubac_x,tyrtyr[e]
,,3ohsubac_c,tyrvalmet[e]
,,3ohsubac_e,valarggly[e]
,,caproic_c,valhisasn[e]
,,peste_hs_c,valleuphe[e]
,,2hydog_c,vallystyr[e]
,,2hydog_e,valphearg[e]
,,glutar_c,valprotrp[e]
,,glutar_e,valserarg[e]
,,thexdd_m,valtrpphe[e]
,,thexdd_c,valtrpval[e]
,,thexdd_e,valval[e]
,,hexdtr_m,trpglyasp[e]
,,hexdtr_c,alaargcys[c]
,,hexdtr_e,alaarggly[c]
,,hpdececoa_m,alaasnleu[c]
,,hpdece_m,alaglylys[c]
,,hpdece_c,alahisala[c]
,,hpdece_e,alalysthr[c]
,,eic21114tr_c,argalaala[c]
,,eic21114tr_e,argalaphe[c]
,,5eipenc_m,argalathr[c]
,,5eipenc_c,argarg[c]
,,5eipenc_e,argarglys[c]
,,T4hcinnm_c,argargmet[c]
,,T4hcinnm_e,argcysgly[c]
,,agm_c,argcysser[c]
,,agm_e,arggluglu[c]
,,andrstndn_e,argglupro[c]
,,eandrstrn_c,argglygly[c]
,,eandrstrn_e,arghisthr[c]
,,ahandrostan_c,argleuphe[c]
,,ahandrostan_e,arglysasp[c]
,,andrstandn_c,argphearg[c]
,,andrstandn_e,argpromet[c]
,,CE2209_e,argprothr[c]
,,C05301_e,argserser[c]
,,C05299_e,argtyrval[c]
,,C05302_e,argvalcys[c]
,,CE5072_e,argvaltrp[c]
,,11docrtsl_e,asnasnarg[c]
,,11docrtstrn_e,asncyscys[c]
,,prgnlone_e,asnmetpro[c]
,,CE2211_e,asnpheasp[c]
,,17ahprgstrn_e,asnphecys[c]
,,17ahprgnlone_e,asntyrgly[c]
,,C03681_e,asntyrphe[c]
,,prgnlones_e,asntyrthr[c]
,,CE1352_e,aspalaarg[c]
,,mma_e,aspasnglu[c]
,,C05769_e,aspglu[c]
,,mhista_e,aspglupro[c]
,,CE2006_e,aspglutrp[c]
,,n8aspmd_e,asphiscys[c]
,,CE4890_e,asphispro[c]
,,ppp9_e,asplysglu[c]
,,mlthf_e,asplyshis[c]
,,trypta_e,aspmetasp[c]
,,selmeth_e,aspprolys[c]
,,selmeth_c,aspvalasn[c]
,,CE7090_c,cysasnmet[c]
,,CE7090_e,cysaspphe[c]
,,CE7085_e,cyscys[c]
,,CE7096_e,cysglnmet[c]
,,CE4877_e,cysgluhis[c]
,,CE1447_c,cysglutrp[c]
,,CE1447_e,cysleuthr[c]
,,C05770_e,cyssermet[c]
,,CE2705_e,cystyrasn[c]
,,13dampp_e,glnasngln[c]
,,hdd2crn_e,glnhishis[c]
,,N1aspmd_e,glnhislys[c]
,,CE1918_e,glnlyslys[c]
,,34dhoxmand_e,glnlystrp[c]
,,CE6205_e,glnproglu[c]
,,1a25dhvitd3_e,glntrpglu[c]
,,4hbz_c,glntyrleu[c]
,,CE7081_r,gluargleu[c]
,,CE7081_c,gluasnleu[c]
,,CE7081_e,gluglu[c]
,,egme_c,gluilelys[c]
,,egme_e,gluleu[c]
,,18harachd_c,glumet[c]
,,18harachd_e,glumethis[c]
,,sql_c,gluthr[c]
,,sql_e,gluthrlys[c]
,,orn__D_c,glutrpala[c]
,,orn__D_e,glyhisasn[c]
,,5g2oxpt_c,glyhislys[c]
,,5g2oxpt_e,glylyscys[c]
,,HC02020_c,glylysphe[c]
,,HC02020_e,glytyrlys[c]
,,xol24oh_c,glyvalhis[c]
,,xol24oh_e,hisargcys[c]
,,xol27oh_e,hisargser[c]
,,chsterols_e,hisasp[c]
,,C05767_e,hiscyscys[c]
,,ppbng_e,hisglnala[c]
,,12ppd__R_e,hisglu[c]
,,ametam_e,hisglugln[c]
,,xylu__D_e,hisglylys[c]
,,sphings_e,hishislys[c]
,,im4ac_e,hislysala[c]
,,sphgn_e,hislysglu[c]
,,prist_e,hislysile[c]
,,fdp_e,hislysthr[c]
,,coke_e,hislysval[c]
,,coke_c,hismet[c]
,,5a2opntn_e,hismetgln[c]
,,5a2opntn_c,hisphearg[c]
,,arg__D_c,hisprolys[c]
,,arg__D_e,histrphis[c]
,,dopa4sf_c,ileargile[c]
,,dopa4glcur_c,ileasnhis[c]
,,dopa3glcur_c,ileasp[c]
,,dopa4sf_e,ileglnglu[c]
,,dopa4glcur_e,ileglyarg[c]
,,dopa3glcur_e,ileprolys[c]
,,CE5026_e,ileserarg[c]
,,5cysgly34dhphe_e,iletrptyr[c]
,,CE1261_e,leualaarg[c]
,,5cysdopa_c,leuasnasp[c]
,,23dh1i56dio_c,leuasplys[c]
,,4glu56dihdind_c,leuleutrp[c]
,,CE5025_e,leupro[c]
,,CE2172_e,leuproarg[c]
,,Rtotal_r,leusertrp[c]
,,dhcrm_hs_r,leutrp[c]
,,Rtotal_g,leutrparg[c]
,,sphings_g,leutyrtyr[c]
,,dhcrm_hs_g,leuval[c]
,,sphgn_g,lysargleu[c]
,,phcrm_hs_g,lyscyshis[c]
,,phsphings_g,lysglnphe[c]
,,phcrm_hs_r,lysgluglu[c]
,,phsphings_r,lyslyslys[c]
,,galgluside_hs_e,lyspheile[c]
,,gluside_hs_e,lystrparg[c]
,,gm1_hs_l,lystyrile[c]
,,gm2_hs_l,lysvalphe[c]
,,ga1_hs_l,lysvaltrp[c]
,,ga2_hs_l,metargleu[c]
,,gd1b_hs_l,metasntyr[c]
,,gd2_hs_l,metglntyr[c]
,,phcrm_hs_c,metglyarg[c]
,,gd3_hs_e,methislys[c]
,,gm3_hs_e,metmetile[c]
,,ga1_hs_e,metphearg[c]
,,gd3_hs_l,mettrpphe[c]
,,thcrm_hs_l,pheasnmet[c]
,,atp_g,pheasp[c]
,,adp_g,pheglnphe[c]
,,gm1_hs_e,pheleu[c]
,,gm2_hs_e,pheleuasp[c]
,,gm3_hs_l,pheleuhis[c]
,,gd1a_hs_c,phelysala[c]
,,gm1_hs_c,phelyspro[c]
,,gd1b_hs_c,phephe[c]
,,gt1b_hs_c,phepheasn[c]
,,ga1_hs_c,phephethr[c]
,,gm2_hs_c,pheproarg[c]
,,ga2_hs_c,phesertrp[c]
,,gm1b_hs_e,phethrlys[c]
,,gd1a_hs_e,phetrpleu[c]
,,gd1b_hs_e,phetyr[c]
,,gt1b_hs_e,phetyrgln[c]
,,gd2_hs_e,phetyrlys[c]
,,gd1a_hs_n,proargasp[c]
,,gm1_hs_n,proargcys[c]
,,dag_hs_g,proasncys[c]
,,pchol_hs_n,procys[c]
,,sphmyln_hs_n,proglnpro[c]
,,phsphings_c,proglulys[c]
,,phsph1p_c,prohis[c]
,,sphings_n,prohistyr[c]
,,sphs1p_n,proleuarg[c]
,,sphgn_n,prolyspro[c]
,,sph1p_n,prophe[c]
,,cholp_n,proproarg[c]
,,cmpacna_e,propropro[c]
,,gda1_hs_n,protrplys[c]
,,gd3_hs_m,protrpthr[c]
,,h2o2_r,provalgln[c]
,,15HPET_n,serargala[c]
,,15HPET_x,serargtrp[c]
,,15HPET_r,sercysarg[c]
,,M02956_e,serglyglu[c]
,,M00234_e,serlyshis[c]
,,M01807_e,serphelys[c]
,,M00503_e,sertrphis[c]
,,M00241_e,thrargtyr[c]
,,M00510_e,thrasntyr[c]
,,M01820_e,thrglnglu[c]
,,M00003_e,thrglntyr[c]
,,M00008_e,thrhishis[c]
,,M00010_e,thrilearg[c]
,,M00017_e,thrmetarg[c]
,,M00019_e,thrphearg[c]
,,M00021_e,thrserarg[c]
,,M00115_e,thrthrarg[c]
,,M00117_e,thrtyrmet[c]
,,M00260_e,trpalapro[c]
,,M00265_e,trpargala[c]
,,M00315_e,trpaspasp[c]
,,M00341_e,trpglngln[c]
,,M01197_e,trpglugly[c]
,,M01207_e,trpgluleu[c]
,,M01235_e,trpglupro[c]
,,M01238_e,trpglutyr[c]
,,M01582_e,trpglyleu[c]
,,M02053_e,trpglyphe[c]
,,M02457_e,trpglyval[c]
,,M02613_e,trphismet[c]
,,M02745_e,trpilelys[c]
,,M03045_e,trpiletrp[c]
,,M03051_e,trpleuval[c]
,,M03153_e,trplys[c]
,,C01601_e,trpmetarg[c]
,,M02108_e,trpmetval[c]
,,M03117_e,trpphe[c]
,,M03134_e,trpprogly[c]
,,caproic_e,trpproleu[c]
,,xolest2_hs_l,trpproval[c]
,,xolest2_hs_r,trpsertyr[c]
,,M03134_c,trpthrglu[c]
,,M02694_c,trpthrile[c]
,,M02694_m,trpthrtyr[c]
,,M02108_c,trptyrgln[c]
,,M02107_c,trptyrtyr[c]
,,M02107_m,trpvalasp[c]
,,M02616_c,tyrala[c]
,,M02616_m,tyralaphe[c]
,,M03117_c,tyrargglu[c]
,,M03116_c,tyrargser[c]
,,M03116_m,tyrasparg[c]
,,M03051_c,tyrcysgly[c]
,,M03050_c,tyrcysthr[c]
,,M00129_c,tyrglu[c]
,,M00117_c,tyrleuarg[c]
,,HC10784_c,tyrphetyr[c]
,,M02745_c,tyrthr[c]
,,M01141_c,tyrtrpphe[c]
,,M01197_c,tyrtyr[c]
,,M01191_c,tyrvalmet[c]
,,M00003_c,valarggly[c]
,,M00004_c,valhisasn[c]
,,M01238_c,valleuphe[c]
,,M01237_c,vallystyr[c]
