mCADRE_brain_metabolites,rFASTACOROMICS_brain_metabolites,CORDA_brain_metabolites,ftINIT_brain_metabolites
acnacngalgbside_hs[g],ppa[m],ddcacoa_x,h[g]
acmanap[c],amp[m],3ohdcoa_x,thcrm_hs[g]
pep[c],ppi[m],tdcoa_x,udp[g]
acnamp[c],accoa[r],3ohodcoa_x,T_antigen[g]
man6p[c],acgagbside_hs[c],pmtcoa_x,uacgam[g]
acnam[c],acgagbside_hs[g],3ohxccoa_x,gncore1[g]
acnam[l],acgagbside_hs[l],ttccoa_x,core2[g]
acnam[n],acgal[c],acac_x,gncore2[g]
acmana[c],itp[c],acald_m,aact[c]
2mbcoa[m],idp[c],acald_c,mthgxl[c]
fad[m],acgal[l],acald_x,aact[m]
2mb2coa[m],gam6p[c],atp_m,L2aadp6sa[m]
fadh2[m],acgam6p[c],hco3_m,fucgalacglcgalgluside_hs[g]
btcoa[m],coa[c],adp_m,udpacgal[g]
ivcoa[m],acgam[c],malcoa_m,acgalfucgalacglcgalgluside_hs[g]
3mb2coa[m],acgam1p[c],pi_m,galfucgalacglcgalgluside_hs[g]
ibcoa[m],acgam[l],accoa_c,fuc12gal14acglcgalgluside_hs[g]
2mp2coa[m],acgpail_hs[c],accoa_g,galfuc12gal14acglcgalgluside_hs[g]
o2[x],ac[c],ppa_m,acgalfuc12gal14acglcgalgluside_hs[g]
h2o2[x],gpail_hs[c],amp_m,fucgalacgalfuc12gal14acglcgalgluside_hs[g]
hdd2coa[x],ach[e],ppi_m,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[g]
orn[c],ac[e],accoa_n,fucgalacglcgal14acglcgalgluside_hs[g]
cit[m],chol[e],accoa_r,acgalfucgalacglcgal14acglcgalgluside_hs[g]
icit[m],ach[c],acetone_e,fucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]
dhcholoylcoa[x],cit[c],acetone_c,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[g]
fadh2[x],oaa[c],acetone_m,galfucgalacglcgal14acglcgalgluside_hs[g]
fad[x],acnacngal14acglcgalgluside_hs[e],acgagbside_hs_c,fucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]
thcholoylcoa[x],acnacngal14acglcgalgluside_hs[c],acgagbside_hs_g,galgalfucfucgalacglcgalacglcgal14acglcgalgluside_hs[g]
cholcoas[x],acnacngal14acglcgalgluside_hs[g],acgagbside_hs_l,sucsal[m]
cholcoads[x],acnacngalgbside_hs[c],acgal_c,abt[c]
h2o[x],acnacngalgbside_hs[e],acgal1p_c,xylu__L[c]
fmn[c],acnacngalgbside_hs[g],itp_c,abt[e]
ribflv[c],acmanap[c],idp_c,4abut[l]
acrn[c],pep[c],acgal_g,h[l]
acrn[m],acnamp[c],acgal_l,4abut[e]
ppa[c],man6p[c],gam6p_c,2maacoa[m]
amp[c],kdnp[c],acgam6p_c,ppcoa[m]
ppcoa[c],acnam[c],coa_c,accoa[x]
ppi[c],acnam[l],acgam_c,aacoa[x]
ac[m],acnam[n],acgam1p_c,coa[x]
ac[g],acngalacglcgal14acglcgalgluside_hs[e],acgam_l,acac[c]
acetol[c],acngalacglcgal14acglcgalgluside_hs[c],acgbgbside_hs_c,acac[m]
adn[c],acngalacglcgal14acglcgalgluside_hs[g],acgbgbside_hs_g,3odcoa[x]
ins[c],acmana[c],acgbgbside_hs_l,occoa[x]
adn[e],2mbcoa[m],acgpail_hs_c,3oddcoa[x]
ins[e],fad[m],ac_c,dcacoa[x]
nh4[e],2mb2coa[m],gpail_hs_c,3otdcoa[x]
ade[c],fadh2[m],ach_e,ddcacoa[x]
gtp[c],btcoa[m],ac_e,3ohdcoa[x]
gdp[c],ivcoa[m],chol_e,tdcoa[x]
gtp[m],3mb2coa[m],ach_n,3ohodcoa[x]
gdp[m],ibcoa[m],ach_c,pmtcoa[x]
damp[c],2mp2coa[m],cit_c,3ohxccoa[x]
datp[c],o2[x],oaa_c,ttccoa[x]
dadp[c],h2o2[x],acn13acngalgbside_hs_c,acald[m]
ametam[c],hdd2coa[x],acn13acngalgbside_hs_e,acald[c]
camp[c],acorn[c],acn13acngalgbside_hs_g,acald[r]
adn[m],orn[c],acn23acngalgbside_hs_c,atp[m]
adn[l],cit[m],acn23acngalgbside_hs_e,hco3[m]
man1p[c],icit[m],acn23acngalgbside_hs_g,adp[m]
adp[x],dhcholoylcoa[x],acnacngal14acglcgalgluside_hs_e,malcoa[m]
adrncoa[c],fadh2[x],acnacngal14acglcgalgluside_hs_c,pi[m]
adrncoa[x],fad[x],acnacngal14acglcgalgluside_hs_g,accoa[c]
crn[c],thcholoylcoa[x],acnacngalgbside_hs_c,accoa[g]
adrncrn[c],cholcoas[x],acnacngalgbside_hs_e,ppa[m]
adrncrn[m],cholcoads[x],acnacngalgbside_hs_g,amp[m]
adrncoa[m],h2o[x],acmanap_c,ppi[m]
crn[m],fmn[c],pep_c,accoa[n]
adrnl[e],ribflv[c],acnamp_c,accoa[r]
aps[c],acrn[c],man6p_c,acetone[e]
dcamp[c],acrn[m],kdnp_c,acetone[c]
fum[c],ppa[c],acnam_c,acetone[m]
25aics[c],amp[c],acnam_l,acgagbside_hs[c]
aicar[c],ppcoa[c],acnam_n,acgagbside_hs[g]
ksii[c]ore4_pre2[g],ppi[c],acngalacglcgal14acglcgalgluside_hs_e,acgagbside_hs[l]
ksii[c]ore4_pre3[g],ac[m],acngalacglcgal14acglcgalgluside_hs_c,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[e]
ksii[c]ore4_pre4[g],ac[g],acngalacglcgal14acglcgalgluside_hs_g,acgalfucgalacgalfuc12gal14acglcgalgluside_hs[c]
ksii[c]ore4_pre5[g],acetol[c],acmana_c,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[e]
ksii[c]ore4_pre7[g],adn[c],2mbcoa_m,acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs[c]
ksii[c]ore4_pre8[g],ins[c],fad_m,acgal[c]
ksii[c]ore2_pre2[g],adn[e],2mb2coa_m,itp[c]
ksii[c]ore2_pre3[g],ins[e],fadh2_m,idp[c]
ksii[c]ore2_pre4[g],nh4[e],btcoa_m,acgal[g]
ksii[c]ore2_pre5[g],ade[c],ivcoa_m,acgal[l]
ksii[c]ore2_pre7[g],gtp[c],3mb2coa_m,gam6p[c]
ksii[c]ore2_pre8[g],gdp[c],ibcoa_m,acgam6p[c]
urea[m],gtp[m],2mp2coa_m,coa[c]
Rtotal2coa[c],gdp[m],o2_x,acgam[c]
alpa_hs[c],damp[c],h2o2_x,acgam1p[c]
pa_hs[c],datp[c],hdd2coa_x,acgam[l]
ala_[l][m],dadp[c],acorn_c,acgbgbside_hs[c]
glx[m],ametam[c],orn_c,acgbgbside_hs[g]
gly[m],camp[c],cit_m,acgbgbside_hs[l]
gly[x],adn[m],icit_m,acgpail_hs[c]
pyr[x],adn[l],dhcholoylcoa_x,ac[c]
n2m2nmn[l],adpman[c],fadh2_x,gpail_hs[c]
n2m2mn[l],man1p[c],fad_x,acglu[m]
air[c],adprib[e],thcholoylcoa_x,ach[e]
5aizc[c],adprib[c],cholcoas_x,ac[e]
succoa[m],adp[x],cholcoads_x,chol[e]
mal_[l][c],adrncoa[c],h2o_x,ach[n]
mal_[l][m],adrncoa[x],fmn_c,ach[c]
akg[e],crn[c],ribflv_c,cit[c]
akg[x],adrncrn[c],acrn_c,oaa[c]
xol7ah[c],adrncrn[m],acrn_m,acn13acngalgbside_hs[c]
xol7ah2[c],adrncoa[m],ppa_c,acn13acngalgbside_hs[e]
xoldioloneh[c],crn[m],amp_c,acn13acngalgbside_hs[g]
xoltriol[c],adrnl[e],ppcoa_c,acn23acngalgbside_hs[c]
xol7aone[c],adrn[c],ppi_c,acn23acngalgbside_hs[e]
xoldiolone[c],aps[c],ac_m,acn23acngalgbside_hs[g]
