mets,genes,rxns
,,EX_proproarg_e
,,EX_propropro_e
,,EX_prostgd2_e
,,EX_prostge1_e
,,EX_prostge2_e
,,EX_prostgf2_e
,,EX_prostgh2_e
,,EX_prostgi2_e
,,EX_protrplys_e
,,EX_protrpthr_e
,,EX_provalgln_e
,,EX_prpp_e
,,EX_pser__L_e
,,EX_ps_hs_e
,,EX_psylchol_e
,,EX_psyl_e
,,EX_psyltchol_e
,,EX_psyltdechol_e
,,EX_ptdca_e
,,EX_ptrc_e
,,EX_ptth_e
,,EX_ptvst_e
,,EX_ptvstlac_e
,,EX_ptvstm13_e
,,EX_ptvstm3_e
,,EX_pvs_e
,,EX_pvsgluc_e
,,EX_pydam_e
,,EX_pydx5p_e
,,EX_pydx_e
,,EX_pydxn_e
,,EX_pyr_e
,,EX_q10_e
,,EX_q10h2_e
,,EX_quln_e
,,EX_rbl__D_e
,,EX_rbt_e
,,EX_retfa_e
,,EX_retinal_e
,,EX_retinol_9_cis_e
,,EX_retinol_cis_11_e
,,EX_retinol_e
,,EX_retn_e
,,EX_retnglc_e
,,EX_rib__D_e
,,EX_ribflv_e
,,EX_rsv_e
,,EX_rsvlac_e
,,EX_Rtotal2_e
,,EX_Rtotal3_e
,,EX_Rtotal_e
,,EX_s2l2fn2m2masn_e
,,EX_s2l2n2m2masn_e
,,EX_s2l2n2m2m_e
,,EX_s3meacmp_e
,,EX_saccrp__L_e
,,EX_sarcs_e
,,EX_sbt__D_e
,,EX_sebacid_e
,,EX_serargala_e
,,EX_serargtrp_e
,,EX_sercysarg_e
,,EX_serglyglu_e
,,EX_ser__L_e
,,EX_serlyshis_e
,,EX_serphelys_e
,,EX_sertrphis_e
,,EX_slfcys_e
,,EX_sl__L_e
,,EX_smvacid_e
,,EX_smv_e
,,EX_so3_e
,,EX_so4_e
,,EX_spc_hs_e
,,EX_sph1p_e
,,EX_sphgn_e
,,EX_sphings_e
,,EX_sphmyln180241_hs_e
,,EX_sphmyln18114_hs_e
,,EX_sphmyln18115_hs_e
,,EX_sphmyln181161_hs_e
,,EX_sphmyln18116_hs_e
,,EX_sphmyln18117_hs_e
,,EX_sphmyln181181_hs_e
,,EX_sphmyln18118_hs_e
,,EX_sphmyln181201_hs_e
,,EX_sphmyln18120_hs_e
,,EX_sphmyln18121_hs_e
,,EX_sphmyln181221_hs_e
,,EX_sphmyln18122_hs_e
,,EX_sphmyln18123_hs_e
,,EX_sphmyln1824_hs_e
,,EX_sphmyln1825_hs_e
,,EX_sphmyln_hs_e
,,EX_sphs1p_e
,,EX_spmd_e
,,EX_sprm_e
,,EX_sql_e
,,EX_srtn_e
,,EX_stacmp_e
,,EX_stcrn_e
,,EX_steeth_e
,,EX_sTn_antigen_e
,,EX_strch1_e
,,EX_strch2_e
,,EX_strdnc_e
,,EX_subeac_e
,,EX_subgly_e
,,EX_sucaceto_e
,,EX_succ_e
,,EX_sucr_e
,,EX_sucsal_e
,,EX_sulpacmp_e
,,EX_T4hcinnm_e
,,EX_tacr_e
,,EX_tag__D_e
,,EX_tag_hs_e
,,EX_taur_e
,,EX_tauribup__S_e
,,EX_taxol_e
,,EX_tca3s_e
,,EX_tcdca3s_e
,,EX_tchola_e
,,EX_tcynt_e
,,EX_tdca3s_e
,,EX_tdchola_e
,,EX_tdechola_e
,,EX_tetdec2crn_e
,,EX_tetdeca511ac_e
,,EX_tetdecaeth_e
,,EX_tetdece1crn_e
,,EX_tethex3_e
,,EX_tetpent3_e
,,EX_tetpent6_e
,,EX_tettet6_e
,,EX_thbpt_e
,,EX_thcholstoic_e
,,EX_thexdd_e
,,EX_thf_e
,,EX_thm_e
,,EX_thmmp_e
,,EX_thmtp_e
,,EX_thrargtyr_e
,,EX_thrasntyr_e
,,EX_thrfvs_e
,,EX_thrglnglu_e
,,EX_thrglntyr_e
,,EX_thrhishis_e
,,EX_thrilearg_e
,,EX_thr__L_e
,,EX_thrmetarg_e
,,EX_thrnt_e
,,EX_thrphearg_e
,,EX_thrserarg_e
,,EX_thrthrarg_e
,,EX_thrtyrmet_e
,,EX_thymd_e
,,EX_thym_e
,,EX_thyochol_e
,,EX_thyox__L_e
,,EX_tiggly_e
,,EX_tlacfvs_e
,,EX_tmd_e
,,EX_tmdm1_e
,,EX_tmdm3_e
,,EX_tmdm5_e
,,EX_tmlys_e
,,EX_tmndnc_e
,,EX_tolbutamide_e
,,EX_tre_e
,,EX_trideceth_e
,,EX_triodthy_e
,,EX_triodthysuf_e
,,EX_tripvs_e
,,EX_trpalapro_e
,,EX_trpargala_e
,,EX_trpaspasp_e
,,EX_trpglngln_e
,,EX_trpglugly_e
,,EX_trpgluleu_e
,,EX_trpglupro_e
,,EX_trpglutyr_e
,,EX_trpglyasp_e
,,EX_trpglyleu_e
,,EX_trpglyphe_e
,,EX_trpglyval_e
,,EX_trphismet_e
,,EX_trpilelys_e
,,EX_trpiletrp_e
,,EX_trp__L_e
,,EX_trpleuval_e
,,EX_trplys_e
,,EX_trpmetarg_e
,,EX_trpmetval_e
,,EX_trpphe_e
,,EX_trpprogly_e
,,EX_trpproleu_e
,,EX_trpproval_e
,,EX_trpsertyr_e
,,EX_trpthrglu_e
,,EX_trpthrile_e
,,EX_trpthrtyr_e
,,EX_trptyrgln_e
,,EX_trptyrtyr_e
,,EX_trpvalasp_e
,,EX_trypta_e
,,EX_tsacmgluc_e
,,EX_tsacmsul_e
,,EX_tststerone_e
,,EX_tststeroneglc_e
,,EX_tststerones_e
,,EX_tsul_e
,,EX_ttdca_e
,,EX_ttdcea_e
,,EX_ttdcrn_e
,,EX_tudca3s_e
,,EX_txa2_e
,,EX_txb2_e
,,EX_tym_e
,,EX_tymsf_e
,,EX_tyrala_e
,,EX_tyralaphe_e
,,EX_tyrargglu_e
,,EX_tyrargser_e
,,EX_tyrasparg_e
,,EX_tyrcysgly_e
,,EX_tyrcysthr_e
,,EX_Tyr_ggn_e
,,EX_tyrglu_e
,,EX_tyr__L_e
,,EX_tyrleuarg_e
,,EX_tyrphetyr_e
,,EX_tyrthr_e
,,EX_tyrtrpphe_e
,,EX_tyrtyr_e
,,EX_tyrvalmet_e
,,EX_uchol_e
,,EX_udca3s_e
,,EX_udp_e
,,EX_udpgal_e
,,EX_udpg_e
,,EX_udpglcur_e
,,EX_ump_e
,,EX_ura_e
,,EX_urate_e
,,EX_urcan_e
,,EX_urea_e
,,EX_uri_e
,,EX_utp_e
,,EX_vacc_e
,,EX_valarggly_e
,,EX_valhisasn_e
,,EX_val__L_e
,,EX_valleuphe_e
,,EX_vallystyr_e
,,EX_valphearg_e
,,EX_valprotrp_e
,,EX_valserarg_e
,,EX_valtrpphe_e
,,EX_valtrpval_e
,,EX_valval_e
,,EX_vanillac_e
,,EX_vitd3_e
,,EX_wharachd_e
,,EX_whddca_e
,,EX_whhdca_e
,,EX_whtststerone_e
,,EX_whttdca_e
,,EX_xan_e
,,EX_xmp_e
,,EX_xol24oh_e
,,EX_xol25oh_e
,,EX_xol27oh_e
,,EX_xol7ah3_e
,,EX_xol7aone_e
,,EX_xoldiolone_e
,,EX_xolest181_hs_e
,,EX_xolest182_hs_e
,,EX_xolest183_hs_e
,,EX_xolest204_hs_e
,,EX_xolest205_hs_e
,,EX_xolest226_hs_e
,,EX_xolest2_hs_e
,,EX_xolest_hs_e
,,EX_xoltri24_e
,,EX_xoltri25_e
,,EX_xoltri27_e
,,EX_xtsn_e
,,EX_xyl__D_e
,,EX_xylt_e
,,EX_xylu__D_e
,,EX_xylu__L_e
,,EX_yvite_e
,,EX_zn2_e
,,F1Ate
,,F1Ate2
,,F1Atg
,,FA160tp
,,FA40COAtm
,,FACOAE160
,,FACOAE181
,,FACOAE60
,,FADH2tru
,,FADH2tx
,,FADRx
,,FADtru
,,FADtx
,,FALDtly
,,FALDtm
,,FAOXC5C5OHm
,,FAS180
,,FCLT
,,FCOAH2
,,FDPte
,,FE2t
,,FE2tm
,,FldAct
,,FNA5MOXAMte
,,FOLt2
,,FORGLUt
,,FORMCOAtx
,,FORtm
,,FORtr
,,FRDPtc
,,FRDPtcr
,,FRDPtr
,,FT
,,FUC13GALACGLCGAL14ACGLCGALGLUSIDEte
,,FUC13GALACGLCGAL14ACGLCGALGLUSIDEtg
,,FUC14GALACGLCGALGLUSIDEte
,,FUC14GALACGLCGALGLUSIDEtg
,,FUCACGALFUCGALACGLCGALGLUSIDEte
,,FUCACGALFUCGALACGLCGALGLUSIDEtg
,,FUCACNGAL14ACGLCGALGLUSIDEte
,,FUCACNGAL14ACGLCGALGLUSIDEtg
,,FUCACNGALACGLCGALGLUSIDEte
,,FUCACNGALACGLCGALGLUSIDEtg
,,FUCFUC12GAL14ACGLCGALGLUSIDEte
,,FUCFUC12GAL14ACGLCGALGLUSIDEtg
,,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte
,,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg
,,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte
,,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg
,,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte
,,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
,,FUCFUCGALACGLCGALGLUSIDEte
,,FUCFUCGALACGLCGALGLUSIDEtg
,,FUCGAL14ACGLCGALGLUSIDEte
,,FUCGAL14ACGLCGALGLUSIDEtg
,,FUCGALFUCGALACGLCGALGLUSIDEte
,,FUCGALFUCGALACGLCGALGLUSIDEtg
,,FUCGALGBSIDEte
,,FUCGALGBSIDEtg
,,FUCtly
,,FUMtr
,,FVSCOAhc
,,FVSCOAitx
,,FVSGLUChc
,,FVShc
,,FVSitr
,,FVSitx
,,FVSteb
,,FVStep
,,FVSTETGLUhc
,,FVSTETGLUitr
,,FVSTETGLUtev
,,FVSTETitr
,,FVSTETtev
,,G3PCt
,,G3PD1irm
,,G3PDm
,,G5SADrm
,,G5SADs
,,GA1tl
,,GACPAILter
,,GALACGLCGALGBSIDEte
,,GALACGLCGALGBSIDEtg
,,GALAMtr
,,GALFUC12GAL14ACGLCGALGLUSIDEte
,,GALFUC12GAL14ACGLCGALGLUSIDEtg
,,GALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
,,GALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
,,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte
,,GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg
,,GALGALGALTHCRMte
,,GALGALGALTHCRMtg
,,GALGLUSIDEtg
,,GALGLUSIDEtg2
,,GALGLUSIDEtl
,,GALGLUSIDEtl2
,,GALSIDEter
,,GALSIDEtg
,,GALSIDEtl
,,GALSIDEtn
,,GALtly
,,GALTt
,,GBSIDEte
,,GBSIDEtl
,,GCHOLAte
,,GCHOLAtx
,,GD1Atg
,,GD1Atn
,,GD1B2te
,,GD1B2tg
,,GD1Btl
,,GD1Cte
,,GD1Ctg
,,GD3tg
,,GD3tl
,,GD3tlc
,,GD3tm
,,GDA1tn
,,GDPtg
,,GGT6
,,GGT_L
,,GLACter
,,GLC3MEACPitr
,,GLC3MEACPtev
,,GLCAE1g
,,GLCMter
,,GLCNte
,,GLCter
,,GLCtly
,,GLCURter
,,GLCURtr
,,GLNASNGLNr
,,GLNHISHISr
,,GLNHISLYSr
,,GLNLASEer
,,GLNLYSLYSr
,,GLNLYSTRPr
,,GLNPROGLUr
,,GLNtm
,,GLNtm_1
,,GLNTRPGLUr
,,GLNTYRLEUr
,,GLRASE
,,GLU5SAtmc
,,GLUARGLEUr
,,GLUASNLEUr
,,GLUCYSte
,,GLUGLUr
,,GLUILELYSr
,,GLULEUr
,,GLUMETHISr
,,GLUMETr
,,GLUSIDEte
,,GLUSIDEtg
,,GLUSIDEtl
,,GLUt7l
,,GLUTACOAm
,,GLUTARte
,,GLUTCONm
,,GLUTCONte
,,GLUTCONtm
,,GLUTHRLYSr
,,GLUTHRr
,,GLUtr
,,GLUTRPALAr
,,GLXt
,,GLXtm
,,GLXtp
,,GLY3Pt
,,GLYACm
,,GLYALDtr
,,GLYBtm
,,GLYC2P3Pc
,,GLYC2Pte
,,GLYC3Ptm
,,GLYC3tr
,,GLYCK2
,,GLYCLTDym
,,GLYCLTt
,,GLYCLTtm
,,GLYCLTtp
,,GLYC_Rt
,,GLYC_St
,,GLYCt
,,GLYCtm
,,GLYHISASNr
,,GLYHISLYSr
,,GLYitr
,,GLYLYSCYSr
,,GLYLYSPHEr
,,GLYOp
,,GLYPHEHYc
,,GLYPROt
,,GLYtm
,,GLYtp
,,GLYTYRLYSr
,,GLYVALHISr
,,GLZABCteb
,,GLZitr
,,GLZtd
,,GM1tg
,,GM1tl
,,GM2tg
,,GM2tl
,,GMPtg
,,GMPtn
,,GNCORE1t
,,GNCORE1te
,,GNCORE2t
,,GNCORE2te
,,GNK
,,GP1CALPHAte
,,GP1CALPHAtg
,,GP1Cte
,,GP1Ctg
,,GPDDA1
,,GQ1BALPHAte
,,GQ1BALPHAtg
,,GQ1Bte
,,GQ1Btg
,,GT1Ate
,,GT1Atg
,,GTACMPhr
,,GTACMPitr
,,GTACMPtev
,,GTHOXti2
,,GTHRDt
,,GTHRDt2
,,GTHRDtr
,,GUDACtr
,,GUDACtr2
,,GULLACter
,,GULN3D
,,GULNDer
,,GULNter
,,GUMDCHAe
,,GUMGCHLe
,,GUMTCHOLe
,,GUR1PP
,,H2O2t
,,H2O2ter
,,H2O2tly
,,H2O2tm
,,H2O2tn
,,H2O2tp
,,H2Oter
,,H2Otg
,,H2Otly
,,H2Otn
,,H2Otp
,,HAtly
,,HC00319t1
,,HC00319t2
,,HC00342te
,,HC00460te
,,HC00900t1
,,HC00900t2
,,HC00900t3
,,HC00900t4
,,HC02020te
,,HC02020tr
,,HC02149td
,,HC02194c
,,HCA24Gtr
,,HCA6Gtr
,,HCOUMARINte
,,HCYSte
,,HDCA24Gtr
,,HDCA6Gtr
,,HDCAter
,,HDCECRNtr
,,HDD2COAtx
,,HDD2CRNte
,,HDL_HSDEG
,,HDL_HSSYN
,,HEDCECRNe
,,HESTRATRIOLte
,,HESTRATRIOLtr
,,HEXCCOAtx
,,HEXCt
,,HEXDCRNe
,,HEXDIACATP
,,HEXDIACtd
,,HEXDIACtr
,,HEXDTRte
,,HEXGLYte
,,HGENTISt
,,HISARGCYSr
,,HISARGSERr
,,HISASPr
,,HISCYSCYSr
,,HISGLNALAr
,,HISGLUGLNr
,,HISGLUr
,,HISGLYLYSr
,,HISHISLYSr
,,HISLYSALAr
,,HISLYSGLUr
,,HISLYSILEr
,,HISLYSTHRr
,,HISLYSVALr
,,HISMETGLNr
,,HISMETr
,,HISPHEARGr
,,HISPROLYSr
,,HISTRPHISr
,,HIVCRNe
,,HMCARNc
,,HMCARNt
,,HMCRNc
,,HMCRNt
,,HMGCOAtm
,,HMGCOAtx
,,HMR_0015
,,HMR_0016
,,HMR_0017
,,HMR_0020
,,HMR_0166
,,HMR_0172
,,HMR_0178
,,HMR_0182
,,HMR_0185
,,HMR_0467
,,HMR_0469
,,HMR_0587
,,HMR_0763
,,HMR_0769
,,HMR_0771
,,HMR_0809
,,HMR_0831
,,HMR_0907
,,HMR_0912
,,HMR_0913
,,HMR_0962
,,HMR_0966
,,HMR_0979
,,HMR_0984
,,HMR_1095
,,HMR_1104
,,HMR_1135
,,HMR_1242
,,HMR_1243
,,HMR_1283
,,HMR_1284
,,HMR_1306
,,HMR_1311
,,HMR_1315
,,HMR_1316
,,HMR_1317
,,HMR_1318
,,HMR_1331
,,HMR_1332
,,HMR_1373
,,HMR_1623
,,HMR_1701
,,HMR_1744
,,HMR_1745
,,HMR_1752
,,HMR_1753
,,HMR_1758
,,HMR_1759
,,HMR_1764
,,HMR_1834
,,HMR_2002
,,HMR_2087
,,HMR_2090
,,HMR_2114
,,HMR_2127
,,HMR_2374
,,HMR_2376
,,HMR_2391
,,HMR_2393
,,HMR_2403
,,HMR_2495
,,HMR_2558
,,HMR_2560
,,HMR_2569
,,HMR_2571
,,HMR_3053
,,HMR_3054
,,HMR_3055
,,HMR_3056
,,HMR_3106
,,HMR_3396
,,HMR_3397
,,HMR_3478
,,HMR_3520
,,HMR_3597
,,HMR_3867
,,HMR_3951
,,HMR_3953
,,HMR_3996
,,HMR_4266
,,HMR_4702
,,HMR_4771
,,HMR_4782
,,HMR_4783
,,HMR_4790
,,HMR_4831
,,HMR_4955
,,HMR_4957
,,HMR_5249
,,HMR_5409
,,HMR_6408
,,HMR_6456
,,HMR_6500
,,HMR_6607
,,HMR_6617
,,HMR_6619
,,HMR_6629
,,HMR_6672
,,HMR_6782
,,HMR_6785
,,HMR_6786
,,HMR_6876
,,HMR_7173
,,HMR_7182
,,HMR_7184
,,HMR_7197
,,HMR_7198
,,HMR_7199
,,HMR_7255
,,HMR_7257
,,HMR_7330
,,HMR_7431
,,HMR_7432
,,HMR_7437
,,HMR_7711
,,HMR_7715
,,HMR_7720
,,HMR_7724
,,HMR_7727
,,HMR_7756
,,HMR_7898
,,HMR_7900
,,HMR_7903
,,HMR_7906
,,HMR_7944
,,HMR_7947
,,HMR_7949
,,HMR_8023
,,HMR_8056
,,HMR_8084
,,HMR_8086
,,HMR_8374
,,HMR_8418
,,HMR_8505
,,HMR_8510
,,HMR_8567
,,HMR_8588
,,HMR_8590
,,HMR_8776
,,HMR_9019
,,HMR_9174
,,HMR_9175
,,HMR_9176
,,HMR_9177
,,HMR_9178
,,HMR_9179
,,HMR_9180
,,HMR_9184
,,HMR_9185
,,HMR_9187
,,HMR_9188
,,HMR_9189
,,HMR_9612
,,HMR_9625
,,HMR_9626
,,HMR_9627
,,HMR_9628
,,HMR_9629
,,HMR_9630
,,HMR_9631
,,HMR_9634
,,HMR_9635
,,HMR_9638
,,HMR_9639
,,HMR_9640
,,HMR_9642
,,HMR_9644
,,HMR_9647
,,HMR_9648
,,HMR_9652
,,HMR_9656
,,HMR_9657
,,HMR_9658
,,HMR_9660
,,HMR_9661
,,HMR_9662
,,HMR_9663
,,HMR_9665
,,HMR_9667
,,HMR_9669
,,HMR_9670
,,HMR_9671
,,HMR_9674
,,HMR_9680
,,HMR_9716
,,HMR_9720
,,HMR_9803
,,HOCTDEC2CRNe
,,HOCTDECCRNe
,,HPACtr
,,HPDCAt
,,HPDECEte
,,HPPPNt2r
,,HPYRDC
,,HPYRDCm
,,HPYRtp
,,HRETNtn
,,HSAT1ly
,,HSAT2ly
,,HSAT3ly
,,HSAT4ly
,,HSK
,,HSPASEly
,,HSPGt
,,HSPGtly
,,Ht
,,HTAXOLte
,,HTDCRNe
,,Htg
,,Htr
,,Htx
,,HXANtx
,,HXAt1
,,HXAt2
,,HXAt3
,,HXCOAm
,,HXCOAte
,,HXCOAtx
,,HXCOAx
,,HYOCHOLtr
,,HYPTROX_cho
,,HYPTROXe
,,IBUPGLUCitr
,,IBUPGLUCtchep
,,IBUPGLUCtpvb
,,IBUP_Ritr
,,IBUP_Rtdhep
,,IBUP_Rtdu
,,IBUP_SCONJhep
,,IBUP_Sitr
,,IBUP_Stbc
,,IBUP_Stdhep
,,IBUP_Stdu
,,ICITtr
,,ICITt_x
,,ID3ACALDtm
,,IDL_HSDEG
,,IDL_HSSYN
,,IDOURte
,,IDPtn
,,ILEARGILEr
,,ILEASNHISr
,,ILEASPr
,,ILEGLNGLUr
,,ILEGLYARGr
,,ILEPROLYSr
,,ILESERARGr
,,ILEtmi
,,ILETRPTYRr
,,IM4ACte
,,IMPtr
,,IND3ACt
,,IND3ACtm
,,INSK
,,IPDPtx
,,ISOBUTte
,,ISOBUTtm
,,ISOLVSTAChep
,,ITPtn
,,IVCRNe
,,KDNH
,,KSII_CORE2t
,,KSII_CORE2tly
,,KSII_CORE4t
,,KSII_CORE4tly
,,KSItly
,,Kt3r
,,KYNATESYN
,,KYNATEtr2
,,L2AADPtr
,,LACLt
,,LACROX
,,LANOSTt
,,LANOSTtr
,,LAPCOAe
,,LCA24Gtr
,,LCA3Gtr
,,LCTStg
,,LCYSTt
,,LDL_HSDEG
,,LDL_HSSYN
,,LEUALAARGr
,,LEUASNASPr
,,LEUASPLYSr
,,LEUGLYHYc
,,LEUKTRA4tr
,,LEUKTRB4tr
,,LEUKTRB4WCOOHt
,,LEUKTRB4WOHt
,,LEUKTRB4WOHtr
,,LEUKTRD4t
,,LEUKTRD4tr
,,LEULEUt
,,LEULEUTRPr
,,LEUPROARGr
,,LEUPROr
,,LEUSERTRPr
,,LEUt5m
,,LEUTRPARGr
,,LEUTRPr
,,LEUTYRTYRr
,,LEUVALr
,,LHCYSTIN
,,LHCYSTINt
,,LIMNENte
,,LINKDEG1ly
,,LINKDEG2ly
,,LINKDEG3ly
,,LINKDEG4ly
,,LNELDCCRNtr
,,LNELDCt
,,LNLCCRNNAt
,,LNLCCRNtd
,,LPAMt
,,LPAMtm
,,LPCHOLt
,,LPIPECOLt
,,LPIPECOLtx
,,LRAT1
,,LRAT2
,,LST4EXPitr
,,LST4EXPTDhc
,,LST4EXPthc
,,LSTN1GLUCitr
,,LSTN1GLUCtev
,,LSTNitr
,,LSTNM1itr
,,LSTNM1tev
,,LSTNM2itr
,,LSTNM2tev
,,LSTNM4hr
,,LSTNM4itr
,,LSTNM4tev
,,LSTNM5itr
,,LSTNM5tev
,,LSTNM7itr
,,LSTNM7TDhc
,,LSTNM7thc
,,LSTNRATt
,,LSTNtd
,,LTC4CP
,,LTD4DP
,,LTHSTRLABCt
,,LTHSTRLt
,,LTHSTRLtr
,,LVACLAChep
,,LVSTACIDitr
,,LVSTitr
,,LVSTtu
,,LYSACm
,,LYSARGLEUr
,,LYSCYSHISr
,,LYSGLNPHEr
,,LYSGLUGLUr
,,LYSLYSLYSr
,,LYSOXp
,,LYSPHEILEr
,,LYStip
,,LYStn
,,LYSTRPARGr
,,LYSTYRILEr
,,LYSVALPHEr
,,LYSVALTRPr
,,M02155tr
,,MAGt
,,MAL_Ltx
,,MALOAAtm
,,MALt
,,MALTTTRt
,,MANtly
,,MCITS
,,MCLACCYSR
,,MDHp
,,MDRPD
,,MDZGLChr
,,MDZGLCitr
,,MDZGLCtev
,,MDZitr
,,MDZtd
,,MELATNte
,,MEOHt2
,,MEOHtly
,,MEPIt
,,MEPIVESSte_cho
,,MERCPLACCYSt
,,MESCOALm
,,METARGLEUr
,,METASNTYRr
,,METDECARc
,,METGLNTYRr
,,METGLYARGr
,,METHISLYSr
,,METHSUCC
,,METHSUCCOAc
,,METHSUCCte
,,METMETILEr
,,METPHEARGr
,,METtm
,,METTRANSc
,,METTRPPHEr
,,MEV_Rt
,,MGACONm
,,MGSA
,,MGSA2
,,MHGLZABCt
,,MHGLZitr
,,MHGLZtev
,,MI134P4P
,,MI13PP
,,MI14P4P
,,MI14Ptn
,,MI1P_Dtn
,,MI1Pt
,,MINOHPtn
,,MK10t
,,MK11t
,,MK7t
,,MK8t
,,MK9t
,,MLTHFtm
,,MMALtm
,,MMTSADm
,,MTHGXLt
,,MTRI
,,MVLACc
,,MVLACte
,,MYELIN_HSSYN
,,N2M2NMASNtly
,,N4Tg
,,NACASPt
,,NACASPtm
,,NACCYSte
,,NACCYStm
,,NACt
,,NACVANALAm
,,NACVANALAte
,,NACVANALAtm
,,NADHtpu
,,NADHtru
,,NADN
,,NADPHtru
,,NADPHtxu
,,NADPN
,,NADPtru
,,NADPtxu
,,NADtm
,,NADtn
,,NADtru
,,NADtx
,,NAGAlby
,,NAGLCAly
,,NAPQIhr
,,NAtx
,,NCAMUP
,,NDERSVitr
,,NEU310e
,,NFDACitr
,,NFDACtep
,,NFDDMEThr
,,NFDLAChc
,,NFDLACtep
,,NFDNPYitr
,,NFDNPYtep
,,NFDOHitr
,,NFDOHtep
,,NFDOXDhc
,,NFDtd
,,NH4t
,,NH4tm
,,NH4tn
,,NH4tp
,,NH4tr
,,NICRNS
,,NICRNtr
,,NICRNTtn
,,NIFEDIPINEte
,,NMNDA
,,NMNHYD
,,NMNtn
,,NO2t2r
,,NORMETEt
,,NORMETEVESSte
,,NOt
,,NPTHLte
,,NRPPHRSFt
,,NRVNCCOAtx
,,NRVNCt
,,NWHARGtd
,,O2St
,,O2Stm
,,O2Stn
,,O2Stx
,,O2t
,,O2ter
,,O2tm
,,O2tn
,,O2tp
,,OAADC
,,OAAt_1
,,OAGD3te
,,OAGD3tg
,,OAGT3te
,,OAGT3tg
,,OBDHc
,,OCCOAtm
,,OCCOAtx
,,OCDCAFATPc
,,OCTAt
,,OCTDECE1CRNe
,,ODECOAtx
,,ODECRNtr
,,OMEPRAZOLEte
,,OMHDEACIDTD
,,OMHDOCOSACTD
,,OMHPALTD
,,ONPTHLte
,,ORETNF
,,ORETNF2
,,ORETNtn
,,ORETNtn2
,,ORN_Dte
,,ORN_Dtx
,,OROATP
,,OROT5Ptr
,,OXAtp
,,OXYP1CONJ
,,OXYP2CONJ
,,OXYPR1tehv
,,OXYPR7tehv
,,OXYPtepv
,,P450LTB4r
,,P450SCC1m
,,pac
,,PACALDtm
,,PACCOAL
,,PACCOALm
,,PAFS
,,PAFt
,,PA_HSter
,,PA_HStg
,,PA_HStm
,,PA_HStn
,,PAIL45P_HStn
,,PAIL4P_HStn
,,PAIL_hs_SECt
,,PAIL_HStn
,,PAILPALM_HSSECt
,,PAILR_HSSECt
,,PAN4PP
,,PAN4PPe
,,PAPitr
,,PAPSitr
,,PAPtg
,,PCHLN225_HSt1e
,,PCHOL2LINL_HSt1e
,,PCHOL2OLE_HSt1e
,,PCHOL2PALM_HSte
,,PCHOL2STE_HSt1e
,,PCHOLAR_HSt1e
,,PCHOLDOC_HSt1e
,,PCHOLEIC_HSt1e
,,PCHOLET_HSt1e
,,PCHOLHEP_HSt1e
,,PCHOLHSTDe_1
,,PCHOL_HSter
,,PCHOL_HStg
,,PCHOL_HStn
,,PCHOLLINL_HSt1e
,,PCHOLMYR_Hst1e
,,PCHOLN15_HSt1e
,,PCHOLN1836_HSt1e
,,PCHOLN183_HSt1e
,,PCHOLN19_HSt1e
,,PCHOLN201_HSt1e
,,PCHOLN203_HSt1e
,,PCHOLN204_HSt1e
,,PCHOLN205_HSt1e
,,PCHOLN224_HSt1e
,,PCHOLN2254_HSt1e
,,PCHOLN225_HSt1e
,,PCHOLN261_HSte
,,PCHOLN264_HSt1e
,,PCHOLN281_HSte
,,PCHOLN28_HSte
,,PCHOLOLE_HSt1e
,,PCHOLPALME_HSt1e
,,PCHOLSTE_HSt1e
,,PCOLLG5HLYStd
,,PCREATte
,,PCREATtmdiffir
,,PCRESOLup
,,PCRNtc
,,PCSsec
,,PE12_HSt1e
,,Pe13_HSt1e
,,PE14_HSt1e
,,PE15_HSt1e
,,PE161_HSt1e
,,PE17_HSt1e
,,PE203_HSt1e
,,PE224_HSte
,,PE226_HSt1e
,,PE2LINL_HSt1e
,,PEAR_HSt1e
,,PECDCHe
,,PECGCHLe
,,PECTCHLe
,,PEDH203_HSt1e
,,PE_HSter
,,PE_HStm
,,PELINL_HSt1e
,,PELPALM_HSt1e
,,PEOLE_HSt1e
,,PEPALM_HSt1e
,,PEPtr
,,PERILLYLte
,,PESTE_HSt1e
,,PEt
,,PGLYCt
,,PGLYCtm
,,PGP_hs_tm
,,PGPP_hsc
,,PHACCOAGLNAC
,,PHACGLYc
,,PHACGLYt
,,PHCHGSm
,,PHCRMter
,,PHCRMtg
,,PHEACGLNt
,,PHEACGLYsec
,,PHEACGLYtm
,,PHEASNMETr
,,PHEASPr
,,PHEGLNPHEr
,,PHELEUASPr
,,PHELEUHISr
,,PHELEUr
,,PHELYSALAr
,,PHELYSPROr
,,PHEMEtm
,,PHEPHEASNr
,,PHEPHEr
