mets,genes,rxns
ach[n],12715,AHANDROSTANGLCte
ach[c],23985,AHANDROSTANte
cit[c],171429,AHCi
oaa[c],66586,AHEXASE2ly
acn13acngalgbside_hs[c],24060,AHEXASEly
acn13acngalgbside_hs[e],12764,AICART
acn13acngalgbside_hs[g],73132,AIRCr
acn23acngalgbside_hs[c],436059,AK2LGCHOLABCt
acn23acngalgbside_hs[e],230027,AKGCITtm
acn23acngalgbside_hs[g],217707,AKGDm
acnacngal14acglcgalgluside_hs[e],12850,AKGICITtm
acnacngal14acglcgalgluside_hs[c],72077,AKGMALtm
acnacngal14acglcgalgluside_hs[g],14537,AKGt4_3
acnacngalgbside_hs[c],218476,AKR1C1
acnacngalgbside_hs[e],272411,AKR1C41
acnacngalgbside_hs[g],102857,AKR1C42
acmanap[c],12908,AKR1D
pep[c],30805,AKR1D2
acnamp[c],12974,ALAALACNc
man6p[c],74114,ALAALAPEPT1tc
kdnp[c],20539,ALAARGCYSt
acnam[c],50934,ALAARGGLYt
acnam[l],12583,ALAASNLEUt
acnam[n],215113,ALAASNNaEx
acngalacglcgal14acglcgalgluside_hs[e],26570,ALAATB0tc
acngalacglcgal14acglcgalgluside_hs[c],72269,ALAB0AT3tc
acngalacglcgal14acglcgalgluside_hs[g],11628,ALACYSNaEx
acmana[c],80914,ALADGLNexR
2mbcoa[m],22245,ALADGLYexR
fad[m],66588,ALAGLNexR
2mb2coa[m],22169,ALAGLNNaEx
fadh2[m],320127,ALAGLYexR
btcoa[m],217480,ALAGLYLYSt
ivcoa[m],104418,ALAHISALAt
3mb2coa[m],380921,ALALYSTHRt
ibcoa[m],110197,ALAPAT4te
2mp2coa[m],227333,ALAR
o2[x],13139,ALASERNaEx
h2o2[x],56077,ALASm
hdd2coa[x],110524,ALAt2r
acorn[c],13142,ALAt4
orn[c],93692,ALATA_L
cit[m],69367,ALATA_Lm
icit[m],70503,ALATHRNaEx
dhcholoylcoa[x],13177,ALAtN1
fadh2[x],23986,ALAyLATthc
fad[x],13178,ALCD1
thcholoylcoa[x],13190,ALCD19y
cholcoas[x],20249,ALCD21_D
cholcoads[x],56473,ALCD22_D
h2o[x],76267,ALCD22_L
fmn[c],13350,ALCD2x
ribflv[c],67800,ALCD2y
acrn[c],27369,ALDD19x_P
acrn[m],20527,ALDD19xr
ppa[c],20525,ALDD20x
amp[c],20528,ALDD20xm
ppcoa[c],74754,ALDD21
ppi[c],13122,ALDD2x
ac[m],13360,ALDD2xm
Nacsertn[c],13244,ALDD2y
melatn[c],70059,ALLOP1tu
ac[g],20860,ALLOP2tu
acetol[c],56749,ALLOPOXDhep
adn[c],64705,ALLOPtepvb
ins[c],22240,ALOX12
adn[e],12934,ALOX15
ins[e],57274,ALOX5
nh4[e],110196,ALOX52
ade[e],74129,ALR2
ade[c],67283,ALR3
gtp[c],380959,AM19CSALThr
gdp[c],68563,AM1CSAhr
gtp[m],13481,AM9CSAhr
gdp[m],13480,AMACR2p
damp[c],59012,AMACRp
datp[c],13166,A_MANASEly
dadp[c],22173,AMANK
ametam[c],20538,AMETt2m
camp[c],13162,AMPDA
adn[m],20519,AMPTASECG
adn[l],12183,AMPTASECGe
adpman[c],18648,AMPTASEPG
man1p[c],56012,AMY1e
adprib[e],192156,AMY2e
adprib[c],232449,AND19ONEc
adp[x],99586,ANDRSTANDRte
adrncoa[c],21877,ANDRSTNDNte
adrncoa[x],57813,ANDRSTRNGLCte
crn[c],110074,APAT2rm
adrncrn[c],16434,APNPT
adrncrn[m],13595,APRGSTRNt1e
adrncoa[m],93747,APRTO2
crn[m],11992,ARABR
adrnl[e],51798,ARACHCPT1
adrn[e],74147,ARACHCPT2
adrn[c],26458,ARACHCRNt
aps[c],108115,ARACHDFATPtc
dcamp[c],58807,ARACHDt2
fum[c],239273,ARACHETH
25aics[c],108116,ARGALAALAt
aicar[c],110826,ARGALAPHEt
aflatoxin[e],110842,ARGALATHRt
aflatoxin[c],66841,ARGARGLYSt
