mCADRE_brain_genes,rFASTACOROMICS_brain_genes,CORDA_brain_genes,ftINIT_brain_genes
210044,20512,15496,18799
211347,20513,15494,18802
211429,20515,15493,18803
211488,20516,15495,18805
212032,20517,100043456,18806
212111,20518,101502,18807
212647,20519,57028,18946
212862,20520,15929,18947
21366,20522,170718,18948
21391,20523,67834,18950
214084,20524,15926,19012
214111,20525,269951,19025
214162,20526,22018,19044
214253,20527,15932,19063
214579,20528,12036,19125
214663,20532,72401,19139
215015,20533,239606,19156
215335,20535,53881,19193
215446,20536,319554,19211
216019,20537,320581,19215
216152,20539,216225,192156
216188,20540,56451,192166
216227,20541,20917,192195
216343,20544,20916,19223
216453,20597,20498,19224
216454,20598,20499,19225
216456,20603,107723,192289
216558,20652,57138,19286
21672,20655,16548,19309
216739,20656,236727,19378
217119,20657,77031,194908
217480,20698,98256,195646
217593,207151,226413,19659
217700,207182,11432,19660
217707,20751,16816,19662
218121,207728,171405,19682
218138,20773,207151,19683
218232,20775,236149,19703
218271,207839,236293,19743
218461,208043,319800,19765
218476,20810,434674,19879
218756,208211,327951,19895
21877,208266,64008,20133
21881,208449,106648,20135
21884,20859,16987,20148
219135,20860,18783,20216
21915,208665,12735,20229
21990,208715,19193,20249
21991,20887,16956,20280
22117,208890,15450,20322
22122,208967,12613,20397
22169,208982,116939,20425
22171,209027,23945,20441
22173,209039,237625,20442
22227,20905,235293,20443
22228,20916,16993,20444
22229,20917,17001,20445
22232,20927,66447,20446
22234,20928,211666,20447
22235,20937,14874,20448
22236,209558,14387,20449
22238,20975,72039,20452
22239,209837,78038,20454
22240,210004,56690,20463
22245,210044,246221,20493
22247,211347,17448,20494
22271,211389,17449,20495
22272,211429,107029,20496
22273,211488,17436,20497
22275,211666,109264,20498
22276,212032,15930,20499
22348,212111,13095,20500
22361,212647,13076,20501
223753,212862,13078,20502
223920,21351,13077,20503
224020,21366,11720,20504
224024,214111,108645,20505
224129,214162,232087,20508
224143,214253,238505,20509
